ngram,Record,Recrd,Reord,Recrd
1667,1.6055721841569592e-05,0.0,0.0,0.0
1668,1.6684019621087437e-05,0.0,0.0,0.0
1669,1.8390878981985486e-05,0.0,0.0,0.0
1670,1.9214286891968057e-05,0.0,0.0,0.0
1671,1.8379863312085426e-05,0.0,0.0,0.0
1672,1.9011728649534882e-05,0.0,0.0,0.0
1673,1.751052189190107e-05,0.0,0.0,0.0
1674,1.576185098071749e-05,0.0,0.0,0.0
1675,1.5708777807178975e-05,0.0,0.0,0.0
1676,1.7123866590346942e-05,0.0,0.0,0.0
1677,2.0328241979379008e-05,0.0,0.0,0.0
1678,2.2433940102928318e-05,0.0,0.0,0.0
1679,2.563869436146758e-05,0.0,0.0,0.0
1680,2.6274832894809412e-05,0.0,0.0,0.0
1681,2.6704818083089776e-05,0.0,0.0,0.0
1682,2.7803283956018277e-05,0.0,0.0,0.0
1683,2.5364656201937968e-05,0.0,0.0,0.0
1684,2.1593686791935136e-05,0.0,0.0,0.0
1685,2.0882742579228113e-05,0.0,0.0,0.0
1686,1.964200159168935e-05,0.0,0.0,0.0
1687,1.8591010042915252e-05,0.0,0.0,0.0
1688,1.776434913024007e-05,0.0,0.0,0.0
1689,1.6428308689293253e-05,0.0,0.0,0.0
1690,1.8079652883378522e-05,0.0,0.0,0.0
1691,2.615626739757967e-05,0.0,0.0,0.0
1692,2.4745773771428503e-05,0.0,0.0,0.0
1693,2.60676666325058e-05,0.0,0.0,0.0
1694,2.75595900477908e-05,0.0,0.0,0.0
1695,2.9155011491509087e-05,0.0,0.0,0.0
1696,3.080445107376103e-05,0.0,0.0,0.0
1697,3.236149041185854e-05,0.0,0.0,0.0
1698,2.9265338136091096e-05,0.0,0.0,0.0
1699,3.184733369770194e-05,0.0,0.0,0.0
1700,2.924868489831819e-05,0.0,0.0,0.0
1701,2.711844185146869e-05,0.0,0.0,0.0
1702,2.6887099660858178e-05,0.0,0.0,0.0
1703,2.7279065891759403e-05,0.0,0.0,0.0
1704,2.402569316473091e-05,0.0,0.0,0.0
1705,1.897480706247734e-05,0.0,0.0,0.0
1706,1.6187378085825393e-05,0.0,0.0,0.0
1707,1.770896843871534e-05,0.0,0.0,0.0
1708,1.8109686737131726e-05,0.0,0.0,0.0
1709,1.736052035994362e-05,0.0,0.0,0.0
1710,1.683640143060724e-05,0.0,0.0,0.0
1711,1.7139633200713433e-05,0.0,0.0,0.0
1712,1.925634803358532e-05,0.0,0.0,0.0
1713,2.0073395457334948e-05,0.0,0.0,0.0
1714,1.7745333285087588e-05,0.0,0.0,0.0
1715,1.8203451223338823e-05,0.0,0.0,0.0
1716,1.7964511633700958e-05,0.0,0.0,0.0
1717,1.7177376191414495e-05,0.0,0.0,0.0
1718,1.8430040914349126e-05,0.0,0.0,0.0
1719,1.5873354381515776e-05,0.0,0.0,0.0
1720,1.6003600259344758e-05,0.0,0.0,0.0
1721,1.9238235316671698e-05,0.0,0.0,0.0
1722,1.9152554419373962e-05,0.0,0.0,0.0
1723,2.1082240761773263e-05,0.0,0.0,0.0
1724,2.3478353926163565e-05,0.0,0.0,0.0
1725,2.3584359951200895e-05,0.0,0.0,0.0
1726,2.403605906563046e-05,0.0,0.0,0.0
1727,2.604269411676796e-05,0.0,0.0,0.0
1728,2.2886507395014632e-05,0.0,0.0,0.0
1729,2.250138887965087e-05,0.0,0.0,0.0
1730,2.0536655548702193e-05,0.0,0.0,0.0
1731,1.7396086280184265e-05,0.0,0.0,0.0
1732,1.610910112503916e-05,0.0,0.0,0.0
1733,1.7973526155401487e-05,0.0,0.0,0.0
1734,1.4579466681295474e-05,0.0,0.0,0.0
1735,1.436819158178488e-05,0.0,0.0,0.0
1736,1.4531261383256475e-05,0.0,0.0,0.0
1737,1.5053582631350895e-05,0.0,0.0,0.0
1738,1.567369197021305e-05,0.0,0.0,0.0
1739,1.668768969206472e-05,0.0,0.0,0.0
1740,1.4121564228324652e-05,0.0,0.0,0.0
1741,1.7620532617002027e-05,0.0,0.0,0.0
1742,1.8644947951023433e-05,0.0,0.0,0.0
1743,1.777817455409344e-05,0.0,0.0,0.0
1744,1.810716139516444e-05,0.0,0.0,0.0
1745,1.7109387759514254e-05,0.0,0.0,0.0
1746,1.4829097186260956e-05,0.0,0.0,0.0
1747,1.762561662742103e-05,0.0,0.0,0.0
1748,1.5941632877261975e-05,0.0,0.0,0.0
1749,1.3902014935800772e-05,0.0,0.0,0.0
1750,1.3352343882745896e-05,0.0,0.0,0.0
1751,1.1562813077554373e-05,0.0,0.0,0.0
1752,1.163195195528845e-05,0.0,0.0,0.0
1753,1.1395891501056862e-05,0.0,0.0,0.0
1754,8.773561733375703e-06,0.0,0.0,0.0
1755,6.475297660862063e-06,0.0,0.0,0.0
1756,6.842212574805931e-06,0.0,3.035470541590257e-09,0.0
1757,6.136813161512171e-06,0.0,3.035470541590257e-09,0.0
1758,6.231235667135999e-06,0.0,3.035470541590257e-09,0.0
1759,8.718952618177614e-06,0.0,3.035470541590257e-09,0.0
1760,1.1180361330584024e-05,0.0,3.035470541590257e-09,0.0
1761,1.0982259287370003e-05,0.0,3.035470541590257e-09,0.0
