x_sums,y_sums,x_ture,y_ture
298,[1.61034614e-09],284,[4.04517732e-07]
299,[1.21095177e-09],285,[4.53966887e-07]
300,[1.92539316e-09],286,[4.96641229e-07]
301,[2.16192563e-09],287,[5.41528819e-07]
302,[1.44758555e-09],288,[6.17837663e-07]
303,[1.09196703e-09],289,[4.65579384e-07]
304,[1.37652521e-09],290,[5.55889995e-07]
305,[1.24103999e-09],291,[5.61104694e-07]
306,[1.35201408e-09],292,[3.8055665e-07]
307,[6.72487065e-10],293,[3.8123174e-07]
308,[1.67870012e-09],294,[3.80717732e-07]
309,[8.53969705e-10],295,[3.7855827e-07]
310,[1.66975397e-09],296,[3.77350501e-07]
311,[1.22451328e-09],297,[4.86393341e-07]
312,[1.12218401e-09],298,[5.27591539e-07]
313,[2.15001716e-09],299,[7.30080465e-07]
314,[1.79565565e-09],300,[4.20119631e-07]
315,[1.37969869e-09],301,[4.12695264e-07]
316,[2.07154611e-09],302,[4.15179472e-07]
317,[1.57937569e-09],303,[4.08210023e-07]
318,[1.91513829e-09],304,[4.16000683e-07]
319,[2.33092743e-09],305,[4.72305798e-07]
320,[1.89514575e-09],306,[5.67960997e-07]
321,[2.21259089e-09],307,[6.2277572e-07]
322,[2.79532775e-09],308,[5.96113469e-07]
323,[3.537648e-09],309,[5.95552892e-07]
324,[3.58235374e-09],310,[4.86321923e-07]
325,[1.60411753e-09],311,[5.77926623e-07]
326,[2.4322666e-09],312,[7.48386486e-07]
327,[4.31126486e-09],313,[7.11962593e-07]
328,[4.17183142e-09],314,[7.8068378e-07]
329,[3.69184462e-09],315,[6.07694737e-07]
330,[5.69409782e-09],316,[6.64563538e-07]
331,[4.80984393e-09],317,[8.2816397e-07]
332,[5.42284281e-09],318,[6.51041968e-07]
333,[4.45531476e-09],319,[6.65029028e-07]
334,[5.0370885e-09],320,[6.85495315e-07]
335,[6.33050976e-09],321,[6.7097413e-07]
336,[6.56419021e-09],322,[5.30005331e-07]
337,[5.8947759e-09],323,[5.0553381e-07]
338,[6.6410252e-09],324,[1.100144e-06]
339,[7.45378824e-09],325,[1.04803343e-06]
340,[5.96885502e-09],326,[1.06960511e-06]
341,[6.18970281e-09],327,[9.63416528e-07]
342,[6.39683379e-09],328,[8.86190552e-07]
343,[6.92229202e-09],329,[8.78216296e-07]
344,[6.79170724e-09],330,[8.17293195e-07]
345,[6.28109747e-09],331,[8.36230623e-07]
346,[5.92655707e-09],332,[8.83680388e-07]
347,[6.91118361e-09],333,[9.57362925e-07]
348,[7.01510981e-09],334,[9.8376802e-07]
349,[5.52726754e-09],335,[1.17850634e-06]
350,[8.06191199e-09],336,[5.76755275e-07]
351,[5.97209779e-09],337,[5.64899557e-07]
352,[8.52976061e-09],338,[5.62443852e-07]
353,[9.24198357e-09],339,[5.36680283e-07]
354,[7.92925208e-09],340,[5.13234273e-07]
355,[8.13921973e-09],341,[4.91586936e-07]
356,[7.1591375e-09],342,[1.22187627e-06]
357,[7.36177425e-09],343,[1.0511725e-06]
358,[6.70557394e-09],344,[1.14252494e-06]
359,[7.69048895e-09],345,[1.15130621e-06]
360,[7.53768456e-09],346,[1.14777055e-06]
361,[7.62173307e-09],347,[1.11213554e-06]
362,[7.83652716e-09],348,[9.61751343e-07]
363,[8.36914377e-09],349,[9.11657237e-07]
364,[7.149667e-09],350,[8.75656687e-07]
365,[7.78303602e-09],351,[7.30484408e-07]
366,[7.41550544e-09],352,[6.66523343e-07]
367,[7.84096887e-09],353,[6.3855566e-07]
368,[5.87435687e-09],354,[6.4295345e-07]
369,[8.75326462e-09],355,[1.09243712e-06]
370,[8.12957851e-09],356,[1.09579592e-06]
371,[7.28504548e-09],357,[1.09409115e-06]
372,[6.36901744e-09],358,[1.09984242e-06]
373,[9.50990841e-09],359,[1.10855892e-06]
374,[7.71714471e-09],360,[1.12096926e-06]
375,[8.39699546e-09],361,[1.14448688e-06]
376,[8.3150435e-09],362,[1.18116735e-06]
377,[7.88181264e-09],363,[9.7144669e-07]
378,[5.98350775e-09],364,[1.13850281e-06]
379,[6.88271156e-09],365,[1.25378658e-06]
380,[6.35989149e-09],366,[1.25576247e-06]
381,[5.20499086e-09],367,[1.24938411e-06]
382,[4.66522956e-09],368,[1.24049339e-06]
383,[6.24223762e-09],369,[1.22765642e-06]
384,[5.34590728e-09],370,[1.22378143e-06]
385,[5.52910676e-09],371,[1.23002466e-06]
386,[6.7111467e-09],372,[1.23248912e-06]
387,[7.48680793e-09],373,[1.23539434e-06]
388,[7.04526259e-09],374,[1.23798363e-06]
389,[7.10253157e-09],375,[1.26962259e-06]
390,[6.72233872e-09],376,[1.26705205e-06]
391,[7.66381498e-09],377,[1.25662078e-06]
392,[6.12399702e-09],378,[1.23307577e-06]
393,[6.70233409e-09],379,[6.6531101e-07]
394,[6.05600456e-09],380,[6.83906532e-07]
395,[6.22922163e-09],381,[7.04914776e-07]
396,[6.06721828e-09],382,[7.45575272e-07]
397,[2.04469406e-09],383,[7.62815276e-07]
398,[2.44620357e-09],384,[7.92254953e-07]
399,[1.21217429e-09],385,[8.07394473e-07]
400,[5.23058886e-10],386,[8.03470135e-07]
401,[6.03176344e-10],387,[7.61063394e-07]
402,[1.78677077e-11],388,[5.30857923e-07]
403,[1.18735054e-09],389,[5.56011473e-07]
404,[2.07478753e-09],390,[5.62390328e-07]
405,[8.58640843e-10],391,[5.6603889e-07]
406,[1.57418321e-09],392,[4.55400033e-07]
407,[1.85080674e-09],393,[3.7017607e-07]
408,[8.130563e-10],394,[2.60993855e-07]
409,[1.43240079e-09],395,[4.84070502e-07]
410,[1.53795276e-09],396,[4.30234185e-07]
411,[1.71266647e-09],397,[3.96153178e-07]
412,[7.37836684e-10],398,[3.60308897e-07]
413,[8.13909698e-10],399,[3.33004723e-07]
414,[1.14070346e-09],400,[3.12734053e-07]
415,[1.29637076e-09],401,[3.17951206e-07]
416,[1.57089059e-09],402,[3.4888834e-07]
417,[1.64823928e-09],403,[3.77714677e-07]
418,[1.01923977e-09],404,[4.1084313e-07]
419,[1.23363919e-09],405,[4.03639028e-07]
420,[1.87512545e-09],406,[4.12788818e-07]
421,[1.21516839e-09],407,[4.28816282e-07]
422,[1.64737492e-09],408,[4.40685613e-07]
423,[1.39116799e-09],409,[4.20822417e-07]
424,[1.38781398e-09],410,[4.15876027e-07]
425,[2.24911686e-09],411,[3.95199185e-07]
426,[1.62700962e-09],412,[3.87391969e-07]
427,[3.51342449e-10],413,[3.62808255e-07]
428,[2.30143454e-09],414,[3.5101891e-07]
429,[1.57868935e-09],415,[3.97651206e-07]
430,[7.56828933e-10],416,[4.17736538e-07]
431,[8.36901363e-10],417,[4.25958406e-07]
432,[1.10711624e-09],418,[4.31702327e-07]
433,[1.56829784e-09],419,[4.81738188e-07]
434,[1.97938696e-09],420,[4.98491715e-07]
435,[2.77963324e-09],421,[5.11994461e-07]
436,[1.27831405e-09],422,[4.52679776e-07]
437,[1.39992542e-09],423,[4.20152004e-07]
438,[1.20222583e-09],424,[4.12598586e-07]
439,[2.25930322e-09],425,[3.92436234e-07]
440,[1.78729192e-09],426,[3.66384198e-07]
441,[8.97302699e-10],427,[3.56557279e-07]
442,[1.46937036e-10],428,[1.67175609e-07]
444,[2.858717e-10],429,[1.66423361e-07]
447,[1.28942993e-10],430,[1.61393209e-07]
448,[1.54557347e-11],431,[1.6779446e-07]
449,[5.67570743e-10],432,[4.53023441e-07]
450,[5.12789256e-10],433,[4.33632581e-07]
451,[4.96931041e-11],434,[4.31987485e-07]
452,[3.09748387e-10],435,[4.2245927e-07]
453,[2.71718328e-10],436,[5.72252699e-07]
454,[2.28212953e-10],437,[3.48009628e-07]
455,[5.37857415e-12],438,[3.47809579e-07]
458,[4.38321357e-10],439,[3.03934654e-07]
459,[3.60956111e-10],440,[3.05016692e-07]
460,[1.30648984e-10],441,[1.09337938e-07]
461,[3.71421898e-10],442,[1.11575219e-07]
462,[5.77641613e-11],443,[1.04791409e-07]
463,[2.48429347e-10],444,[1.01162813e-07]
466,[2.7554825e-10],445,[1.35430448e-07]
467,[3.49819799e-10],446,[1.40431504e-07]
468,[4.62340105e-10],447,[1.38457518e-07]
470,[1.16102413e-10],448,[1.45838209e-07]
472,[9.52145091e-11],449,[1.49019867e-07]
473,[2.07684333e-10],450,[1.54452046e-07]
474,[3.51874151e-10],451,[1.90296408e-07]
476,[7.7223136e-11],452,[1.50056115e-07]
477,[5.55204528e-10],453,[1.36958272e-07]
478,[1.1649071e-09],454,[1.29764778e-07]
480,[2.38028202e-10],455,[1.18556756e-07]
482,[5.94970319e-10],456,[1.15848415e-07]
483,[8.58499188e-10],457,[1.24462998e-07]
487,[6.44444023e-10],458,[1.20194436e-07]
488,[4.3469701e-10],459,[1.20215409e-07]
491,[9.92077486e-10],460,[1.24241779e-07]
492,[6.8600272e-10],461,[1.42459537e-07]
493,[7.04840466e-10],462,[1.54945125e-07]
497,[9.30130886e-10],463,[1.64431138e-07]
498,[2.04491586e-10],464,[1.64902098e-07]
500,[3.89334522e-10],465,[1.67707736e-07]
501,[1.00892529e-09],466,[1.70850145e-07]
502,[5.54790768e-10],467,[1.73849543e-07]
505,[8.8185498e-10],468,[1.70538225e-07]
507,[4.81182757e-10],469,[1.78487876e-07]
510,[1.06094896e-09],470,[1.87296969e-07]
511,[6.410048e-10],471,[1.93420561e-07]
512,[1.3032367e-09],472,[1.98605538e-07]
513,[1.23872175e-10],473,[2.03785785e-07]
515,[2.53776677e-10],474,[2.1335168e-07]
520,[5.50947067e-10],475,[2.10273444e-07]
,,476,[1.98734375e-07]
,,477,[1.92573919e-07]
,,478,[1.86410068e-07]
,,479,[1.77917286e-07]
,,480,[1.74471534e-07]
,,481,[1.61243285e-07]
,,482,[1.55554596e-07]
,,483,[1.4750702e-07]
,,484,[1.31487925e-07]
,,485,[1.3304086e-07]
,,486,[1.29450995e-07]
,,487,[1.30958774e-07]
,,488,[1.26324363e-07]
,,489,[1.23727078e-07]
,,490,[1.24297167e-07]
,,491,[1.25516499e-07]
,,492,[1.22734394e-07]
,,493,[1.25180367e-07]
,,494,[1.28527619e-07]
,,495,[1.3432072e-07]
,,496,[1.35138528e-07]
,,497,[1.34428592e-07]
,,498,[1.85220826e-07]
,,499,[1.91015528e-07]
,,500,[2.07346448e-07]
,,501,[1.14784376e-07]
,,502,[1.0565547e-07]
,,503,[9.84280856e-08]
,,504,[9.11240883e-08]
,,505,[8.25686303e-08]
,,506,[7.59403118e-08]
,,507,[7.93698886e-08]
,,508,[7.71068123e-08]
,,509,[8.06389394e-08]
,,510,[7.95507196e-08]
,,511,[8.18351469e-08]
,,512,[8.77551115e-08]
,,513,[8.79234337e-08]
,,514,[7.91906922e-08]
,,515,[7.20157394e-08]
,,516,[7.01635469e-08]
,,517,[6.97872823e-08]
,,518,[7.03917849e-08]
