ngram,G3,G3o,G3n,G3s,3,G3a,G3b
1898,1.4093919276092493e-07,2.0351119995558927e-10,0.0,3.6736249756482865e-10,0.0005438752040000898,2.570624110401606e-10,6.351991948300955e-11
1899,1.364598846618849e-07,1.3183877798996135e-10,0.0,3.181616557514287e-10,0.0005466978348392461,2.303331533440708e-10,1.857675521347143e-11
1900,1.383810947735193e-07,1.4990938252650617e-10,1.8070604536544822e-11,3.723734693610632e-10,0.0005534368933045439,3.026155714902501e-10,3.664735975001625e-11
1901,1.3991150841060778e-07,1.4495429658177373e-10,3.5207291447316076e-11,3.525531255821335e-10,0.000556113406284047,3.368889453117926e-10,5.378404666078751e-11
1902,1.4053208628541013e-07,1.6217258686739607e-10,3.5207291447316076e-11,3.0625779293532874e-10,0.0005620329757221043,3.422484835218549e-10,8.822062723203215e-11
1903,1.4231447461757592e-07,1.746704507223283e-10,3.5207291447316076e-11,2.993752309546746e-10,0.0005731757430891905,3.6724421123171934e-10,1.2009891692255081e-10
1904,1.416921406871552e-07,1.746704507223283e-10,3.5207291447316076e-11,3.256366803190096e-10,0.0005806651315651834,3.43221425486944e-10,1.4908338254380838e-10
1905,1.44858514009424e-07,1.1776464030134803e-10,3.5207291447316076e-11,3.7545890602912786e-10,0.0005885500327817031,3.9583495806524583e-10,1.4908338254380838e-10
1906,1.4418457640528815e-07,9.95507337278997e-11,3.5207291447316076e-11,4.0378995781940677e-10,0.0005931031358029161,4.3968099597676714e-10,3.1974822987747483e-10
1907,1.4210165894772736e-07,9.613030312248329e-11,1.7136686910771257e-11,4.374791877965427e-10,0.0005971120055099684,3.6739857783058786e-10,3.6027832106544366e-10
1908,1.4023390601128734e-07,1.2016697855031311e-10,0.0,3.8265689426632473e-10,0.000607127124177558,5.527164698149178e-10,4.941106333612919e-10
1909,1.3338170796422283e-07,1.029486882646908e-10,1.3781009071995547e-11,4.205626402686846e-10,0.0006121644816760506,5.389673449604107e-10,4.5967405279004735e-10
1910,1.291731125872632e-07,8.484428834102228e-11,1.3781009071995547e-11,4.437799096455665e-10,0.0006218824336039168,5.578541021979331e-10,4.5534354263322893e-10
1911,1.2470001361667267e-07,9.882222024819904e-11,1.3781009071995547e-11,4.2229874755835995e-10,0.0006300644682986396,5.680804200063655e-10,4.4971611950257133e-10
1912,1.2275157144715975e-07,8.35753579437564e-11,2.8195116876160243e-11,3.2915206473114825e-10,0.0006401905806602112,5.190088121181142e-10,4.6413022730673603e-10
1913,1.2107691966483409e-07,9.787327694331184e-11,4.249303587571569e-11,2.82607106367421e-10,0.0006491887948608824,4.712467866327e-10,3.0776329897262503e-10
1914,1.142911563485021e-07,9.78395925784906e-11,4.249303587571569e-11,2.239390419132649e-10,0.0006580972528484251,4.858632761990072e-10,2.4916260324811136e-10
1915,1.1267281000268018e-07,5.666623023988951e-11,4.249303587571569e-11,2.1021458780039788e-10,0.0006622836808674037,2.662720103931347e-10,1.1413232660549357e-10
1916,1.160326925336059e-07,7.171809277403288e-11,2.871202680372014e-11,1.8519427658070242e-10,0.0006673504415500377,2.1114797410515251e-10,1.1413232660549357e-10
1917,1.2318806698528662e-07,7.1909937330147e-11,4.267776112668439e-11,1.7199592147346517e-10,0.0006656568231327194,1.4247037180955705e-10,8.658454707179329e-11
1918,1.2344938734746132e-07,7.231224448598996e-11,5.705800018970411e-11,2.0196332304957465e-10,0.0006673508988959449,1.1491681316850538e-10,5.903098843074162e-11
1919,1.220767954025957e-07,7.231224448598996e-11,5.6849639083557586e-11,2.2995809423331792e-10,0.0006640599791093596,9.987762105463055e-11,5.882262732459509e-11
1920,1.211100187755879e-07,5.801432548643451e-11,6.575337496705913e-11,2.2995809423331792e-10,0.000670850052431758,1.0878135693813209e-10,1.141296729742106e-10
1921,1.2607262687782038e-07,4.339783592012734e-11,6.575337496705913e-11,2.850599399385954e-10,0.0006754981503555817,1.5038808393041947e-10,1.141296729742106e-10
1922,1.2534592944543226e-07,6.754913196254414e-11,6.575337496705913e-11,3.33362532023429e-10,0.0006846295603151832,1.9869067601525307e-10,9.819095041020885e-11
