ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1928,1.1093146992737144e-06,5.353672782870689e-10,9.308804719118261e-11,2.3005175145815062e-11,0.0,1.1649193118071618e-10
1929,1.0672118589484723e-06,5.629220779988588e-10,9.308804719118261e-11,2.3005175145815062e-11,0.0,1.4177772844625736e-10
1930,1.0487408660862587e-06,5.981713180336357e-10,1.2031544015046946e-10,2.3005175145815062e-11,0.0,1.172242838512868e-10
1931,1.0514473761499436e-06,6.786818270075403e-10,1.4835992950030478e-10,4.923818495784969e-11,0.0,1.172242838512868e-10
1932,1.044055116900771e-06,6.103043725153817e-10,1.2535475435448973e-10,2.6233009812034627e-11,0.0,4.820876039638275e-11
1933,1.0202592112104218e-06,5.193451085849787e-10,1.4876610855894612e-10,4.940016847968362e-11,0.0,9.478727326848814e-11
1934,9.571282362230704e-07,4.730568337845448e-10,1.4849560470153733e-10,4.940016847968362e-11,0.0,1.172551480513714e-10
1935,9.444043728633135e-07,6.724706823137337e-10,1.4849560470153733e-10,7.16225015803421e-11,0.0,1.172551480513714e-10
1936,9.445412355749536e-07,7.6411274926461e-10,2.1130789974930864e-10,9.255993392377957e-11,0.0,1.129067831292677e-10
1937,9.337192961668604e-07,6.552031774274627e-10,1.8408050679002182e-10,9.255993392377957e-11,0.0,1.3534920010168809e-10
1938,8.840110094102524e-07,5.502711381793241e-10,1.7511898875444132e-10,8.807917490598932e-11,0.0,2.4411045407291e-10
1939,8.560921287426027e-07,6.0130997007032e-10,1.7511898875444132e-10,8.807917490598932e-11,0.0,2.938985047392809e-10
1940,8.274355504259542e-07,6.349815435362822e-10,1.8037119615359794e-10,6.491201623834034e-11,0.0,2.7598355347078854e-10
1941,8.088436353708468e-07,6.227350619297007e-10,2.1306046213024184e-10,6.491201623834034e-11,0.0,2.810942490676689e-10
1942,7.724620201900377e-07,5.00143910413848e-10,2.1306046213024184e-10,4.268968313768186e-11,0.0,2.810942490676689e-10
