ngram,Qi,Qip,Qit,Qia,Qik,Qei,Qui
1841,4.166429233366996e-08,3.104074537090591e-10,1.756785962734954e-09,1.8297229366557944e-09,3.6243542294351576e-10,2.9806616698633906e-10,2.0077546228744074e-06
1842,4.38215990478901e-08,3.4825493282803725e-10,1.4824677993122544e-09,2.270310550667176e-09,4.840663029145479e-10,3.588816069718551e-10,2.0177379838060006e-06
1843,4.3237921687477865e-08,2.731937533338526e-10,1.6973326870990085e-09,2.504148721715893e-09,4.090051234203632e-10,2.838204274776704e-10,1.9457898718298694e-06
1844,4.207547174165224e-08,3.39976610356071e-10,1.5879156085268115e-09,2.595080206280187e-09,3.315637129931913e-10,2.7316187407271693e-10,1.9029016422272044e-06
1845,4.2910613221433125e-08,3.39976610356071e-10,1.2826126192879072e-09,2.6710358290239965e-09,3.315637129931913e-10,2.7316187407271693e-10,1.8861587055393362e-06
1846,4.307201858669682e-08,1.8841373699325052e-10,1.4677131811500844e-09,2.8561363908861738e-09,3.315637129931913e-10,4.0360287334451073e-10,1.8744077903777776e-06
1847,4.4967190859779294e-08,2.490192020841521e-10,1.9981818501411753e-09,2.645042454904204e-09,3.315637129931913e-10,3.8862237237781624e-10,1.8713906878734373e-06
1848,4.690471757027938e-08,2.490192020841521e-10,1.882334423251665e-09,2.6691502500294664e-09,2.8569389711106755e-10,3.186447613704299e-10,1.8480252979965632e-06
1849,4.792520869045802e-08,1.2738832211312e-10,2.251435276307794e-09,2.2759539808347995e-09,1.6406301714003543e-10,3.1156885801511946e-10,1.8308244144853752e-06
1850,4.984433741940718e-08,1.7485823106915584e-10,1.993553877532861e-09,2.196691542951815e-09,2.5900283505210705e-10,3.1156885801511946e-10,1.7982266464449431e-06
1851,5.188385543419827e-08,1.545039691424372e-10,2.025348285908787e-09,1.9817087970608327e-09,2.5900283505210705e-10,3.3764319118390063e-10,1.8141361611664512e-06
1852,5.230274626098565e-08,2.050655399456401e-10,2.3287177107280043e-09,1.9534143826303664e-09,2.5900283505210705e-10,4.387663327903064e-10,1.8200252368062917e-06
1853,5.8604751781591146e-08,2.050655399456401e-10,2.405651106889601e-09,2.0303477787919633e-09,2.5900283505210705e-10,4.0484401545423255e-10,1.800813460509484e-06
1854,5.541254617063325e-08,1.949619354846277e-10,2.2036113568800276e-09,2.0404352176127206e-09,2.5900283505210705e-10,3.4423855036333096e-10,1.7801437479647575e-06
1855,5.571682442402042e-08,3.524671824247808e-10,2.2495553356601963e-09,2.4013896902731956e-09,9.493981791207164e-11,4.4924204832343303e-10,1.7668950574391471e-06
1856,5.4671506940654324e-08,3.524671824247808e-10,2.1675306628919445e-09,2.6337207970072996e-09,9.493981791207164e-11,3.9550251169322744e-10,1.751414028409012e-06
1857,5.2006606259575553e-08,3.531315002318942e-10,2.0277781993221264e-09,2.6390353394642065e-09,0.0,3.9550251169322744e-10,1.7235870310677065e-06
1858,5.25737442152214e-08,3.6430641836560085e-10,2.141256315115113e-09,2.626131502734909e-09,5.7603513229206473e-11,3.026453215022278e-10,1.725230780331393e-06
1859,5.36078234501604e-08,3.7467423608106287e-10,1.8988162788145603e-09,4.435832494970831e-09,5.7603513229206473e-11,3.843103454518168e-10,1.6878126903715644e-06
1860,5.1123919320161804e-08,4.966646538484554e-10,2.048962555178946e-09,4.463988353567824e-09,1.1859872211290272e-10,3.4878687239979303e-10,1.6817456136258052e-06
1861,5.312932164055642e-08,5.026494736310688e-10,1.9273810801325097e-09,4.380939087690803e-09,1.1859872211290272e-10,4.0527355281229557e-10,1.6416958357824894e-06
1862,5.406823331912035e-08,4.5658076922424785e-10,2.1631202543456342e-09,4.245949480896627e-09,1.7431699337956885e-10,3.002700548521935e-10,1.591865481844122e-06
1863,5.837850127120094e-08,5.520565314411283e-10,2.0061801585060023e-09,4.085087522222506e-09,1.7431699337956885e-10,5.866973494329995e-10,1.5416281615086649e-06
1864,5.880544203965396e-08,5.510174261313949e-10,2.1904042230807316e-09,3.8883941939309756e-09,1.7431699337956885e-10,5.866973494329995e-10,1.5093931194444719e-06
