ngram,honey,hoey,hony
1788,1.2163903323068683e-05,2.1581334814462546e-09,3.9338441329813834e-08
1789,1.2660550575154567e-05,0.0,3.4027425702528747e-08
1790,1.2400805124863317e-05,0.0,4.839045532532639e-08
1791,1.1948697387457027e-05,0.0,3.449617290231442e-08
1792,1.3421198413457855e-05,0.0,4.814225982942487e-08
1793,1.4210450639698788e-05,0.0,5.1732271926547517e-08
1794,1.3898611151879387e-05,0.0,5.0567647719950467e-08
1795,1.3822661588034992e-05,0.0,7.051977909558868e-08
1796,1.4040918618515466e-05,0.0,7.125271750396678e-08
1797,1.5165447491329229e-05,0.0,8.126740423465759e-08
1798,1.5358616240389112e-05,0.0,1.0043442128753505e-07
1799,1.4317476338224619e-05,0.0,9.875551639940536e-08
1800,1.3927160580351483e-05,0.0,1.000003644335834e-07
1801,1.3819114688625892e-05,0.0,1.0808127408929685e-07
1802,1.329027574164294e-05,0.0,1.0677573707746596e-07
1803,1.3095581899895998e-05,0.0,1.2172741138881194e-07
1804,1.2932689579819063e-05,0.0,1.1412896075821014e-07
1805,1.2979072250475707e-05,0.0,1.1283243545839078e-07
1806,1.2828017783509235e-05,0.0,1.1617779449579757e-07
1807,1.2901823538413737e-05,2.51065479517365e-09,1.721415401334525e-07
1808,1.2420750603528827e-05,2.51065479517365e-09,1.6524667856288033e-07
1809,1.202493656040003e-05,2.51065479517365e-09,1.6467309801474324e-07
1810,1.1768664340447036e-05,2.51065479517365e-09,1.632986738846804e-07
1811,1.0988865921847588e-05,3.4481905584828253e-09,1.5917614147399816e-07
1812,1.1265075694869406e-05,3.4481905584828253e-09,1.717291741191015e-07
1813,1.0776491113314737e-05,3.4481905584828253e-09,1.628130717230241e-07
1814,1.043546009376379e-05,6.9973218330687814e-09,1.142566468104178e-07
1815,1.0604543084420065e-05,8.156166028275687e-09,1.1255518929585508e-07
1816,1.1321490092086606e-05,8.156166028275687e-09,9.251356049487316e-08
1817,1.1572415262760063e-05,8.156166028275687e-09,8.235176198110952e-08
1818,1.1623568752838764e-05,7.218630264966513e-09,1.0281647888632506e-07
1819,1.1210988694594043e-05,9.32279447291811e-09,9.610606659699833e-08
1820,1.1502266715979204e-05,1.094416075224964e-08,9.281469561171565e-08
1821,1.1502192787052731e-05,5.912808718834737e-09,9.787278238653535e-08
1822,1.1463903060108091e-05,4.753964523627831e-09,1.123629722599162e-07
1823,1.112586128978624e-05,4.753964523627831e-09,1.1426011425896831e-07
1824,1.1035963975051086e-05,5.4245646070277024e-09,1.2088502085053472e-07
1825,1.0915092518968908e-05,5.551181411370518e-09,9.48541116128711e-08
1826,1.086411638035705e-05,3.4470172034189214e-09,7.680943322644193e-08
1827,1.080521594433646e-05,3.6033511967887525e-09,7.742478861213645e-08
1828,1.0853748270684654e-05,1.0628956627543675e-08,7.213426909759488e-08
1829,1.0452989564717946e-05,1.3158830588658584e-08,5.740016309882126e-08
1830,1.0320505550355716e-05,1.3158830588658584e-08,6.1994203040935e-08
1831,1.0204032540579127e-05,1.2488230505258713e-08,5.386620267293958e-08
1832,1.0317313613735937e-05,1.2446763159828272e-08,5.392821630526409e-08
1833,9.922188058096384e-06,1.6158284916427997e-08,5.344216447156214e-08
1834,9.918223180907912e-06,1.4380584643726633e-08,5.093076842805593e-08
1835,9.982977514612554e-06,6.3265451766270075e-09,4.998086516090032e-08
1836,1.0408829179401177e-05,3.946793574500467e-09,5.673138505000809e-08
1837,1.034286794622728e-05,6.967008509788692e-09,5.527879309852324e-08
1838,1.017225388620448e-05,7.272311499027597e-09,6.146878510954984e-08
1839,1.0174650274815836e-05,7.187162040115222e-09,7.068502075721231e-08
1840,1.0505192221899051e-05,3.626812215630691e-09,7.658601321379268e-08
1841,1.0428909523138177e-05,3.976700270667623e-09,9.039625987432893e-08
1842,1.0146271831347673e-05,4.524039206746774e-09,1.0457266341745708e-07
1843,9.849551003883659e-06,4.701789497423598e-09,1.0134370346090041e-07
1844,9.781739598630728e-06,2.1490545533607376e-09,1.0950520845653955e-07
1845,9.671528979587102e-06,1.8437515641218332e-09,1.071147543996176e-07
1846,9.410651598175588e-06,1.974192563393627e-09,9.498529658052185e-08
1847,9.180914405858078e-06,3.3987627077815473e-09,1.0190667814364523e-07
1848,8.96896679997943e-06,3.4316883699782507e-09,8.821274479130028e-08
1849,9.023674075641403e-06,2.9918285071595108e-09,7.808069670188291e-08
1850,9.15136908068754e-06,2.711425766450353e-09,8.281423800683894e-08
1851,9.264168121652411e-06,2.7546603252405687e-09,7.289643022545533e-08
1852,9.279878992986465e-06,2.95690660845338e-09,7.378255517664911e-08
1853,9.456507411544277e-06,2.971243640015331e-09,8.165631777095378e-08
1854,9.662162093653543e-06,2.607546250350217e-09,7.12014142883228e-08
1855,9.751346494470323e-06,2.539743026996888e-09,7.436701870184542e-08
1856,9.842857512662054e-06,2.5316615629275165e-09,6.383687787904688e-08
1857,9.861865302290035e-06,2.6767285610240776e-09,6.428644841857281e-08
1858,1.0172424871208413e-05,2.1660140110084977e-09,6.156672835036911e-08
1859,1.0250451461096028e-05,2.207485281870346e-09,6.312573371961402e-08
1860,1.032693619760851e-05,2.2456928776876897e-09,5.851504931391511e-08
1861,1.0280977741266334e-05,1.3725682574643778e-09,5.7278985618073163e-08
1862,1.0639443384466826e-05,3.899189709206346e-09,5.668144252370309e-08
1863,1.0854443774275882e-05,4.038481501592425e-09,6.40861535267894e-08
1864,1.0967579068424779e-05,3.8930397159932434e-09,6.095565246206596e-08
1865,1.0807281406804187e-05,3.8930397159932434e-09,6.294941456985725e-08
1866,1.0866404409171082e-05,3.6935617818224996e-09,6.776057759338983e-08
1867,1.0878106357787537e-05,3.597001070015133e-09,7.09316435428978e-08
1868,1.1057423632467231e-05,3.2580810034004467e-09,7.352489766227726e-08
1869,1.1322683089279703e-05,4.5603494393451985e-10,7.447567083675364e-08
1870,1.1816513376418567e-05,3.018184630792271e-10,7.63619273210939e-08
1871,1.218500061181008e-05,3.3587546632851684e-10,8.009314354597206e-08
1872,1.2379278814478312e-05,1.4415716993137246e-09,8.443914773741718e-08
1873,1.2937682965587425e-05,1.4753495845644592e-09,7.948285839022771e-08
1874,1.2888560766961226e-05,1.5081468098175422e-09,7.508841497789425e-08
1875,1.3512944081282643e-05,2.7115977360317854e-09,7.688922463801515e-08
1876,1.3710205296644875e-05,3.1703276511966092e-09,8.214015677156437e-08
1877,1.3545116806718787e-05,3.1208064029833847e-09,8.112541038940435e-08
1878,1.3925599107876354e-05,3.3662225110539114e-09,7.638875893738778e-08
1879,1.4790400460437273e-05,2.6445782429020325e-09,7.480288946989536e-08
1880,1.5274122623460634e-05,2.5665607377473823e-09,7.676675955232376e-08
1881,1.636464561930292e-05,2.7314289679265205e-09,7.853695344855233e-08
1882,1.661582077109155e-05,3.504962332272805e-09,7.53316728361954e-08
1883,1.6811440088661455e-05,3.1030144128799517e-09,6.568243244536071e-08
1884,1.7032094027464545e-05,3.06806274037135e-09,5.6343287622796975e-08
1885,1.7298519066701245e-05,2.8866109026891097e-09,5.3272729465853834e-08
1886,1.6753453954671776e-05,3.026742650164798e-09,5.020650815725146e-08
1887,1.63890027969111e-05,3.1096445577257927e-09,4.546397899421858e-08
1888,1.6081311384498675e-05,2.906562712734484e-09,4.300434040617672e-08
1889,1.5745301685196216e-05,9.819202118066528e-10,4.067064602557886e-08
1890,1.5777738423951503e-05,8.855523298783347e-10,4.063191586364415e-08
1891,1.572754523035006e-05,3.855738458672217e-09,4.464003008511749e-08
1892,1.505154926105336e-05,4.0926389578897576e-09,4.633610828363999e-08
1893,1.5040041294664011e-05,3.6837636116108084e-09,4.782392285359752e-08
1894,1.472420029001244e-05,4.086880706870894e-09,4.8779947953952226e-08
1895,1.4152695387435546e-05,4.1540706350952556e-09,4.8631359764580595e-08
1896,1.3930200631356066e-05,4.2373918183815e-09,4.819064360260329e-08
1897,1.3109494830132462e-05,4.33027559841394e-09,4.709033315667252e-08
