ngram,performance,performace,perfrmance,performnce
1627,2.6776205426618356e-05,0.0,0.0,0.0
1628,2.722217147623139e-05,0.0,0.0,0.0
1629,3.1645223511337205e-05,0.0,0.0,0.0
1630,3.2617119943876916e-05,0.0,0.0,0.0
1631,3.329834537778099e-05,0.0,0.0,0.0
1632,3.732388358912431e-05,0.0,0.0,0.0
1633,3.821856028350469e-05,0.0,0.0,0.0
1634,3.5340849405786556e-05,0.0,0.0,0.0
1635,3.6169608003027474e-05,0.0,0.0,0.0
1636,3.3166173255137566e-05,0.0,0.0,0.0
1637,3.237312505786706e-05,0.0,0.0,0.0
1638,3.415668288653251e-05,0.0,0.0,0.0
1639,3.334974982343348e-05,0.0,0.0,0.0
1640,3.256101626902819e-05,0.0,0.0,0.0
1641,2.9220890350448565e-05,0.0,0.0,0.0
1642,3.726131775952776e-05,0.0,0.0,0.0
1643,3.4430339318143e-05,0.0,0.0,0.0
1644,3.533774997777073e-05,0.0,0.0,0.0
1645,3.407908882633949e-05,0.0,0.0,0.0
1646,3.496601896456143e-05,0.0,0.0,0.0
1647,3.615878228759227e-05,0.0,0.0,0.0
1648,4.163363311298391e-05,0.0,0.0,0.0
1649,3.232663610625812e-05,0.0,0.0,0.0
1650,3.210799955663138e-05,0.0,0.0,0.0
1651,3.2194951407810936e-05,0.0,0.0,0.0
1652,3.402257243578788e-05,0.0,0.0,0.0
1653,3.383506425182402e-05,0.0,0.0,0.0
1654,3.2075891275391246e-05,0.0,0.0,0.0
1655,2.8171259275820504e-05,0.0,0.0,0.0
1656,2.8629908099121947e-05,0.0,0.0,0.0
1657,2.8773551093763672e-05,0.0,0.0,0.0
1658,3.0476880315940696e-05,0.0,0.0,0.0
1659,2.9628378147858063e-05,0.0,0.0,0.0
1660,2.7044423794515232e-05,0.0,0.0,0.0
1661,2.8169926866082407e-05,0.0,0.0,0.0
1662,2.8488221167728106e-05,0.0,0.0,0.0
1663,2.558853884693235e-05,0.0,0.0,0.0
1664,2.58430001330063e-05,0.0,0.0,0.0
1665,2.4882480179907622e-05,0.0,0.0,0.0
1666,2.5568753959045614e-05,0.0,0.0,0.0
1667,3.0283925168207914e-05,0.0,0.0,0.0
1668,2.9478094152831807e-05,0.0,0.0,0.0
1669,2.996246764398945e-05,0.0,0.0,0.0
1670,3.158590490264552e-05,0.0,0.0,0.0
1671,3.516765562900608e-05,0.0,0.0,0.0
1672,3.496577119221911e-05,0.0,0.0,0.0
1673,3.5746576551381235e-05,4.948574071152377e-08,0.0,0.0
1674,3.537279034000156e-05,4.948574071152377e-08,0.0,0.0
1675,3.62430109817069e-05,4.948574071152377e-08,0.0,0.0
1676,4.036915353416199e-05,4.948574071152377e-08,0.0,0.0
1677,4.0891195177599525e-05,4.948574071152377e-08,0.0,0.0
1678,4.036255268147215e-05,4.948574071152377e-08,0.0,0.0
1679,3.833738368744629e-05,4.948574071152377e-08,0.0,0.0
1680,3.773080892902466e-05,0.0,0.0,0.0
1681,3.661728338296858e-05,0.0,0.0,0.0
1682,3.577456040407664e-05,0.0,0.0,0.0
1683,3.0980821455679166e-05,0.0,0.0,0.0
1684,3.04143793203236e-05,0.0,0.0,0.0
1685,2.654624664241315e-05,0.0,0.0,0.0
1686,2.664964891404712e-05,0.0,0.0,0.0
1687,2.6946460171270053e-05,0.0,0.0,0.0
1688,2.5374390523731044e-05,0.0,0.0,0.0
1689,2.4772804473676452e-05,0.0,0.0,0.0
1690,2.646059770735779e-05,0.0,0.0,0.0
1691,2.6895044616789425e-05,0.0,0.0,0.0
1692,2.678345637312824e-05,0.0,0.0,0.0
1693,2.58527891544093e-05,0.0,0.0,0.0
1694,2.4257170090485098e-05,0.0,0.0,0.0
1695,2.3956705003261698e-05,0.0,0.0,0.0
1696,2.4216378993254955e-05,0.0,0.0,0.0
1697,2.565396685635538e-05,0.0,0.0,0.0
1698,3.0623600261086335e-05,0.0,0.0,1.0371270572509924e-08
1699,3.095406308213049e-05,0.0,0.0,1.0371270572509924e-08
1700,3.063418054287987e-05,0.0,0.0,1.0371270572509924e-08
1701,2.9409942986343856e-05,0.0,0.0,1.0371270572509924e-08
1702,2.7639731992426926e-05,0.0,0.0,1.0371270572509924e-08
1703,2.6896466157008297e-05,0.0,0.0,1.0371270572509924e-08
1704,2.1465345655867297e-05,0.0,0.0,1.0371270572509924e-08
1705,1.5338728709528887e-05,0.0,0.0,0.0
1706,1.4709523384226486e-05,0.0,0.0,0.0
