ngram,moment,moment,momet,momnt
1719,2.1379431018431205e-05,2.1379431018431205e-05,0.0,0.0
1720,2.2635207122740602e-05,2.2635207122740602e-05,0.0,0.0
1721,2.03797930485702e-05,2.03797930485702e-05,0.0,0.0
1722,1.9717771595294054e-05,1.9717771595294054e-05,7.727586697520955e-09,0.0
1723,1.9584018965750666e-05,1.9584018965750666e-05,7.727586697520955e-09,0.0
1724,1.9289586426956313e-05,1.9289586426956313e-05,7.727586697520955e-09,0.0
1725,1.9240791516494937e-05,1.9240791516494937e-05,7.727586697520955e-09,0.0
1726,1.9888438016226117e-05,1.9888438016226117e-05,7.727586697520955e-09,0.0
1727,2.004147816998219e-05,2.004147816998219e-05,7.727586697520955e-09,0.0
1728,2.23209475994476e-05,2.23209475994476e-05,7.727586697520955e-09,0.0
1729,2.3982039627818657e-05,2.3982039627818657e-05,0.0,0.0
1730,2.402059934476191e-05,2.402059934476191e-05,0.0,0.0
1731,2.427888154800582e-05,2.427888154800582e-05,0.0,0.0
1732,2.3839910032360683e-05,2.3839910032360683e-05,0.0,0.0
1733,2.4776696071577525e-05,2.4776696071577525e-05,0.0,0.0
1734,2.4640135961817577e-05,2.4640135961817577e-05,0.0,0.0
1735,2.3105944170051123e-05,2.3105944170051123e-05,0.0,0.0
1736,2.1398684111773036e-05,2.1398684111773036e-05,0.0,0.0
1737,2.1702678038439315e-05,2.1702678038439315e-05,0.0,0.0
1738,2.2807327176061725e-05,2.2807327176061725e-05,0.0,0.0
1739,2.2735891304494415e-05,2.2735891304494415e-05,0.0,0.0
1740,2.0958095254692516e-05,2.0958095254692516e-05,0.0,0.0
1741,2.1094119282289675e-05,2.1094119282289675e-05,0.0,0.0
1742,2.154324673548607e-05,2.154324673548607e-05,0.0,0.0
1743,2.1509317385997357e-05,2.1509317385997357e-05,0.0,0.0
1744,2.1407280915549825e-05,2.1407280915549825e-05,0.0,0.0
1745,2.491821396688465e-05,2.491821396688465e-05,0.0,0.0
1746,2.6920158364061664e-05,2.6920158364061664e-05,0.0,0.0
1747,2.9717335824638474e-05,2.9717335824638474e-05,0.0,0.0
1748,3.169583864551636e-05,3.169583864551636e-05,0.0,0.0
1749,3.4764425955862475e-05,3.4764425955862475e-05,4.955280376504691e-09,0.0
1750,3.916198147635441e-05,3.916198147635441e-05,4.955280376504691e-09,0.0
1751,4.300399242700743e-05,4.300399242700743e-05,4.955280376504691e-09,0.0
