ngram,gift,gft,gift,gfit
1628,4.164628314486306e-05,1.5977134028487073e-07,4.164628314486306e-05,0.0
1629,3.4782248673894044e-05,2.423006841516846e-07,3.4782248673894044e-05,0.0
1630,3.420257468990583e-05,2.423006841516846e-07,3.420257468990583e-05,0.0
1631,4.1160014266746915e-05,2.423006841516846e-07,4.1160014266746915e-05,0.0
1632,4.329218739128139e-05,2.423006841516846e-07,4.329218739128139e-05,0.0
1633,4.5736047468381e-05,2.423006841516846e-07,4.5736047468381e-05,0.0
1634,4.093435823701189e-05,8.252934386681382e-08,4.093435823701189e-05,0.0
1635,3.961115856197596e-05,8.252934386681382e-08,3.961115856197596e-05,0.0
1636,3.954857493226882e-05,0.0,3.954857493226882e-05,0.0
1637,4.100502883375157e-05,0.0,4.100502883375157e-05,0.0
1638,4.01864752867758e-05,0.0,4.01864752867758e-05,0.0
1639,4.1766007208415044e-05,0.0,4.1766007208415044e-05,0.0
1640,3.727590644432764e-05,0.0,3.727590644432764e-05,0.0
1641,4.013881698483601e-05,0.0,4.013881698483601e-05,0.0
1642,4.423244821997027e-05,0.0,4.423244821997027e-05,0.0
1643,4.300292753863947e-05,0.0,4.300292753863947e-05,0.0
1644,4.279866126515637e-05,0.0,4.279866126515637e-05,0.0
1645,5.033760940672697e-05,0.0,5.033760940672697e-05,0.0
1646,5.117328224254639e-05,0.0,5.117328224254639e-05,0.0
1647,5.464019782916044e-05,0.0,5.464019782916044e-05,0.0
1648,5.730456879453933e-05,0.0,5.730456879453933e-05,0.0
1649,5.6230047058696595e-05,0.0,5.6230047058696595e-05,0.0
1650,5.708211028832011e-05,0.0,5.708211028832011e-05,0.0
1651,5.9297501658355554e-05,0.0,5.9297501658355554e-05,0.0
1652,4.829907473841948e-05,0.0,4.829907473841948e-05,0.0
1653,4.906039248453453e-05,0.0,4.906039248453453e-05,0.0
1654,5.264917438450668e-05,0.0,5.264917438450668e-05,0.0
1655,5.317344766808674e-05,0.0,5.317344766808674e-05,0.0
1656,5.488540929426173e-05,0.0,5.488540929426173e-05,0.0
1657,5.9498847154567814e-05,0.0,5.9498847154567814e-05,0.0
1658,6.0388260213325596e-05,0.0,6.0388260213325596e-05,0.0
1659,6.249047614151746e-05,0.0,6.249047614151746e-05,0.0
1660,6.373514250818906e-05,0.0,6.373514250818906e-05,0.0
1661,6.089090987058755e-05,1.3437081796447664e-07,6.089090987058755e-05,0.0
1662,5.377418243110047e-05,1.3437081796447664e-07,5.377418243110047e-05,0.0
1663,5.018352801146518e-05,1.3437081796447664e-07,5.018352801146518e-05,0.0
1664,4.496512857648278e-05,1.3437081796447664e-07,4.496512857648278e-05,0.0
1665,4.2447632170348826e-05,1.3437081796447664e-07,4.2447632170348826e-05,0.0
1666,3.9359994583979384e-05,1.3437081796447664e-07,3.9359994583979384e-05,0.0
1667,3.382609845305394e-05,1.6682313384665447e-07,3.382609845305394e-05,0.0
1668,3.3970590136180234e-05,3.245231588217783e-08,3.3970590136180234e-05,0.0
1669,3.540337274898775e-05,3.245231588217783e-08,3.540337274898775e-05,0.0
1670,3.4650359209211145e-05,7.110148406549602e-08,3.4650359209211145e-05,0.0
1671,3.564563173443146e-05,1.1021167673724059e-07,3.564563173443146e-05,0.0
1672,3.790532952864721e-05,1.594128795951682e-07,3.790532952864721e-05,0.0
1673,3.882271370717457e-05,1.594128795951682e-07,3.882271370717457e-05,0.0
1674,3.9808092749029e-05,1.2696056371299035e-07,3.9808092749029e-05,0.0
1675,3.89222854469803e-05,1.2696056371299035e-07,3.89222854469803e-05,3.431849953423287e-08
1676,4.46064100937552e-05,1.2696056371299035e-07,4.46064100937552e-05,3.431849953423287e-08
