ngram,paint,pint,pat,pint
1707,4.922250354866264e-06,3.103103982279468e-06,3.4249902195629796e-06,3.103103982279468e-06
1708,5.074411417029166e-06,2.986935734432856e-06,3.4623619415339945e-06,2.986935734432856e-06
1709,5.232609899914158e-06,2.831248228371156e-06,3.103923128427206e-06,2.831248228371156e-06
1710,6.080191984178132e-06,2.733183752720184e-06,2.9562365528233514e-06,2.733183752720184e-06
1711,6.532197273502659e-06,2.8531966782858424e-06,3.0582874452582994e-06,2.8531966782858424e-06
1712,6.584887777145403e-06,2.8289509137786288e-06,3.069859595988029e-06,2.8289509137786288e-06
1713,6.478526334571402e-06,2.6836841056722605e-06,3.3083792589293026e-06,2.6836841056722605e-06
1714,6.383260077719959e-06,8.309233773421251e-07,3.4842257718992187e-06,8.309233773421251e-07
1715,6.958076060722565e-06,7.650787919390365e-07,3.3390761343200992e-06,7.650787919390365e-07
1716,6.98039155265308e-06,8.795380261566217e-07,3.4628334820549104e-06,8.795380261566217e-07
1717,6.296450432533415e-06,9.750118711135007e-07,3.731777659205753e-06,9.750118711135007e-07
1718,6.802112985886717e-06,9.127146185505808e-07,3.6283367990108673e-06,9.127146185505808e-07
1719,7.522903095897553e-06,8.225309997555996e-07,3.6195103153399292e-06,8.225309997555996e-07
1720,7.446983545378316e-06,1.0221525081582122e-06,3.255114831647786e-06,1.0221525081582122e-06
1721,7.273692452664753e-06,9.525495607525565e-07,2.2917364893666153e-05,9.525495607525565e-07
1722,6.731420788647873e-06,1.7758065707442126e-06,5.849048099142757e-05,1.7758065707442126e-06
1723,7.1238366997152165e-06,2.0081332081645087e-06,5.854256281574115e-05,2.0081332081645087e-06
1724,7.121053126216534e-06,2.2539681806067946e-06,5.815788629856148e-05,2.2539681806067946e-06
1725,6.476371709140949e-06,2.193943836508489e-06,5.8047100261709215e-05,2.193943836508489e-06
1726,5.9987256203645046e-06,2.171623374839068e-06,5.7900528304344334e-05,2.171623374839068e-06
1727,6.347766819609595e-06,2.0137098074103832e-06,5.7850254717907645e-05,2.0137098074103832e-06
1728,6.520508057812029e-06,1.947104538300794e-06,3.7863023359412705e-05,1.947104538300794e-06
1729,6.337232012551145e-06,2.010973868696705e-06,2.161983940953048e-06,2.010973868696705e-06
1730,6.248454090902149e-06,1.8654268468968179e-06,1.9767738227268898e-06,1.8654268468968179e-06
1731,6.0230814986945395e-06,1.7056569033359535e-06,2.462094698785222e-06,1.7056569033359535e-06
