ngram,balance,balnce,balane,blance
1735,7.449917250466699e-06,0.0,0.0,3.1885773767368975e-07
1736,7.615550917502592e-06,0.0,0.0,2.8183994312972314e-07
1737,8.632582323895934e-06,0.0,0.0,2.35877312856506e-07
1738,1.1570675009612127e-05,0.0,0.0,2.534198070439483e-07
1739,1.2068478489319595e-05,0.0,0.0,2.162752821277536e-07
1740,1.3014764655443806e-05,0.0,0.0,2.115630601500535e-07
1741,1.2102612670007926e-05,0.0,0.0,2.051376932448485e-07
1742,1.316505586146377e-05,0.0,0.0,2.2391159453556092e-07
1743,1.3492034668161068e-05,0.0,0.0,2.6788879381456354e-07
1744,1.3835922410570284e-05,0.0,0.0,3.0269912697024536e-07
1745,1.131306336381905e-05,0.0,0.0,2.8319114164787607e-07
1746,1.1451073727844882e-05,0.0,0.0,3.100912928338013e-07
1747,1.1332798359425006e-05,0.0,0.0,2.892915063057444e-07
1748,1.2433651266162218e-05,0.0,0.0,3.178204609964398e-07
1749,1.3444964289582068e-05,0.0,0.0,3.2273165930161797e-07
1750,1.4119894590943918e-05,0.0,0.0,2.9516148052672566e-07
1751,1.4875948961291994e-05,0.0,0.0,2.64786882959405e-07
1752,1.59071122262893e-05,0.0,0.0,2.9263523921534737e-07
1753,1.6292184877134525e-05,0.0,0.0,3.282517094963363e-07
1754,1.8731077164245236e-05,0.0,0.0,3.6600799749716574e-07
1755,1.9217758173389094e-05,0.0,0.0,3.347454427934541e-07
1756,1.870713198773696e-05,0.0,0.0,3.307246966447305e-07
1757,1.9160194694580112e-05,0.0,0.0,3.786876711891247e-07
1758,1.8408807331330275e-05,0.0,0.0,3.714261010502794e-07
1759,1.8453825240223004e-05,0.0,0.0,3.803037356777038e-07
1760,1.844988660845307e-05,0.0,0.0,3.447839519919528e-07
1761,1.750142577553301e-05,0.0,0.0,3.4312684046458995e-07
1762,1.797476709595815e-05,0.0,0.0,3.537098324711353e-07
1763,1.9060645562214112e-05,0.0,0.0,3.28048496304031e-07
1764,3.034744154969563e-05,0.0,0.0,2.7557542685891736e-07
1765,3.179360101057682e-05,0.0,0.0,3.155577335941676e-07
1766,3.349839997619191e-05,0.0,0.0,3.0751174660638624e-07
1767,3.7990359487594105e-05,0.0,0.0,3.1175877828510626e-07
1768,4.2785277920691965e-05,0.0,0.0,2.8852733180428913e-07
1769,4.2939839789011914e-05,0.0,0.0,2.9666508031108864e-07
1770,4.286147902478531e-05,0.0,0.0,3.4598447687780466e-07
1771,3.467635724518914e-05,0.0,0.0,3.3260532664566457e-07
1772,3.4666983992792666e-05,0.0,0.0,3.231200602320834e-07
1773,3.6469305216866944e-05,0.0,0.0,3.274091438600278e-07
1774,3.3838195252298776e-05,0.0,0.0,3.3669087023164526e-07
1775,3.0229799189588187e-05,0.0,0.0,3.6784900560503176e-07
1776,3.060946073674131e-05,0.0,0.0,3.574159157843886e-07
1777,3.0461909253582625e-05,0.0,0.0,3.174063018767421e-07
1778,2.8038017782299513e-05,0.0,0.0,3.247505893406404e-07
1779,2.8461295317226488e-05,0.0,0.0,3.1037984220867134e-07
1780,2.599210139513681e-05,0.0,0.0,2.984114116445978e-07
1781,2.635039215549893e-05,0.0,0.0,2.9660010422308656e-07
1782,2.58255801911998e-05,0.0,0.0,3.136304371764709e-07
1783,2.6398437122614788e-05,0.0,0.0,3.109886169535717e-07
1784,3.0552456986957365e-05,0.0,0.0,3.2341991535694045e-07
1785,3.254199405741279e-05,0.0,0.0,3.3788194083886734e-07
1786,3.205252765578085e-05,0.0,0.0,3.3575782002312084e-07
1787,3.2353303270480994e-05,0.0,0.0,3.473881012691241e-07
1788,3.2373066070639265e-05,0.0,0.0,3.4409257563895933e-07
1789,3.328709577285086e-05,0.0,0.0,3.0013793101651185e-07
1790,3.312134659998784e-05,0.0,0.0,3.0950318676202316e-07
1791,3.157714153141049e-05,0.0,0.0,3.037282689482319e-07
1792,3.0561805553069075e-05,0.0,1.0882620519022827e-09,2.8950766558669526e-07
1793,3.117928827123251e-05,0.0,1.0882620519022827e-09,2.861416094544568e-07
1794,3.2161549825104885e-05,0.0,1.0882620519022827e-09,2.715014082761107e-07
1795,3.187647910505932e-05,0.0,1.0882620519022827e-09,3.2179237255799566e-07
1796,3.134634841574423e-05,0.0,2.0364236646181713e-09,3.174472210178335e-07
1797,3.069633307209837e-05,0.0,2.0364236646181713e-09,3.0324223944587304e-07
1798,2.9621679329596062e-05,5.786566781296187e-10,2.0364236646181713e-09,3.1774848504742946e-07
1799,3.011109869735914e-05,5.786566781296187e-10,9.481616127158888e-10,3.1702030461084565e-07
1800,2.9643765498933915e-05,5.786566781296187e-10,9.481616127158888e-10,3.156916140564395e-07
1801,2.9183284693447475e-05,5.786566781296187e-10,9.481616127158888e-10,3.1266300482002407e-07
1802,3.096042876547601e-05,5.786566781296187e-10,9.481616127158888e-10,2.531010250907327e-07
1803,3.2511090986580325e-05,5.786566781296187e-10,0.0,2.549470130881153e-07
1804,3.305048630863894e-05,5.786566781296187e-10,0.0,2.668278337328697e-07
1805,3.2157626264961436e-05,0.0,0.0,2.3647987136752947e-07
1806,3.157417943709463e-05,0.0,0.0,2.3293488027320564e-07
1807,3.182341632574597e-05,0.0,0.0,2.351712709014464e-07
1808,3.27417617102453e-05,0.0,0.0,2.3281308309768584e-07
1809,3.239064218567884e-05,0.0,0.0,2.2305149067441172e-07
1810,3.0776476705796085e-05,0.0,2.17937652052009e-10,2.2166995198144184e-07
1811,3.021556273909352e-05,0.0,2.17937652052009e-10,2.073233389410234e-07
