ngram,football,fotball,footbal,foootball
1832,2.093471818755331e-07,0.0,0.0,0.0
1833,2.067202140259334e-07,0.0,0.0,0.0
1834,2.0400585957044575e-07,0.0,0.0,0.0
1835,1.989023579491394e-07,0.0,0.0,0.0
1836,1.6744222161183382e-07,0.0,7.506117949418467e-11,0.0
1837,1.6353040166450228e-07,0.0,7.506117949418467e-11,0.0
1838,1.8535332100912326e-07,0.0,7.506117949418467e-11,0.0
1839,1.6699369252494633e-07,0.0,1.508426161755949e-10,0.0
1840,1.7279498365496693e-07,0.0,1.508426161755949e-10,0.0
1841,1.814375666851577e-07,0.0,1.508426161755949e-10,0.0
1842,1.794137095397933e-07,0.0,1.508426161755949e-10,0.0
1843,1.8827176972990856e-07,0.0,1.4135596661444894e-10,0.0
1844,1.968159933442491e-07,0.0,1.4135596661444894e-10,0.0
1845,1.8730433331321755e-07,0.0,1.4135596661444894e-10,0.0
1846,1.8522795690906995e-07,0.0,6.557452993303871e-11,0.0
1847,1.8287749575003026e-07,6.060546509090159e-11,6.557452993303871e-11,0.0
1848,1.829041776448191e-07,6.060546509090159e-11,6.557452993303871e-11,0.0
1849,1.8916019379438304e-07,6.060546509090159e-11,6.557452993303871e-11,0.0
1850,1.907762379817411e-07,6.060546509090159e-11,4.746990895603582e-11,0.0
1851,1.9919424078450122e-07,6.060546509090159e-11,4.746990895603582e-11,0.0
1852,2.0243321533338792e-07,6.060546509090159e-11,4.746990895603582e-11,0.0
1853,2.121261794789981e-07,6.060546509090159e-11,4.746990895603582e-11,0.0
1854,2.3536587840616058e-07,0.0,9.797176958592502e-11,0.0
1855,2.590100223187619e-07,0.0,9.797176958592502e-11,0.0
1856,2.7106612979618407e-07,0.0,9.797176958592502e-11,0.0
1857,2.8959374885419364e-07,0.0,5.05018606298892e-11,0.0
1858,3.0146547252180813e-07,0.0,5.05018606298892e-11,0.0
1859,3.1721060622658115e-07,0.0,5.05018606298892e-11,0.0
1860,3.2898511952745526e-07,0.0,1.724922783972817e-10,0.0
1861,3.893816174890422e-07,0.0,1.219904177673925e-10,0.0
1862,3.9441111100911387e-07,0.0,1.219904177673925e-10,0.0
1863,4.066471400879631e-07,0.0,2.652040650577955e-10,0.0
1864,4.164641487542602e-07,0.0,3.1229918651121125e-10,0.0
1865,4.278540229409243e-07,2.2113276289457773e-10,4.449788394898592e-10,0.0
1866,4.5063408395305616e-07,2.2113276289457773e-10,4.449788394898592e-10,0.0
1867,4.627644532969758e-07,2.2113276289457773e-10,3.229884217224667e-10,0.0
1868,4.126428336803656e-07,2.2113276289457773e-10,3.229884217224667e-10,0.0
1869,4.130894849043086e-07,2.2113276289457773e-10,3.229884217224667e-10,0.0
1870,4.206252819065932e-07,2.2113276289457773e-10,3.909570841667939e-10,0.0
1871,4.2191112064366667e-07,2.2113276289457773e-10,5.467422784352241e-10,0.0
1872,4.1360294744663406e-07,0.0,4.1406262545657617e-10,0.0
1873,4.1238919022492026e-07,0.0,4.1406262545657617e-10,0.0
1874,4.26834978790274e-07,0.0,5.332847655533815e-10,0.0
1875,4.5912116369046476e-07,0.0,6.937448869339034e-10,0.0
1876,4.947100040096432e-07,0.0,7.320768713459103e-10,0.0
1877,5.063953096851037e-07,0.0,5.907979066283836e-10,0.0
1878,5.475531484730059e-07,0.0,4.2420295054412804e-10,0.0
1879,5.896988933987554e-07,0.0,4.2420295054412804e-10,0.0
1880,6.311734555960616e-07,0.0,4.899763174557949e-10,0.0
1881,6.829122298768198e-07,0.0,4.023197727346225e-10,0.0
1882,7.256697927005007e-07,0.0,2.742692303428892e-10,0.0
1883,7.44181331161339e-07,0.0,3.0018250187145515e-10,0.0
1884,8.234578347453083e-07,0.0,2.607900641469842e-10,0.0
1885,8.626217566286089e-07,0.0,3.986443754465187e-10,0.0
1886,9.545180595133779e-07,0.0,6.193533027712813e-10,2.7588615915595328e-11
1887,1.0564445460659044e-06,0.0,6.08847872911917e-10,2.7588615915595328e-11
1888,1.1663348768057143e-06,0.0,6.852936472258518e-10,2.7588615915595328e-11
1889,1.321609797092346e-06,0.0,9.669348218935676e-10,2.7588615915595328e-11
1890,1.5257176398465942e-06,0.0,1.130350773299276e-09,5.288430606130236e-11
1891,1.7999149771899932e-06,0.0,1.3302853382349662e-09,5.288430606130236e-11
1892,2.0718080285015664e-06,2.247158213476906e-11,1.3808614846804496e-09,5.288430606130236e-11
1893,2.2720498528932306e-06,4.553325573729085e-11,1.459954328066258e-09,9.448071293581352e-11
1894,2.450194594010619e-06,4.553325573729085e-11,1.647695892424496e-09,1.1657248579131719e-10
1895,2.6520411405986773e-06,4.553325573729085e-11,1.709054183888067e-09,1.3774369343545955e-10
1896,2.7948971949496937e-06,4.553325573729085e-11,1.6469489740243505e-09,1.3774369343545955e-10
1897,2.932515371867339e-06,6.411001095076228e-11,1.5493250492072873e-09,1.1244800328975252e-10
1898,2.96074384615557e-06,6.411001095076228e-11,1.4271085900320811e-09,1.1244800328975252e-10
1899,3.0712453410939944e-06,1.1449405510978648e-10,1.4209596515308525e-09,1.1244800328975252e-10
1900,3.193120944290838e-06,1.4564419511689915e-10,1.3380051352588192e-09,6.133358503619085e-11
