ngram,breath,breth,brath,breath
1809,2.7225834336214965e-05,1.653239272465206e-07,8.478559695593698e-09,2.7225834336214965e-05
1810,2.6370913474238478e-05,1.674846907511502e-07,8.696497347645708e-09,2.6370913474238478e-05
1811,2.5529803938947486e-05,1.6096235912397917e-07,8.250032577729525e-09,2.5529803938947486e-05
1812,2.4634662362846677e-05,1.5863160233006317e-07,7.969385833790049e-09,2.4634662362846677e-05
1813,2.408651380392257e-05,1.4402739826177173e-07,4.737643277685777e-09,2.408651380392257e-05
1814,2.2694240864698907e-05,1.1241473377562475e-07,3.900758367108332e-09,2.2694240864698907e-05
1815,2.2528740893384175e-05,1.1538546220078518e-07,5.0173801145549285e-09,2.2528740893384175e-05
1816,2.3219744824538274e-05,1.029652046164691e-07,4.186739288591923e-09,2.3219744824538274e-05
1817,2.389174785223856e-05,9.271177857174604e-08,3.968801636539914e-09,2.389174785223856e-05
1818,2.5763895142258013e-05,1.0664311998555474e-07,3.5000337548853265e-09,2.5763895142258013e-05
1819,2.6549367768374005e-05,1.0626291465801582e-07,5.21519227802969e-09,2.6549367768374005e-05
1820,2.7589587521755936e-05,1.1918520722734424e-07,5.122027341946429e-09,2.7589587521755936e-05
1821,2.821626367222052e-05,1.1607941071848213e-07,5.764798638452362e-09,2.821626367222052e-05
1822,2.89926566828009e-05,1.1597820507144466e-07,5.161427126968274e-09,2.89926566828009e-05
1823,2.9497130526578985e-05,1.2001237134232463e-07,4.6232847708945914e-09,2.9497130526578985e-05
1824,2.9469198385153766e-05,1.2630987709729068e-07,4.757404787574566e-09,2.9469198385153766e-05
1825,2.8476618483961958e-05,1.0733480491710776e-07,5.390488785498146e-09,2.8476618483961958e-05
1826,2.78970263544969e-05,1.036778972515354e-07,4.384607946558308e-09,2.78970263544969e-05
1827,2.743122136702628e-05,9.780465453396963e-08,5.030949498266832e-09,2.743122136702628e-05
1828,2.743217113935056e-05,1.0170105874911834e-07,4.829495438483735e-09,2.743217113935056e-05
1829,2.590372943294434e-05,9.929779411420116e-08,4.9241733547842975e-09,2.590372943294434e-05
1830,2.5980132964572738e-05,9.833344551322756e-08,4.131543044191435e-09,2.5980132964572738e-05
1831,2.5810162437015345e-05,9.875285452868151e-08,4.461896312741536e-09,2.5810162437015345e-05
1832,2.5936640668078326e-05,1.0154469265444277e-07,4.25455962524016e-09,2.5936640668078326e-05
1833,2.58404577055314e-05,1.0053656853058004e-07,3.5540084684728056e-09,2.58404577055314e-05
1834,2.5867171124056248e-05,9.270229688646786e-08,6.267521692114388e-09,2.5867171124056248e-05
1835,2.5668000359603737e-05,8.805428970098156e-08,7.75322261947764e-09,2.5668000359603737e-05
1836,2.7168035168350408e-05,9.11934299503108e-08,7.960787822598142e-09,2.7168035168350408e-05
1837,2.695514896393953e-05,9.122420254113552e-08,8.002502961877513e-09,2.695514896393953e-05
1838,2.720431777041605e-05,8.805546514167872e-08,8.30128713388437e-09,2.720431777041605e-05
1839,2.731888058146329e-05,8.606609571058601e-08,8.330228427690299e-09,2.731888058146329e-05
1840,2.7672333869434495e-05,9.612271156811403e-08,8.838653269600222e-09,2.7672333869434495e-05
1841,2.8009647524283666e-05,1.020318884619493e-07,5.5338926774339825e-09,2.8009647524283666e-05
1842,2.834241266620146e-05,1.0895637509682793e-07,4.519106136921128e-09,2.834241266620146e-05
1843,2.792562996286766e-05,1.1138862886030307e-07,3.927271301813156e-09,2.792562996286766e-05
1844,2.795266274396064e-05,1.196417329651922e-07,3.6949470784618045e-09,2.795266274396064e-05
1845,2.7940844509950174e-05,1.2285622525658774e-07,3.19864468245612e-09,2.7940844509950174e-05
1846,2.7672464057104662e-05,1.1995397284993358e-07,3.3309405709859773e-09,2.7672464057104662e-05
1847,2.8005515559925698e-05,1.0964169762571276e-07,2.8175028024942807e-09,2.8005515559925698e-05
1848,2.77466177586965e-05,1.069388559926665e-07,2.79574078173742e-09,2.77466177586965e-05
1849,2.7705276547099595e-05,1.0352767633646311e-07,2.3134254512058305e-09,2.7705276547099595e-05
1850,2.782211465403504e-05,9.700778491605888e-08,2.0442833774987027e-09,2.782211465403504e-05
1851,2.8156631482748446e-05,8.911686575986875e-08,2.4157121382627012e-09,2.8156631482748446e-05
1852,2.8060388233695577e-05,8.749743025353901e-08,2.9577422098827e-09,2.8060388233695577e-05
1853,2.829282623549391e-05,9.018869105505343e-08,2.75683244486759e-09,2.829282623549391e-05
1854,2.8070496617666712e-05,9.428878249601829e-08,3.2214366412525966e-09,2.8070496617666712e-05
1855,2.8056910325955998e-05,9.37948020204463e-08,2.945812355952577e-09,2.8056910325955998e-05
1856,2.7903746480920484e-05,8.972833752198182e-08,3.0625828857060763e-09,2.7903746480920484e-05
1857,2.7820369983341413e-05,8.948144117734305e-08,3.3059112907502755e-09,2.7820369983341413e-05
1858,2.715045333648699e-05,8.470157400860704e-08,3.798535232389457e-09,2.715045333648699e-05
1859,2.7106492260437725e-05,7.808537765591999e-08,4.086279156315495e-09,2.7106492260437725e-05
1860,2.6692398023442365e-05,7.362015657414694e-08,3.9441852641074e-09,2.6692398023442365e-05
1861,2.6616023335788797e-05,6.647685322848571e-08,3.914999340588159e-09,2.6616023335788797e-05
1862,2.679500669598513e-05,6.098803595477875e-08,4.531116846808101e-09,2.679500669598513e-05
1863,2.714720202285597e-05,6.119554894569643e-08,4.414070950023838e-09,2.714720202285597e-05
1864,2.7052616133005358e-05,6.178834561459163e-08,4.075053152062326e-09,2.7052616133005358e-05
1865,2.737875833450484e-05,6.2362498149631e-08,3.564812857602208e-09,2.737875833450484e-05
1866,2.732317807385698e-05,6.591299696521804e-08,2.6892819082746655e-09,2.732317807385698e-05
1867,2.7570134209651898e-05,6.90054657224794e-08,3.6984623300436883e-09,2.7570134209651898e-05
1868,2.757399254603245e-05,6.806495024745476e-08,4.589031599167015e-09,2.757399254603245e-05
1869,2.7302334793993005e-05,6.714501513524088e-08,4.1975135430963715e-09,2.7302334793993005e-05
