ngram,office,ofice,offce,ofice
1648,0.00011830169855134695,3.272325394781157e-07,0.0,3.272325394781157e-07
1649,0.0001060208362884753,3.272325394781157e-07,0.0,3.272325394781157e-07
1650,0.00010463145476283639,1.4658764614848353e-07,0.0,1.4658764614848353e-07
1651,9.638935703800858e-05,1.895877273584899e-07,0.0,1.895877273584899e-07
1652,8.800459129685936e-05,1.895877273584899e-07,0.0,1.895877273584899e-07
1653,8.216833781001956e-05,2.3960087349093685e-07,0.0,2.3960087349093685e-07
1654,8.739064235539575e-05,3.225672458029294e-07,0.0,3.225672458029294e-07
1655,9.323008271167055e-05,3.3482105469114944e-07,0.0,3.3482105469114944e-07
1656,9.35261310327665e-05,3.8012838591125077e-07,0.0,3.8012838591125077e-07
1657,9.815816987871326e-05,4.0793281844539055e-07,0.0,4.0793281844539055e-07
1658,0.00010970633593387902,5.257796362099855e-07,0.0,5.257796362099855e-07
1659,0.0001252126634686387,6.222811898786469e-07,0.0,6.222811898786469e-07
1660,0.0001659995739048879,5.517044335030212e-07,0.0,5.517044335030212e-07
1661,0.00021048456463696702,6.031088791555053e-07,0.0,6.031088791555053e-07
1662,0.0002815701757624213,5.856056942223274e-07,0.0,5.856056942223274e-07
1663,0.0003362147129207317,6.059933416021782e-07,0.0,6.059933416021782e-07
1664,0.00036042735986744186,6.174918902550936e-07,0.0,6.174918902550936e-07
1665,0.0003533567235405956,5.889198381022911e-07,0.0,5.889198381022911e-07
1666,0.0003357117270102857,5.723150796451851e-07,0.0,5.723150796451851e-07
1667,0.00028962291980860755,5.245925953951363e-07,3.245231588217783e-08,5.245925953951363e-07
1668,0.0002456757054980179,4.777282092455997e-07,3.245231588217783e-08,4.777282092455997e-07
1669,0.0001630302389717794,5.269906243451519e-07,3.245231588217783e-08,5.269906243451519e-07
1670,0.00010430737893329933,4.99944813928518e-07,3.245231588217783e-08,4.99944813928518e-07
1671,7.574237523450782e-05,4.997520254132073e-07,3.245231588217783e-08,4.997520254132073e-07
1672,6.496418739386302e-05,3.674771785914085e-07,3.245231588217783e-08,3.674771785914085e-07
1673,5.945113610193532e-05,2.8758038337985325e-07,3.245231588217783e-08,2.8758038337985325e-07
1674,5.122029220469163e-05,2.551280674976754e-07,0.0,2.551280674976754e-07
1675,4.6922789416774844e-05,1.6762163568273536e-07,0.0,1.6762163568273536e-07
1676,4.4431961993853163e-05,3.354384229429083e-07,0.0,3.354384229429083e-07
