ngram,court,crt,cout,curt
1687,1.685200991882344e-05,4.779023957520881e-08,1.1141097542934273e-07,1.750392247653768e-07
1688,1.67070692051701e-05,4.779023957520881e-08,8.903512796873006e-08,2.682223814482703e-07
1689,1.3884091263857304e-05,2.762920660513503e-08,1.206062977741697e-07,2.0773928253804896e-07
1690,1.303521893143105e-05,6.91697883732039e-08,1.4137658865820413e-07,2.4668598947690565e-07
1691,1.6472105991332292e-05,6.91697883732039e-08,1.658426417147244e-07,2.1746440990812387e-07
1692,1.550097613289836e-05,6.91697883732039e-08,1.45636810040222e-07,2.1746440990812387e-07
1693,1.3541016609711473e-05,4.1540581768068867e-08,1.1800760343508695e-07,2.1746440990812387e-07
1694,1.6362258780385934e-05,4.1540581768068867e-08,1.0119306434067507e-07,1.7626432021903122e-07
1695,1.5164320562429826e-05,7.255418868875754e-08,1.0119306434067507e-07,1.2960157391717075e-07
1696,1.5335147639104563e-05,7.255418868875754e-08,6.962189453523543e-08,1.2960157391717075e-07
1697,2.161106359770721e-05,3.836068174223328e-08,5.619867847274561e-08,7.590870966721144e-08
1698,3.284890278467044e-05,4.873195231474321e-08,4.2103895988735273e-08,1.2776506049963894e-07
1699,3.296608377110845e-05,4.873195231474321e-08,4.2103895988735273e-08,1.5390414124080314e-07
1700,3.2881060958191354e-05,6.172980501365341e-08,4.2103895988735273e-08,1.6690199393971333e-07
1701,2.9834225123132846e-05,6.172980501365341e-08,1.7718345394054528e-08,2.0556903125777482e-07
1702,3.096253970267883e-05,7.865683723399083e-08,1.7718345394054528e-08,2.1897441878796338e-07
1703,3.2395096890728124e-05,8.969804708515636e-08,2.8759555245220066e-08,2.4105683849029447e-07
1704,2.6002439881267492e-05,9.1012738932607e-08,2.1412480423675462e-08,2.549773735641533e-07
1705,2.186510690600179e-05,8.979927303341486e-08,1.104120985116554e-08,2.3059443776674016e-07
1706,2.4351241726045763e-05,1.0087465592992625e-07,1.104120985116554e-08,2.3768150470004912e-07
1707,2.8287472819751463e-05,1.0002925624316309e-07,1.104120985116554e-08,2.6114101103758003e-07
1708,2.9240408106748612e-05,1.0967512358612502e-07,2.0687077194127468e-08,2.7070330840420607e-07
1709,2.769747106867726e-05,6.173448444509891e-08,2.0687077194127468e-08,2.348275428078393e-07
1710,2.9364632285121062e-05,5.069327459393337e-08,2.686089065459133e-08,2.4717516972876705e-07
1711,3.0233161266681107e-05,6.141616535972259e-08,2.686089065459133e-08,2.0386633536872978e-07
1712,2.0990628984561355e-05,5.2258360686404815e-08,2.686089065459133e-08,1.981197600896069e-07
