ngram,warning,warng,warng,warng
1746,6.311765641190245e-06,0.0,0.0,0.0
1747,6.755903476524898e-06,0.0,0.0,0.0
1748,6.948056839714159e-06,0.0,0.0,0.0
1749,7.308822530051527e-06,0.0,0.0,0.0
1750,7.873888859778941e-06,0.0,0.0,0.0
1751,8.307817097374937e-06,0.0,0.0,0.0
1752,8.692921840390358e-06,0.0,0.0,0.0
1753,8.499665000272216e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1754,8.748321111592564e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1755,9.120889964313911e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1756,8.706862964962575e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1757,8.629775103535004e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1758,8.38010919324006e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1759,7.916971883657555e-06,5.029352426585579e-09,5.029352426585579e-09,5.029352426585579e-09
1760,8.058716373073236e-06,0.0,0.0,0.0
1761,7.836048228325256e-06,0.0,0.0,0.0
1762,8.052165477628087e-06,0.0,0.0,0.0
1763,8.451811156971547e-06,0.0,0.0,0.0
1764,8.747554017775525e-06,0.0,0.0,0.0
1765,9.150135091268957e-06,0.0,0.0,0.0
1766,9.590443694053516e-06,0.0,0.0,0.0
1767,9.827367453648808e-06,0.0,0.0,0.0
1768,1.0246213475641395e-05,0.0,0.0,0.0
1769,1.0216128300401448e-05,0.0,0.0,0.0
1770,1.0259899292058045e-05,0.0,0.0,0.0
1771,1.0267398985368864e-05,0.0,0.0,0.0
1772,1.0287980590614357e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1773,1.040206552715972e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1774,1.0351884806628472e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1775,1.0621847130615996e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1776,1.0430490744641116e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1777,1.0502654991536734e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1778,1.0388461825121859e-05,2.6360818290121254e-09,2.6360818290121254e-09,2.6360818290121254e-09
1779,1.0262552028247488e-05,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1780,1.0096866779869223e-05,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1781,1.008228550095477e-05,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1782,9.558424348402436e-06,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1783,9.44007712990112e-06,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1784,9.285608030040748e-06,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1785,9.071613281516225e-06,2.5616857206906776e-09,2.5616857206906776e-09,2.5616857206906776e-09
1786,8.946354422992694e-06,0.0,0.0,0.0
1787,9.046512786881067e-06,0.0,0.0,0.0
1788,9.303296662567715e-06,0.0,0.0,0.0
1789,9.808053359198052e-06,0.0,0.0,0.0
1790,1.0034244561601164e-05,0.0,0.0,0.0
1791,1.029612446602966e-05,0.0,0.0,0.0
1792,1.0803694229772581e-05,0.0,0.0,0.0
1793,1.08202814642157e-05,0.0,0.0,0.0
1794,1.0804516153127355e-05,0.0,0.0,0.0
1795,1.062930173897517e-05,0.0,0.0,0.0
1796,1.0624089294911496e-05,0.0,0.0,0.0
1797,1.0982186722685583e-05,0.0,0.0,0.0
1798,1.1265261361716381e-05,0.0,0.0,0.0
1799,1.1281064481798759e-05,0.0,0.0,0.0
1800,1.1320445082674269e-05,0.0,0.0,0.0
1801,1.1800316704985952e-05,4.643404708356716e-10,4.643404708356716e-10,4.643404708356716e-10
1802,1.180405018073673e-05,4.643404708356716e-10,4.643404708356716e-10,4.643404708356716e-10
1803,1.1807194173992944e-05,4.643404708356716e-10,4.643404708356716e-10,4.643404708356716e-10
1804,1.1614797326079237e-05,7.694180213592614e-10,7.694180213592614e-10,7.694180213592614e-10
1805,1.1644361360855068e-05,7.694180213592614e-10,7.694180213592614e-10,7.694180213592614e-10
1806,1.1680882250532574e-05,1.0279681233222554e-09,1.0279681233222554e-09,1.0279681233222554e-09
1807,1.206214684706148e-05,1.4464105786109777e-09,1.4464105786109777e-09,1.4464105786109777e-09
1808,1.2223328017820937e-05,9.820701077753062e-10,9.820701077753062e-10,9.820701077753062e-10
1809,1.2408979403387224e-05,9.820701077753062e-10,9.820701077753062e-10,9.820701077753062e-10
1810,1.2278900742655554e-05,9.820701077753062e-10,9.820701077753062e-10,9.820701077753062e-10
1811,1.2370288069567842e-05,6.769925572517163e-10,6.769925572517163e-10,6.769925572517163e-10
1812,1.211302631937932e-05,6.769925572517163e-10,6.769925572517163e-10,6.769925572517163e-10
1813,1.2148061614425387e-05,4.184424552887224e-10,4.184424552887224e-10,4.184424552887224e-10
