ngram,peace,pece,pce,peece
1561,0.00010373791519668885,1.2019700079690665e-06,0.0,3.3698835457991142e-06
1562,0.00010894485655756268,1.7777145850621828e-06,0.0,7.501057422944411e-06
1563,0.00010523597315373731,1.041552721809629e-05,0.0,7.501057422944411e-06
1564,9.926925031322753e-05,2.3138820714458624e-05,0.0,7.501057422944411e-06
1565,9.614366990717826e-05,2.415062135696644e-05,0.0,7.501057422944411e-06
1566,0.0001098382574907321,2.415062135696644e-05,0.0,5.781834131214834e-06
1567,9.114305755377115e-05,2.415062135696644e-05,0.0,6.015541202941677e-06
1568,6.051002661219432e-05,2.415062135696644e-05,0.0,6.015541202941677e-06
1569,9.307874604149089e-05,2.2372906771904256e-05,0.0,2.167807971480735e-06
1570,0.00010924525953929074,1.3735094138870149e-05,0.0,3.6788202513499916e-06
1571,0.00010142566939716094,1.011800642507816e-06,0.0,3.6788202513499916e-06
1572,0.00010416607775758686,0.0,0.0,3.6788202513499916e-06
1573,8.829145294190052e-05,0.0,0.0,1.1229276359309942e-05
1574,9.643800071249384e-05,1.0894230919283082e-06,1.0894230919283082e-06,1.2725725225339244e-05
1575,0.0001178117540153575,1.0894230919283082e-06,1.0894230919283082e-06,1.3983004854318487e-05
1576,8.318968970602978e-05,1.0894230919283082e-06,1.0894230919283082e-06,1.610303778371807e-05
1577,7.932593377647988e-05,1.0894230919283082e-06,1.0894230919283082e-06,1.4592025503848813e-05
1578,8.116779775134222e-05,1.0894230919283082e-06,1.0894230919283082e-06,1.4832938615784639e-05
1579,0.000193664778375283,1.0894230919283082e-06,1.0894230919283082e-06,2.3887506147600235e-05
1580,0.00019933959473356872,1.0894230919283082e-06,1.0894230919283082e-06,2.1289354192179288e-05
1581,0.0003078357726086064,0.0,0.0,2.4450274573999714e-05
1582,0.0003036402558791451,0.0,0.0,2.5706883255744678e-05
1583,0.0003054099392362072,4.806226050797185e-07,0.0,2.5706109145825655e-05
1584,0.000316029461308582,4.806226050797185e-07,0.0,3.289900182932927e-05
1585,0.00032626852147846615,4.806226050797185e-07,0.0,4.115040246688295e-05
1586,0.00021244217350613326,4.806226050797185e-07,0.0,3.2095834935067357e-05
1587,0.0002255815623876905,4.806226050797185e-07,0.0,3.3372962986634646e-05
1588,0.00012814824107668495,4.806226050797185e-07,0.0,3.071121968137699e-05
1589,0.00013561789923447317,4.806226050797185e-07,0.0,3.1184954942935815e-05
1590,0.00014325782311581342,2.599756498966599e-07,0.0,3.901921445503831e-05
1591,0.0001374721312978571,2.599756498966599e-07,0.0,3.5557790397433564e-05
1592,0.00013421785531266193,2.599756498966599e-07,0.0,3.303519458443459e-05
1593,0.00014873582404106855,2.599756498966599e-07,0.0,4.0849880211421154e-05
1594,0.00013989452522114983,2.599756498966599e-07,0.0,3.931413240414778e-05
1595,0.00013005263255243854,2.599756498966599e-07,0.0,4.61028482407398e-05
1596,0.00011992359525590603,4.7039387547036835e-07,0.0,4.606107982648869e-05
1597,0.00011602068220132164,2.1041822557370843e-07,0.0,4.055419334950524e-05
1598,0.00010652427954482846,2.1041822557370843e-07,0.0,3.73092977952183e-05
1599,0.00011519704639795236,3.28329373847477e-07,1.532844960040945e-06,3.204704674837038e-05
1600,0.00015363942916987332,3.28329373847477e-07,1.639351044754481e-06,2.753404984494929e-05
1601,0.00017073007360782607,3.28329373847477e-07,1.639351044754481e-06,2.9286053144720165e-05
1602,0.00016704391860652583,3.28329373847477e-07,1.639351044754481e-06,2.148972553836107e-05
1603,0.0001826090982441591,1.1791114827376856e-07,1.639351044754481e-06,2.7610292525943286e-05
1604,0.00023763945864629932,1.1791114827376856e-07,1.639351044754481e-06,2.252960163267354e-05
1605,0.0002887988947415059,1.1791114827376856e-07,1.639351044754481e-06,2.6428067355612128e-05
1606,0.0002894588469644077,0.0,1.0650608471353604e-07,3.132620817528472e-05
1607,0.00029273420451707873,0.0,0.0,3.1757004892694696e-05
1608,0.00031353293265315836,0.0,0.0,2.630970519541214e-05
1609,0.0003386301686987281,0.0,0.0,2.8412773190211738e-05
1610,0.0003410454394595165,1.2744826400583926e-07,0.0,2.457172968206578e-05
1611,0.0003436130375900705,1.2744826400583926e-07,1.0241227853059951e-07,2.5358974523572086e-05
1612,0.00032040489064196924,1.2744826400583926e-07,1.0241227853059951e-07,2.339494228311066e-05
1613,0.0003158798353979364,1.2744826400583926e-07,1.0241227853059951e-07,2.0665923135051605e-05
1614,0.00028811271477025,1.2744826400583926e-07,1.0241227853059951e-07,2.3525632514065364e-05
1615,0.0002610867356582146,1.2744826400583926e-07,1.0241227853059951e-07,2.4812903965149807e-05
1616,0.00025543223975026715,1.2744826400583926e-07,1.0241227853059951e-07,2.4643669868445223e-05
