ngram,income,icome,inome,inome
1799,2.2512509141441634e-05,5.724486979679406e-09,3.5608802256043806e-09,3.5608802256043806e-09
1800,2.3275596504390705e-05,4.738464858584328e-09,3.5608802256043806e-09,3.5608802256043806e-09
1801,2.3962196532271003e-05,6.595826741927015e-09,2.888626100221765e-09,2.888626100221765e-09
1802,2.323487777695326e-05,8.332333933935843e-09,3.3227528982239717e-09,3.3227528982239717e-09
1803,2.0362655829688136e-05,9.736333770961534e-09,4.375752744272583e-09,4.375752744272583e-09
1804,1.9249948569008018e-05,1.0127874285257934e-08,4.418984194438329e-09,4.418984194438329e-09
1805,1.8624350299692844e-05,1.1426261841458135e-08,4.678661696162172e-09,4.678661696162172e-09
1806,1.7312797743735636e-05,8.33874448856266e-09,4.937211798125166e-09,4.937211798125166e-09
1807,1.599499617961036e-05,1.733525697592394e-08,4.343391781157026e-08,4.343391781157026e-08
1808,1.5715071380587426e-05,1.7125437385650296e-08,4.158294174074127e-08,4.158294174074127e-08
1809,1.5829526611404227e-05,1.575077982326637e-08,4.1510664572363964e-08,4.1510664572363964e-08
1810,1.5076203193789947e-05,1.5000592926536375e-08,4.176529060690675e-08,4.176529060690675e-08
1811,1.5800511521644823e-05,1.3943972992131698e-08,4.1389519446686866e-08,4.1389519446686866e-08
1812,1.6862127267813776e-05,1.336171024617678e-08,4.112984194496302e-08,4.112984194496302e-08
1813,1.9022010227282798e-05,1.4202465838307278e-08,4.1259250650936356e-08,4.1259250650936356e-08
1814,2.0668312962308327e-05,5.414911487454179e-09,2.9715027739994427e-09,2.9715027739994427e-09
1815,2.158409954842812e-05,4.3467912919885924e-09,2.6939171052628043e-09,2.6939171052628043e-09
1816,2.2452366335658424e-05,4.3652871000483225e-09,2.5222401944802186e-09,2.5222401944802186e-09
1817,2.3486418545612002e-05,4.2255168729101095e-09,1.3859618849413176e-09,1.3859618849413176e-09
1818,2.3036245953075456e-05,4.472888456444732e-09,1.151577944114024e-09,1.151577944114024e-09
1819,2.2626280042459257e-05,4.5082508361358825e-09,1.3018753852733767e-09,1.3018753852733767e-09
1820,2.1685520290962552e-05,3.739982783785527e-09,1.2087104491901153e-09,1.2087104491901153e-09
1821,2.0663020872494337e-05,3.78813315636352e-09,2.542403398919646e-09,2.542403398919646e-09
1822,1.9388327928027138e-05,3.7077866649986343e-09,2.598800492264226e-09,2.598800492264226e-09
1823,1.8284235141306582e-05,3.6083667641152927e-09,2.549090541822555e-09,2.549090541822555e-09
1824,1.764484763303439e-05,3.49668410099773e-09,3.1824630708499058e-09,3.1824630708499058e-09
1825,1.7780957412989145e-05,2.9071614401513355e-09,3.942163881046465e-09,3.942163881046465e-09
1826,1.7721942900347392e-05,5.829119797962079e-09,4.739852383599847e-09,4.739852383599847e-09
1827,1.7424100535988275e-05,5.9715263289739084e-09,4.9679115424591404e-09,4.9679115424591404e-09
1828,1.8234380539589828e-05,6.0454057553600245e-09,3.976906994194808e-09,3.976906994194808e-09
1829,2.625245568716699e-05,5.827427262961038e-09,4.430111943953818e-09,4.430111943953818e-09
1830,2.711210514202581e-05,6.4042425886233295e-09,5.052085511841093e-09,5.052085511841093e-09
1831,2.7739088961555224e-05,6.373461179455729e-09,4.526049408275818e-09,4.526049408275818e-09
1832,3.0303915731825066e-05,7.353787356834118e-09,3.851498056991634e-09,3.851498056991634e-09
1833,3.100373032793868e-05,4.092733136522903e-09,2.903512113278899e-09,2.903512113278899e-09
1834,3.1618959058375496e-05,3.6099194427358886e-09,2.7128998571411346e-09,2.7128998571411346e-09
1835,3.182094224030152e-05,5.2059496713496856e-09,2.3288201208718615e-09,2.3288201208718615e-09
1836,2.459387022619402e-05,5.450280829829726e-09,2.751995012825351e-09,2.751995012825351e-09
1837,2.5216222119135117e-05,5.134629832426185e-09,2.7639727966694797e-09,2.7639727966694797e-09
1838,2.5403365465795753e-05,5.449982909411233e-09,3.6301750177309647e-09,3.6301750177309647e-09
1839,2.4721164923643562e-05,4.64616567441567e-09,3.9239327501558054e-09,3.9239327501558054e-09
1840,2.4480353334053818e-05,4.687290143325283e-09,4.075104682270998e-09,4.075104682270998e-09
1841,2.4733660601279034e-05,4.927952839446042e-09,4.442640017770267e-09,4.442640017770267e-09
1842,2.452762159269436e-05,4.703766963233745e-09,6.707690878928117e-09,6.707690878928117e-09
1843,2.4838979048321823e-05,7.850512367164292e-09,6.3030930633597595e-09,6.3030930633597595e-09
1844,2.442549079465347e-05,8.777645340732728e-09,6.1965075293102245e-09,6.1965075293102245e-09
1845,2.6468380643304306e-05,9.025056321324395e-09,5.051621311734169e-09,5.051621311734169e-09
1846,2.5954352427756282e-05,9.048033084673485e-09,5.064037126142498e-09,5.064037126142498e-09
1847,2.643666682290911e-05,9.200571923376596e-09,5.03407612420911e-09,5.03407612420911e-09
1848,2.8119914661926616e-05,9.366980714885033e-09,4.388987689158646e-09,4.388987689158646e-09
1849,2.873874213297053e-05,7.986585646792475e-09,2.1713281728175104e-09,2.1713281728175104e-09
1850,3.0912993159810344e-05,4.789111044242336e-09,1.5924180783523566e-09,1.5924180783523566e-09
1851,3.0961325267396334e-05,3.83060275562944e-09,1.1567324637822602e-09,1.1567324637822602e-09
1852,2.907503923259875e-05,3.351314210269558e-09,1.4601018886014776e-09,1.4601018886014776e-09
