ngram,soup,sop,sup,soup
1764,8.693372888858773e-07,6.043993973240244e-07,1.1508044605891752e-05,8.693372888858773e-07
1765,1.0649557781659626e-06,5.626234391391855e-07,9.831201688419761e-06,1.0649557781659626e-06
1766,1.2921265936581352e-06,4.848460629805881e-07,7.350450297443396e-06,1.2921265936581352e-06
1767,1.3559999193343434e-06,4.990591427096141e-07,7.497565418036954e-06,1.3559999193343434e-06
1768,1.3046142969739906e-06,5.1347203111618e-07,7.478700808860594e-06,1.3046142969739906e-06
1769,1.2868804170856102e-06,5.175624916578922e-07,7.328457806059825e-06,1.2868804170856102e-06
1770,1.2560463541636376e-06,5.39026103751894e-07,7.152602652890242e-06,1.2560463541636376e-06
1771,1.2694140748083425e-06,5.254310256727226e-07,7.04890641957588e-06,1.2694140748083425e-06
1772,1.162457692771568e-06,5.219860465136403e-07,6.786656480731576e-06,1.162457692771568e-06
1773,1.186853540145551e-06,5.454249389913457e-07,6.558939665930146e-06,1.186853540145551e-06
1774,1.50812559240876e-06,5.528023945901493e-07,6.410052589801905e-06,1.50812559240876e-06
1775,1.5231944254472701e-06,5.664239048590909e-07,6.63520950183738e-06,1.5231944254472701e-06
1776,1.5175595454560868e-06,5.523180196373037e-07,6.764550952149355e-06,1.5175595454560868e-06
1777,1.6835347602344491e-06,5.915173143681127e-07,1.0414741479637866e-05,1.6835347602344491e-06
1778,1.65176708476013e-06,5.819180931406923e-07,1.1429815328613455e-05,1.65176708476013e-06
1779,1.613331838663206e-06,5.61754408831153e-07,1.1643161607415614e-05,1.613331838663206e-06
1780,1.5301329524066074e-06,5.42627191180145e-07,1.1736047391812982e-05,1.5301329524066074e-06
1781,1.391772140583011e-06,5.335837402396595e-07,1.1940393570902025e-05,1.391772140583011e-06
1782,1.6789979083244231e-06,5.311238006860159e-07,1.180598324676144e-05,1.6789979083244231e-06
1783,1.9346661507110445e-06,5.464870948149578e-07,1.1758739414550032e-05,1.9346661507110445e-06
1784,2.015967506200208e-06,4.800683370831393e-07,8.083284098704877e-06,2.015967506200208e-06
1785,2.01859718020257e-06,4.909907594148015e-07,6.8960404340551965e-06,2.01859718020257e-06
