ngram,revolution,revoluton,revoluton,revoltin
1749,1.3200424811137574e-05,0.0,0.0,0.0
1750,1.4162034663708514e-05,0.0,0.0,0.0
1751,1.7446178389946e-05,0.0,0.0,0.0
1752,1.6978373553553994e-05,0.0,0.0,0.0
1753,1.7579805769076173e-05,0.0,0.0,0.0
1754,1.6129663241112473e-05,0.0,0.0,0.0
1755,1.8044863411757562e-05,0.0,0.0,0.0
1756,1.9359409634489566e-05,0.0,0.0,0.0
1757,2.0020039041160737e-05,0.0,0.0,0.0
1758,2.052115684948928e-05,0.0,0.0,0.0
1759,2.1413748202446315e-05,0.0,0.0,0.0
1760,2.2312725247632314e-05,0.0,0.0,0.0
1761,2.286046219523996e-05,2.7755674584081393e-09,2.7755674584081393e-09,0.0
1762,2.249465173268358e-05,2.7755674584081393e-09,2.7755674584081393e-09,0.0
1763,2.112136306615347e-05,5.614242023658075e-09,5.614242023658075e-09,0.0
1764,2.2646433925339287e-05,5.614242023658075e-09,5.614242023658075e-09,0.0
1765,2.145940977373227e-05,5.614242023658075e-09,5.614242023658075e-09,0.0
1766,2.1390159807716763e-05,5.614242023658075e-09,5.614242023658075e-09,0.0
1767,2.191344226178314e-05,5.614242023658075e-09,5.614242023658075e-09,0.0
1768,2.23611225789812e-05,2.8386745652499356e-09,2.8386745652499356e-09,0.0
1769,2.2294420757264432e-05,2.8386745652499356e-09,2.8386745652499356e-09,0.0
1770,2.2858979199164814e-05,0.0,0.0,0.0
1771,2.192099522549792e-05,0.0,0.0,0.0
1772,2.240798806139667e-05,0.0,0.0,0.0
1773,2.2446178783346632e-05,0.0,0.0,0.0
1774,2.214820025463788e-05,0.0,0.0,0.0
1775,2.295885938760226e-05,0.0,0.0,2.8886891608895635e-09
1776,2.365910664333829e-05,0.0,0.0,5.601058664491834e-09
1777,2.3662134481128305e-05,0.0,0.0,5.601058664491834e-09
1778,2.3669131873508116e-05,0.0,0.0,5.601058664491834e-09
1779,2.3070646420819685e-05,0.0,0.0,5.601058664491834e-09
1780,2.3591596930470716e-05,0.0,0.0,5.601058664491834e-09
1781,2.354408128927129e-05,0.0,0.0,5.601058664491834e-09
1782,2.254540465531006e-05,0.0,0.0,2.712369503602271e-09
1783,2.392836956590015e-05,0.0,0.0,0.0
1784,2.437176590319723e-05,0.0,0.0,0.0
1785,2.494842919986695e-05,0.0,0.0,0.0
1786,2.6054884074255824e-05,0.0,0.0,0.0
1787,2.7812090982998988e-05,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1788,3.171557208198854e-05,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1789,3.783237194251602e-05,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1790,4.172323860984761e-05,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1791,4.589429175082062e-05,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1792,5.22839223516972e-05,1.2891416188511228e-09,1.2891416188511228e-09,0.0
1793,5.563804578352054e-05,2.2751637399462e-09,2.2751637399462e-09,0.0
1794,5.743827309093571e-05,9.860221210950775e-10,9.860221210950775e-10,0.0
1795,5.817001874675043e-05,9.860221210950775e-10,9.860221210950775e-10,0.0
1796,5.719274382240006e-05,9.860221210950775e-10,9.860221210950775e-10,0.0
1797,5.414541218280127e-05,9.860221210950775e-10,9.860221210950775e-10,1.133847301762866e-09
1798,5.307822097425482e-05,9.860221210950775e-10,9.860221210950775e-10,1.133847301762866e-09
