ngram,understanding,understadning,understading,uderstanding
1797,5.474425883481412e-05,0.0,1.0882620519022827e-09,0.0
1798,5.713124431037743e-05,0.0,2.24557540816152e-09,0.0
1799,5.7016102281132976e-05,0.0,1.1573133562592375e-09,6.00769592803577e-10
1800,5.634327940892295e-05,0.0,1.5689772655694663e-09,6.00769592803577e-10
1801,5.658015496529905e-05,0.0,1.5689772655694663e-09,6.00769592803577e-10
1802,5.790983102217849e-05,0.0,1.5689772655694663e-09,6.00769592803577e-10
1803,5.8497123973211274e-05,0.0,1.5689772655694663e-09,9.5176955206e-10
1804,5.8559617173159495e-05,0.0,1.874054816093056e-09,9.5176955206e-10
1805,5.716198055389603e-05,0.0,9.764189615576617e-10,1.2114470537838429e-09
1806,5.7072135470142325e-05,0.0,1.2349690635206555e-09,6.106774609802659e-10
1807,5.801590253083434e-05,0.0,1.0325263818547877e-09,6.106774609802659e-10
1808,5.808706867225867e-05,0.0,2.2093423598538007e-09,1.316766997026621e-09
1809,5.7949153415393084e-05,0.0,2.390267174666251e-09,1.316766997026621e-09
1810,5.731642054992595e-05,0.0,2.390267174666251e-09,9.65767037770198e-10
1811,5.753872444204587e-05,0.0,2.3195735649699553e-09,9.65767037770198e-10
1812,5.8268335643723344e-05,0.0,2.0598960632461124e-09,9.447977955545639e-10
1813,5.880710731227217e-05,0.0,1.9953253652512817e-09,9.447977955545639e-10
1814,5.904579770036175e-05,0.0,1.7861041376069205e-09,9.447977955545639e-10
1815,5.901906271381969e-05,0.0,6.092881596079078e-10,4.318489692829124e-10
1816,5.844633882848679e-05,0.0,4.283633447954571e-10,6.220216881252278e-10
1817,5.9535355311319495e-05,0.0,5.997109158479524e-10,6.220216881252278e-10
1818,5.8884348358593085e-05,0.0,3.653269750206586e-10,6.220216881252278e-10
1819,5.7293303793163174e-05,0.0,6.659218573393641e-10,3.8331342861701907e-10
1820,5.744395821238868e-05,0.0,1.0615301970773316e-09,3.8331342861701907e-10
1821,5.729804148099252e-05,0.0,1.0615301970773316e-09,3.8331342861701907e-10
1822,5.6745828520174e-05,0.0,1.0615301970773316e-09,1.901727188423154e-10
1823,5.6721804867265746e-05,0.0,1.0615301970773316e-09,0.0
1824,5.5423003816810835e-05,0.0,1.1584226593847851e-09,0.0
1825,5.6261730475983184e-05,0.0,1.2850394637275997e-09,0.0
1826,5.606641207123175e-05,0.0,1.221441067337078e-09,0.0
1827,5.572550851086687e-05,0.0,9.455651420583626e-10,2.0914121228494357e-10
1828,5.5343566470712956e-05,0.0,9.455651420583626e-10,2.0914121228494357e-10
