ngram,factor,facor,fator,fctr
1837,4.2098104781221735e-06,5.5122359851215e-10,3.0453238185147923e-09,5.035022478315301e-10
1838,4.13960970035987e-06,9.328523271306161e-10,2.945910325204336e-09,4.869333349231755e-10
1839,4.091587275719835e-06,1.0086337638120263e-09,2.8420248218300313e-09,5.533467493736208e-10
1840,4.069034925383416e-06,9.261555014968995e-10,2.8144556367999077e-09,3.883902247433671e-10
1841,4.06362953851515e-06,7.600351142096023e-10,2.5260273079601755e-09,3.753076421071049e-10
1842,4.278508120998075e-06,7.600351142096023e-10,2.3503720715721344e-09,6.185694020491691e-10
1843,4.264667755446031e-06,6.00426105660087e-10,1.8715450617839177e-09,6.841439319822079e-10
1844,4.464471268355348e-06,5.22984695232915e-10,3.3649166151862785e-09,7.402682355994727e-10
1845,4.496715259197767e-06,4.750498010836728e-10,3.3741334646921116e-09,6.639424882897466e-10
1846,4.407729582973323e-06,3.9926836440226255e-10,3.353011590601085e-09,5.123796149269261e-10
1847,4.310140704027228e-06,5.810847676051318e-10,3.5355114470979133e-09,5.729850800178277e-10
1848,4.27284018249858e-06,6.904601176519317e-10,3.7083923313093894e-09,6.123828190572413e-10
1849,4.002690437638583e-06,7.441996542821374e-10,4.056265458439258e-09,5.30339669005794e-10
1850,4.003291418744734e-06,6.786251243490987e-10,4.239301140288429e-09,5.597049569848269e-10
1851,3.7398474108028623e-06,8.643395047310979e-10,2.7147355236805434e-09,5.654250321919716e-10
1852,3.6211310998623958e-06,6.823303826714827e-10,2.6014951542181156e-09,8.18232886207986e-10
1853,3.656487056754746e-06,7.788490646072027e-10,2.7123508518554574e-09,1.0112702500794261e-09
1854,3.793461538797211e-06,6.475345220342226e-10,2.4800164303126084e-09,1.0011666456184137e-09
1855,3.698120995717805e-06,6.431626699475248e-10,2.5172167049193816e-09,1.1017982914918178e-09
1856,3.8026103084121132e-06,7.88218351699399e-10,2.572166273624126e-09,1.139374899983281e-09
1857,3.7648612111037697e-06,1.0770237122782943e-09,2.4330781357915855e-09,1.2369719891238061e-09
1858,3.8124275566328184e-06,1.3521374377299468e-09,2.5577311538579497e-09,1.3281002527890502e-09
1859,3.946810628414303e-06,1.2004527253203383e-09,2.7521647024845006e-09,1.1362217872917008e-09
1860,4.101293110839574e-06,1.2259244611520108e-09,2.6328584233427576e-09,1.004179632303957e-09
1861,3.994091522534811e-06,1.2883959613471267e-09,2.662782534151071e-09,1.0101644520865705e-09
1862,4.081365432284656e-06,1.406265548453689e-09,2.4656416273773273e-09,1.0230305412330308e-09
1863,3.996652432241328e-06,1.5893733789391312e-09,2.774314777909126e-09,1.0629247244280699e-09
1864,3.95271870599702e-06,1.3476631398136517e-09,2.7220241299070428e-09,9.174829388288888e-10
1865,4.008859540200709e-06,1.019514686958648e-09,2.8052915863290603e-09,7.755219878978283e-10
1866,4.219513909577342e-06,1.152233546670394e-09,2.655083645005821e-09,9.357907068289047e-10
1867,4.179569097167197e-06,1.3759427882778903e-09,2.9220053361050144e-09,1.0044328702107919e-09
1868,4.3111502106642415e-06,1.487027913503271e-09,2.9084421220610626e-09,1.0375695858044764e-09
1869,4.344263808369371e-06,1.4620842631834258e-09,3.2001855451316683e-09,9.730400453632016e-10
1870,4.454078212542559e-06,1.16465413503773e-09,2.625556090001575e-09,1.0722423266733878e-09
1871,4.740270274591499e-06,1.2798632629897254e-09,2.7617841029987336e-09,1.1468753883089482e-09
1872,4.941323498184959e-06,1.310990451118345e-09,2.684809168635687e-09,1.2222291274304504e-09
1873,5.032896426980317e-06,1.5293503764977702e-09,2.6767400994133693e-09,1.1570660302900088e-09
1874,5.744868303736439e-06,1.5015764346212483e-09,2.5262722707403943e-09,1.0671693727117214e-09
1875,6.307926599090154e-06,1.4379780699513844e-09,2.6184373399676784e-09,9.775459767055343e-10
1876,7.047682889346366e-06,1.4700405337464417e-09,2.3338127303722852e-09,9.725303697281719e-10
1877,7.722836861440946e-06,1.4904226265853383e-09,2.303201312210084e-09,7.394937004015897e-10
1878,8.428137659523469e-06,1.545830542935635e-09,2.3051610461724945e-09,8.354776830683213e-10
1879,9.103928667692734e-06,1.5915065773189748e-09,2.349523496393756e-09,8.462399154434458e-10
1880,9.828128635750285e-06,1.4377478889977218e-09,3.2420166234154682e-09,9.204116952726033e-10
1881,1.0254543797470563e-05,1.4986093318672796e-09,3.824277815058151e-09,9.753677706772886e-10
1882,1.0740134842178253e-05,1.5001971093957828e-09,4.0790245784246994e-09,1.1374156695863137e-09
1883,1.1360358907300647e-05,1.6235541165445154e-09,4.073891081622451e-09,1.048332987878859e-09
1884,1.193993167752134e-05,1.7322754500678376e-09,4.0905052202587305e-09,1.0350106922312514e-09
1885,1.2551314024936541e-05,1.6596796794031222e-09,4.170262881052013e-09,9.914381974126689e-10
1886,1.32706526138853e-05,1.560551267574896e-09,3.909503625593962e-09,9.548122094558765e-10
1887,1.3930395003366616e-05,1.5566689445404132e-09,2.903262662025595e-09,9.73311142000404e-10
1888,1.4471297488073884e-05,1.2858931538620562e-09,2.514602668947573e-09,1.0406314024776923e-09
1889,1.5215451510032705e-05,1.2808706317812835e-09,1.9773333288191405e-09,9.83267082834059e-10
1890,1.59096868758622e-05,1.0287044866735024e-09,1.980136134425793e-09,1.0202045874763144e-09
1891,1.7047008181439844e-05,9.431533966518047e-10,1.8188456772451543e-09,1.0054870269726734e-09
1892,1.7897823324476902e-05,9.32866498334509e-10,1.7495935176827159e-09,9.437052647268525e-10
1893,1.8779947172983418e-05,1.007005423492302e-09,1.8562749750015784e-09,9.210705452313204e-10
