ngram,competition,competiton,competion,competiton
1605,3.266141171869614e-06,0.0,1.0650608471353604e-07,0.0
1606,5.230312857357993e-06,0.0,1.0650608471353604e-07,0.0
1607,2.4611545898421483e-06,0.0,0.0,0.0
1608,2.4611545898421483e-06,0.0,0.0,0.0
1609,2.2523531535106097e-06,0.0,0.0,0.0
1610,2.2523531535106097e-06,0.0,0.0,0.0
1611,3.925503863553916e-06,0.0,0.0,0.0
1612,3.925503863553916e-06,0.0,0.0,0.0
1613,1.843421029791768e-06,0.0,0.0,0.0
1614,1.843421029791768e-06,0.0,0.0,0.0
1615,2.2243642823533653e-06,0.0,0.0,0.0
1616,2.2243642823533653e-06,0.0,0.0,0.0
1617,3.0891536165914398e-06,0.0,0.0,0.0
1618,2.624412478066266e-06,0.0,0.0,0.0
1619,2.8494814776942282e-06,0.0,0.0,0.0
1620,3.0509593053856018e-06,0.0,0.0,0.0
1621,3.0509593053856018e-06,0.0,0.0,0.0
1622,2.8810612775487243e-06,0.0,0.0,0.0
1623,3.150475468568662e-06,0.0,0.0,0.0
1624,5.4216620648211185e-06,0.0,0.0,0.0
1625,4.458305625121284e-06,0.0,0.0,0.0
1626,4.692480258329722e-06,0.0,0.0,0.0
1627,5.289859115821725e-06,0.0,0.0,0.0
1628,5.8139521245591046e-06,0.0,0.0,0.0
1629,6.593259058718104e-06,0.0,0.0,0.0
1630,7.790077786142189e-06,0.0,0.0,0.0
1631,5.050861773270299e-06,0.0,0.0,0.0
1632,5.276921261351422e-06,0.0,0.0,0.0
1633,5.091863223632183e-06,0.0,0.0,0.0
1634,5.403769949095606e-06,0.0,0.0,0.0
1635,4.961996653816771e-06,0.0,0.0,0.0
1636,4.4927109651585595e-06,0.0,0.0,0.0
1637,3.2459584287737797e-06,0.0,2.1948038205924343e-07,0.0
1638,3.1858737007236674e-06,0.0,2.1948038205924343e-07,0.0
1639,2.9338419023718288e-06,0.0,2.1948038205924343e-07,0.0
1640,3.2765046528636177e-06,0.0,2.1948038205924343e-07,0.0
1641,2.2851854168948194e-06,0.0,2.1948038205924343e-07,0.0
1642,2.6346650413090955e-06,0.0,2.1948038205924343e-07,0.0
1643,3.0168230214907714e-06,0.0,2.1948038205924343e-07,0.0
1644,3.6222958458763188e-06,0.0,0.0,0.0
1645,3.629438465070832e-06,0.0,0.0,0.0
1646,3.743779391892791e-06,0.0,0.0,0.0
1647,3.855249920954e-06,0.0,0.0,0.0
1648,4.973735095908134e-06,0.0,0.0,0.0
1649,4.8548468579870785e-06,0.0,0.0,0.0
1650,4.434743914316641e-06,0.0,0.0,0.0
1651,3.953791357551901e-06,0.0,0.0,0.0
1652,5.335786909199669e-06,0.0,0.0,0.0
1653,5.208973724230808e-06,0.0,0.0,0.0
1654,5.144385828056589e-06,0.0,0.0,0.0
1655,4.487486908796459e-06,0.0,0.0,0.0
1656,4.899493108366317e-06,0.0,0.0,0.0
1657,4.777829222543265e-06,0.0,0.0,0.0
1658,4.9163692697870176e-06,0.0,0.0,0.0
1659,3.866066793177327e-06,0.0,0.0,0.0
1660,3.890061926930295e-06,0.0,0.0,0.0
1661,3.763814220292261e-06,0.0,0.0,0.0
1662,3.6699821066576988e-06,0.0,0.0,0.0
1663,3.273539700135838e-06,0.0,0.0,0.0
1664,3.6588387501979014e-06,0.0,0.0,0.0
1665,3.837672336106022e-06,0.0,0.0,0.0
1666,3.6015938219082144e-06,0.0,0.0,0.0
1667,3.7524091567320284e-06,0.0,0.0,0.0
1668,3.914977339393642e-06,0.0,0.0,0.0
1669,3.817182232523919e-06,0.0,0.0,0.0
1670,4.261690719431499e-06,0.0,0.0,0.0
1671,3.906035967052698e-06,0.0,0.0,0.0
1672,4.277886968598718e-06,0.0,0.0,0.0
1673,4.3085691296645175e-06,0.0,0.0,0.0
1674,4.765326009094549e-06,0.0,0.0,0.0
1675,4.374141034142147e-06,0.0,0.0,0.0
1676,4.500095948450118e-06,0.0,0.0,0.0
1677,4.130146960181134e-06,0.0,0.0,0.0
