ngram,pie,pe,pi,piee
1659,4.936269566055021e-06,8.72935951130265e-06,7.544316596457585e-06,0.0
1660,5.139810322621738e-06,1.0715942088219371e-05,7.1544492844363305e-06,0.0
1661,5.157854697504913e-06,1.1269671566489186e-05,6.5403246156035626e-06,0.0
1662,4.378695783608626e-06,1.0210461693662052e-05,5.685559407148892e-06,0.0
1663,4.870271888129147e-06,9.897829386318335e-06,5.3502799671280495e-06,0.0
1664,4.568190888676327e-06,9.792263296861034e-06,5.1498020638973685e-06,0.0
1665,4.400287057900901e-06,1.0953103550751361e-05,4.070432396474644e-06,0.0
1666,4.188594500322194e-06,1.0944764913542063e-05,5.002723290609927e-06,0.0
1667,3.988170322242825e-06,9.536008422271283e-06,4.869115725471472e-06,0.0
1668,3.6194776060126188e-06,9.84247786358797e-06,4.941066306076079e-06,0.0
1669,3.654127827498347e-06,9.946428560527107e-06,5.264611705310277e-06,0.0
1670,3.689023969855043e-06,9.962043155350589e-06,5.6666318804283426e-06,0.0
1671,3.921757232611915e-06,1.0858685787492764e-05,7.619442450439757e-06,0.0
1672,4.032273506839244e-06,1.0287016396302664e-05,7.557754478122141e-06,0.0
1673,4.2266184274402415e-06,1.0146839745825023e-05,6.78380050495824e-06,0.0
1674,4.098138723358196e-06,9.467452725532763e-06,6.785990308344481e-06,0.0
1675,4.141065541521779e-06,2.183083604125256e-05,6.694237169670357e-06,0.0
1676,4.5117071424881165e-06,2.2298563050883657e-05,6.821276753856052e-06,0.0
1677,4.059396815137006e-06,2.241030045167593e-05,6.263144931446212e-06,0.0
1678,4.130783703918236e-06,2.1481833105748853e-05,4.317812616656218e-06,0.0
1679,4.321751735655458e-06,2.1065569593961948e-05,4.588697817910413e-06,0.0
1680,4.633019281235258e-06,2.0995411302595e-05,4.93134919971843e-06,0.0
1681,5.154041056292564e-06,2.1101624432568705e-05,4.758897505650696e-06,0.0
1682,5.338896146765494e-06,7.437665707194745e-06,4.711676995481996e-06,0.0
1683,5.491494610916041e-06,6.774280531577201e-06,4.3811723051996e-06,0.0
1684,5.9315214327528206e-06,6.311844637301485e-06,4.742263594640203e-06,0.0
1685,6.002193068915014e-06,6.380505380678057e-06,4.649277700861733e-06,0.0
