ngram,joint,jont,join,jont
1764,2.3061259136219242e-05,9.768269494868167e-09,5.919708668703346e-05,9.768269494868167e-09
1765,2.366381834560473e-05,1.2715677907440944e-08,5.745055022998713e-05,1.2715677907440944e-08
1766,2.3903695754207937e-05,9.159140239895741e-09,5.3800080682516894e-05,9.159140239895741e-09
1767,2.350144287837403e-05,9.159140239895741e-09,5.1040215372008137e-05,9.159140239895741e-09
1768,2.460458173508024e-05,9.159140239895741e-09,5.115149438747072e-05,9.159140239895741e-09
1769,2.329737071704585e-05,9.159140239895741e-09,5.183176524172138e-05,9.159140239895741e-09
1770,2.5140155880113264e-05,9.159140239895741e-09,5.146708541100712e-05,9.159140239895741e-09
1771,2.4087665484070646e-05,6.348460550904227e-09,5.158524176554887e-05,6.348460550904227e-09
1772,2.4343905222070005e-05,3.4010521383314493e-09,5.176799822947942e-05,3.4010521383314493e-09
1773,2.4422961619815658e-05,2.5951908558649197e-09,5.325239388704566e-05,2.5951908558649197e-09
1774,2.5011662728502415e-05,1.3285043414563397e-08,5.327381066828301e-05,1.3285043414563397e-08
1775,2.3443999712721313e-05,1.617373257545296e-08,5.3148341976339e-05,1.617373257545296e-08
1776,2.377088094362989e-05,1.888610207905523e-08,5.6342033141325896e-05,1.888610207905523e-08
1777,2.1515848077667344e-05,2.1804152388377977e-08,5.750855000639733e-05,2.1804152388377977e-08
1778,2.2870447407642913e-05,2.4585296084670257e-08,5.8690852581224006e-05,2.4585296084670257e-08
1779,2.225465531020226e-05,3.227035324674229e-08,5.988791183751475e-05,3.227035324674229e-08
1780,2.5063481838775e-05,2.967516239087737e-08,5.8904569284225416e-05,2.967516239087737e-08
1781,2.5675505769738394e-05,1.8985309832178895e-08,5.717343343089202e-05,1.8985309832178895e-08
1782,3.0317876215641653e-05,1.609662067128933e-08,5.6176658420424375e-05,1.609662067128933e-08
1783,2.9638954271961537e-05,1.9908048543015866e-08,5.2294451701787435e-05,1.9908048543015866e-08
1784,3.108324874899283e-05,2.031894246507753e-08,5.093055006000213e-05,2.031894246507753e-08
1785,3.1589220920328186e-05,1.9155921166762776e-08,4.888869391704377e-05,1.9155921166762776e-08
1786,4.1235903544085363e-05,1.549115895877711e-08,4.598758667790597e-05,1.549115895877711e-08
1787,3.899195663897055e-05,1.549115895877711e-08,4.5974230098571365e-05,1.549115895877711e-08
1788,3.9307442680832795e-05,1.549115895877711e-08,4.6718708160499644e-05,1.549115895877711e-08
1789,3.4690706213171196e-05,1.6654543775830788e-08,4.766059802412721e-05,1.6654543775830788e-08
1790,3.593811093846203e-05,1.0130746400501981e-08,4.813694665374767e-05,1.0130746400501981e-08
1791,3.759671510904029e-05,8.973734644257547e-09,4.9069058669764285e-05,8.973734644257547e-09
1792,3.706845615982145e-05,7.3556122462800235e-09,5.033429105034364e-05,7.3556122462800235e-09
1793,2.8259059815484632e-05,4.321339413288732e-09,4.9944203575640654e-05,4.321339413288732e-09
1794,2.7816814898479996e-05,6.317310547692452e-09,4.9104197907061984e-05,6.317310547692452e-09
1795,2.728243037251689e-05,7.2305826722843645e-09,4.915924000670202e-05,7.2305826722843645e-09
1796,2.6738086619713742e-05,6.067197855230688e-09,4.860555990100173e-05,6.067197855230688e-09
