ngram,variation,variation,varition,varation
1794,1.2771068603407392e-05,1.2771068603407392e-05,9.979855672018596e-10,0.0
1795,1.3454583495331462e-05,1.3454583495331462e-05,9.979855672018596e-10,0.0
1796,1.3873915122530889e-05,1.3873915122530889e-05,9.979855672018596e-10,0.0
1797,1.3784232838328794e-05,1.3784232838328794e-05,9.979855672018596e-10,0.0
1798,1.4114243380650546e-05,1.4114243380650546e-05,9.979855672018596e-10,5.786566781296187e-10
1799,1.3971073323253741e-05,1.3971073323253741e-05,1.5987551600054368e-09,1.1794262709331959e-09
1800,1.3862471470409738e-05,1.3862471470409738e-05,1.5987551600054368e-09,1.1794262709331959e-09
1801,1.3904435296093912e-05,1.3904435296093912e-05,6.00769592803577e-10,2.5724477151608684e-09
1802,1.3574716181860172e-05,1.3574716181860172e-05,6.00769592803577e-10,4.308954907169696e-09
1803,1.336257524339349e-05,1.336257524339349e-05,6.00769592803577e-10,4.308954907169696e-09
1804,1.3651625262614939e-05,1.3651625262614939e-05,4.871855173251203e-09,4.919110008216876e-09
1805,1.296571593099673e-05,1.296571593099673e-05,4.871855173251203e-09,4.340453330087257e-09
1806,1.3929249299898011e-05,1.3929249299898011e-05,4.2710855804476265e-09,3.7396837372836805e-09
1807,1.4060663748490957e-05,1.4060663748490957e-05,4.689528035736348e-09,3.9489049649280415e-09
1808,1.3514282987411466e-05,1.3514282987411466e-05,4.689528035736348e-09,2.7912467099560398e-09
1809,1.3056534433936967e-05,1.3056534433936967e-05,4.689528035736348e-09,1.0547395179472119e-09
1810,1.2975422448237492e-05,1.2975422448237492e-05,4.689528035736348e-09,1.2726771699992208e-09
1811,1.295077696080885e-05,1.295077696080885e-05,4.184424552887224e-10,6.625220689520412e-10
1812,1.3777583912347577e-05,1.3777583912347577e-05,4.184424552887224e-10,9.012303284602499e-10
1813,1.266843303580702e-05,1.266843303580702e-05,6.124218592568858e-10,9.012303284602499e-10
