ngram,score,sore,scre,scre
1757,5.893099276883211e-06,9.668982329458231e-06,6.070941083180514e-09,6.070941083180514e-09
1758,5.596822802544921e-06,9.112835284343288e-06,6.070941083180514e-09,6.070941083180514e-09
1759,5.443170883674091e-06,9.042134154567196e-06,6.070941083180514e-09,6.070941083180514e-09
1760,5.232504236118984e-06,8.49439616753703e-06,6.070941083180514e-09,6.070941083180514e-09
1761,5.073550222992448e-06,8.438469389407796e-06,8.846508541588655e-09,8.846508541588655e-09
1762,6.1412019281955765e-06,7.417333693280982e-06,8.846508541588655e-09,8.846508541588655e-09
1763,6.828937070427596e-06,7.64030762314048e-06,2.7755674584081393e-09,2.7755674584081393e-09
1764,6.6934920661359295e-06,7.814485213332642e-06,2.7755674584081393e-09,2.7755674584081393e-09
1765,7.034528802510717e-06,8.144437158210036e-06,2.7755674584081393e-09,2.7755674584081393e-09
1766,7.026384667239784e-06,8.376523900161764e-06,2.7755674584081393e-09,2.7755674584081393e-09
1767,7.5714033300755545e-06,8.757160945346446e-06,5.720069751191659e-09,5.720069751191659e-09
1768,8.281005323494486e-06,9.010873197569578e-06,8.30892738739359e-09,8.30892738739359e-09
