ngram,net,nett,nett,nnett
1688,1.549396035573279e-05,6.05726963190786e-08,6.05726963190786e-08,0.0
1689,1.581146443641046e-05,1.351251747954458e-07,1.351251747954458e-07,0.0
1690,1.614390488871972e-05,1.351251747954458e-07,1.351251747954458e-07,0.0
1691,1.6606196368229575e-05,1.351251747954458e-07,1.351251747954458e-07,0.0
1692,1.853068481848043e-05,9.4713511446441e-08,9.4713511446441e-08,0.0
1693,1.7553206816955935e-05,1.5741589923631443e-07,1.5741589923631443e-07,0.0
1694,1.7545814444019925e-05,1.5741589923631443e-07,1.5741589923631443e-07,0.0
1695,1.7760347613407896e-05,1.5741589923631443e-07,1.5741589923631443e-07,0.0
1696,1.732949905479992e-05,7.844833354348729e-08,7.844833354348729e-08,0.0
1697,1.7332527672156823e-05,7.844833354348729e-08,7.844833354348729e-08,0.0
1698,1.7565687293037107e-05,9.919087468850713e-08,9.919087468850713e-08,0.0
1699,1.6429445947453913e-05,2.429558228251543e-07,2.429558228251543e-07,0.0
1700,1.8036372499149627e-05,1.8025343503528086e-07,1.8025343503528086e-07,0.0
1701,1.8034715399802996e-05,1.8992019436479624e-07,1.8992019436479624e-07,0.0
1702,1.9103219918698805e-05,2.0190535415005278e-07,2.0190535415005278e-07,0.0
1703,2.0186864795895027e-05,2.0824182809877e-07,2.0824182809877e-07,0.0
1704,1.9335368701181972e-05,2.4288889477475095e-07,2.4288889477475095e-07,0.0
1705,1.8907337887087904e-05,2.4961976866474546e-07,2.4961976866474546e-07,0.0
1706,1.9193185835320037e-05,1.1693020342460971e-07,1.1693020342460971e-07,0.0
1707,1.8350542112394968e-05,1.6554001547319785e-07,1.6554001547319785e-07,0.0
1708,1.8171860704439625e-05,1.7516499082960634e-07,1.7516499082960634e-07,0.0
1709,1.7135528651124332e-05,2.2330490980136476e-07,2.2330490980136476e-07,0.0
1710,1.739438747400917e-05,2.3565253672229248e-07,2.3565253672229248e-07,0.0
1711,1.852519718730556e-05,2.1069779876370376e-07,2.1069779876370376e-07,0.0
1712,1.8641128138239894e-05,2.266780632404724e-07,2.266780632404724e-07,0.0
1713,1.8876344776279958e-05,2.3723871070810025e-07,2.3723871070810025e-07,0.0
1714,1.8469773359746406e-05,1.9820050921128184e-07,1.9820050921128184e-07,0.0
1715,1.892456254738915e-05,2.468428965991214e-07,2.468428965991214e-07,0.0
1716,1.9400253742268042e-05,2.044277341691928e-07,2.044277341691928e-07,0.0
1717,1.850025468489288e-05,1.7763909302256513e-07,1.7763909302256513e-07,0.0
1718,1.7206984791430712e-05,1.8343027718970006e-07,1.8343027718970006e-07,0.0
1719,1.637904785768894e-05,1.7290095349104767e-07,1.7290095349104767e-07,0.0
1720,1.469890828177865e-05,1.7844830679791812e-07,1.7844830679791812e-07,0.0
1721,1.3675009280892222e-05,2.0391692854916853e-07,2.0391692854916853e-07,0.0
1722,1.4158308009168e-05,2.2871384684565653e-07,2.2871384684565653e-07,0.0
1723,1.3129503453715838e-05,2.3570463523827e-07,2.3570463523827e-07,0.0
1724,1.2529677016053548e-05,2.750305877644418e-07,2.750305877644418e-07,0.0
1725,1.3325007915097689e-05,2.742529809600975e-07,2.742529809600975e-07,0.0
1726,1.3190993870791448e-05,2.4771612316953906e-07,2.4771612316953906e-07,0.0
1727,1.305057802320724e-05,2.2737545535278514e-07,2.2737545535278514e-07,0.0
1728,1.3161710610022834e-05,2.0529434304908785e-07,2.0529434304908785e-07,0.0
1729,1.1401063472606308e-05,1.9539900009135636e-07,1.9539900009135636e-07,0.0
1730,1.2092350256612658e-05,2.3616419905384385e-07,2.3616419905384385e-07,0.0
1731,1.1960979203909769e-05,2.170637993158055e-07,2.170637993158055e-07,0.0
1732,1.5026651193953253e-05,2.1487494095140391e-07,2.1487494095140391e-07,0.0
1733,1.5239529602695256e-05,2.1551221252025243e-07,2.1551221252025243e-07,0.0
1734,1.5816721705570152e-05,2.293164231202484e-07,2.293164231202484e-07,0.0
1735,1.6247175803333187e-05,2.2929115520550374e-07,2.2929115520550374e-07,0.0
1736,1.6821837432092123e-05,1.6299243250322043e-07,1.6299243250322043e-07,0.0
1737,1.6192438514346058e-05,2.7748886261796155e-07,2.7748886261796155e-07,0.0
1738,1.613812154183896e-05,4.473272941904075e-07,4.473272941904075e-07,0.0
1739,1.2404146478469816e-05,7.094381483544307e-07,7.094381483544307e-07,0.0
1740,1.21375738412358e-05,7.248752140753822e-07,7.248752140753822e-07,0.0
1741,1.1985593378735107e-05,8.765274626755724e-07,8.765274626755724e-07,0.0
1742,1.2221005428208237e-05,8.699709828720512e-07,8.699709828720512e-07,0.0
1743,1.2581237569975201e-05,8.630654017492491e-07,8.630654017492491e-07,0.0
1744,1.2871587906764554e-05,6.875671283117819e-07,6.875671283117819e-07,0.0
1745,1.3253171606005967e-05,5.087964660382178e-07,5.087964660382178e-07,0.0
1746,1.3403579162383852e-05,2.441245184416273e-07,2.441245184416273e-07,0.0
1747,1.3148830475984141e-05,2.2998098663557747e-07,2.2998098663557747e-07,0.0
1748,1.3867509941129746e-05,7.224073885124329e-08,7.224073885124329e-08,0.0
1749,1.3732334602017155e-05,1.0550560958222377e-07,1.0550560958222377e-07,0.0
1750,1.3788230067543086e-05,2.1132981789914344e-07,2.1132981789914344e-07,0.0
1751,1.4220862405116869e-05,2.3898800601987856e-07,2.3898800601987856e-07,0.0
1752,1.46167893555165e-05,2.395462286943127e-07,2.395462286943127e-07,0.0
1753,1.524306545824012e-05,3.6538278688372626e-07,3.6538278688372626e-07,0.0
1754,1.547491254833793e-05,5.202431643575827e-07,5.202431643575827e-07,0.0
1755,1.512285377560017e-05,5.403640090305219e-07,5.403640090305219e-07,0.0
1756,1.5444663664051666e-05,5.401828815365661e-07,5.401828815365661e-07,0.0
1757,1.5539677536123365e-05,4.704041296171064e-07,4.704041296171064e-07,0.0
1758,1.5133488107364559e-05,4.973259929589144e-07,4.973259929589144e-07,0.0
1759,1.600849970730321e-05,4.813118376237721e-07,4.813118376237721e-07,0.0
1760,1.611594039526868e-05,4.785876736182868e-07,4.785876736182868e-07,0.0
1761,1.6844752540886736e-05,4.763919097935546e-07,4.763919097935546e-07,0.0
1762,1.75367793937247e-05,5.597457430894792e-07,5.597457430894792e-07,0.0
1763,1.7293734994642102e-05,6.338316142416391e-07,6.338316142416391e-07,0.0
1764,1.7728278050656498e-05,7.483635065292609e-07,7.483635065292609e-07,0.0
1765,1.8519373952585738e-05,7.158460704204117e-07,7.158460704204117e-07,0.0
1766,1.806802109578192e-05,7.599820069767052e-07,7.599820069767052e-07,0.0
1767,1.8246342863546617e-05,6.740256951940995e-07,6.740256951940995e-07,0.0
1768,1.840145718493399e-05,5.908269388653155e-07,5.908269388653155e-07,0.0
1769,1.85845842029916e-05,4.971634106303619e-07,4.971634106303619e-07,0.0
1770,1.902896526319507e-05,5.623575662281967e-07,5.623575662281967e-07,0.0
1771,1.861623007113979e-05,5.469442295894364e-07,5.469442295894364e-07,0.0
1772,1.8680012674719493e-05,6.126804156078183e-07,6.126804156078183e-07,0.0
1773,1.802458778651531e-05,7.545146161191951e-07,7.545146161191951e-07,0.0
1774,1.7698810422319055e-05,7.581793803573029e-07,7.581793803573029e-07,0.0
1775,1.6952438402638237e-05,8.074975426097808e-07,8.074975426097808e-07,0.0
1776,1.6117011390243924e-05,9.214583128271312e-07,9.214583128271312e-07,0.0
1777,1.5703994644614534e-05,8.360947804573828e-07,8.360947804573828e-07,0.0
1778,1.5358032084934947e-05,7.719525448075209e-07,7.719525448075209e-07,0.0
1779,1.5686713335786146e-05,8.35952517620951e-07,8.35952517620951e-07,0.0
1780,1.5861640479540385e-05,9.44844418069936e-07,9.44844418069936e-07,0.0
1781,1.612457487811168e-05,1.0260312787327815e-06,1.0260312787327815e-06,0.0
1782,1.709426188816516e-05,1.1320073716498363e-06,1.1320073716498363e-06,0.0
1783,1.7659988381118247e-05,1.141549254108603e-06,1.141549254108603e-06,0.0
1784,1.796458608233869e-05,1.1230728854830626e-06,1.1230728854830626e-06,0.0
1785,1.831627793892819e-05,1.233358156176629e-06,1.233358156176629e-06,0.0
1786,1.755410721671069e-05,1.178942795831972e-06,1.178942795831972e-06,0.0
1787,1.8452603269127265e-05,1.0649492147812062e-06,1.0649492147812062e-06,0.0
1788,1.8736902217954465e-05,1.0727866310844547e-06,1.0727866310844547e-06,0.0
1789,1.8467089181025847e-05,9.746608579267298e-07,9.746608579267298e-07,0.0
1790,1.8839206599555576e-05,9.858862962833622e-07,9.858862962833622e-07,0.0
1791,1.927891064821909e-05,1.0988572155058916e-06,1.0988572155058916e-06,0.0
1792,1.9578581616640023e-05,1.13645381004192e-06,1.13645381004192e-06,0.0
1793,1.9774075294013267e-05,1.219978490293475e-06,1.219978490293475e-06,9.860221210950775e-10
1794,1.907675479222754e-05,1.138423751204495e-06,1.138423751204495e-06,9.860221210950775e-10
1795,1.8743749283852855e-05,1.1237409580644453e-06,1.1237409580644453e-06,9.860221210950775e-10
1796,1.8379384658016663e-05,1.1073085163713716e-06,1.1073085163713716e-06,9.860221210950775e-10
1797,1.8581423449047308e-05,1.08483894629379e-06,1.08483894629379e-06,9.860221210950775e-10
1798,1.8067028837062287e-05,1.0202206551314572e-06,1.0202206551314572e-06,9.860221210950775e-10
1799,1.7437820653347963e-05,9.526918753571019e-07,9.526918753571019e-07,1.5867917138986547e-09
1800,1.7533529639227447e-05,9.278686466781696e-07,9.278686466781696e-07,1.424097411424035e-09
1801,1.7591994557213703e-05,9.838805681283702e-07,9.838805681283702e-07,1.8884378822597067e-09
1802,1.7042434332584628e-05,9.998534957438615e-07,9.998534957438615e-07,1.8884378822597067e-09
1803,1.659199084055477e-05,9.989182834552984e-07,9.989182834552984e-07,2.2394378415161296e-09
1804,1.5503043739175026e-05,1.0456413000221282e-06,1.0456413000221282e-06,2.2394378415161296e-09
1805,1.5099132334788529e-05,1.1075374897830313e-06,1.1075374897830313e-06,4.316857855306872e-09
1806,1.4971669640674787e-05,1.0977830454196789e-06,1.0977830454196789e-06,4.491738536671619e-09
1807,1.4312785424408503e-05,1.074901685374893e-06,1.074901685374893e-06,3.6684107180511613e-09
1808,1.4094341687658535e-05,1.078027131435582e-06,1.078027131435582e-06,3.6747966257268315e-09
1809,1.4224376822572335e-05,1.082037613286957e-06,1.082037613286957e-06,3.855721440539282e-09
1810,1.4260403986554593e-05,1.1446870595526498e-06,1.1446870595526498e-06,4.158534421578557e-09
1811,1.382588067956801e-05,1.0916529130814264e-06,1.0916529130814264e-06,4.392918362405851e-09
1812,1.37793544386763e-05,1.0277666514671831e-06,1.0277666514671831e-06,3.2703313866479432e-09
1813,1.3624987592005969e-05,1.3222795018918987e-06,1.3222795018918987e-06,4.046516344224926e-09
1814,1.3431941234947381e-05,1.426167541142474e-06,1.426167541142474e-06,4.464432617241292e-09
1815,1.301027909253857e-05,1.489439723302764e-06,1.489439723302764e-06,5.9251133999183025e-09
1816,1.2714370054059795e-05,1.848676065817147e-06,1.848676065817147e-06,6.504879460475113e-09
1817,1.2194331247883383e-05,1.8771429738860337e-06,1.8771429738860337e-06,5.8510665201794154e-09
1818,1.2083718112470316e-05,2.047783116917604e-06,2.047783116917604e-06,6.332822044541331e-09
1819,1.1743236947430497e-05,2.1250622402086653e-06,2.1250622402086653e-06,5.828881345846883e-09
1820,1.1497246175297602e-05,1.926040048212079e-06,1.926040048212079e-06,4.571839985954642e-09
1821,1.160347112870243e-05,1.88014402218479e-06,1.88014402218479e-06,4.4110322220244515e-09
1822,1.1302649129772493e-05,1.8780287486411647e-06,1.8780287486411647e-06,2.4796250608360992e-09
1823,1.0963533246207849e-05,1.5926721711626409e-06,1.5926721711626409e-06,1.8593969538674822e-09
1824,1.0898372628227143e-05,1.5525596869078332e-06,1.5525596869078332e-06,2.127636987227431e-09
1825,1.0825100616784766e-05,1.4998976212154957e-06,1.4998976212154957e-06,1.4114975220382219e-09
1826,1.0804248891612847e-05,1.5144145371388212e-06,1.5144145371388212e-06,1.1976016686280185e-09
1827,1.0690034287108574e-05,1.5341179765268213e-06,1.5341179765268213e-06,1.1119490090598966e-09
1828,1.0561658070530808e-05,1.6357958949291579e-06,1.6357958949291579e-06,1.1858284354460125e-09
1829,1.364572004344414e-05,1.6850922130678164e-06,1.6850922130678164e-06,1.3966512708256979e-09
1830,1.3914824843855708e-05,1.7590769272958693e-06,1.7590769272958693e-06,1.637406670569013e-09
1831,1.4363551469744249e-05,1.991700092470897e-06,1.991700092470897e-06,1.833639922439139e-09
1832,1.5358393024403733e-05,1.9675179276289e-06,1.9675179276289e-06,2.514835593738139e-09
1833,1.5933724690902246e-05,2.1153829753270007e-06,2.1153829753270007e-06,2.8551869281555143e-09
1834,1.632817774017375e-05,2.1295143954245887e-06,2.1295143954245887e-06,2.8952262968015165e-09
1835,1.6497286846320742e-05,2.0593136988671697e-06,2.0593136988671697e-06,3.066938782301877e-09
1836,1.3558722457673866e-05,2.0294532662644216e-06,2.0294532662644216e-06,3.081299485404746e-09
1837,1.4479806590575858e-05,2.0205421995862186e-06,2.0205421995862186e-06,2.85496413811513e-09
1838,1.4631903858181821e-05,1.9635593032165033e-06,1.9635593032165033e-06,3.077422570742426e-09
1839,1.421647565231459e-05,2.043177914856642e-06,2.043177914856642e-06,3.0024783928947076e-09
1840,1.395306740700367e-05,1.9641131042849987e-06,1.9641131042849987e-06,2.7274744367795326e-09
