ngram,muscle,musle,mscle,mscle
1841,8.775726655585459e-06,1.1153178856661482e-09,0.0,0.0
1842,8.892608678122218e-06,1.6235119439299085e-09,6.081543998551605e-11,6.081543998551605e-11
1843,8.543738723736688e-06,1.538964114874578e-09,1.2638996991855477e-10,1.2638996991855477e-10
1844,8.45637721015789e-06,1.8060955429634517e-09,1.2638996991855477e-10,1.2638996991855477e-10
1845,8.62470395596964e-06,2.1397893774326756e-09,1.2638996991855477e-10,1.2638996991855477e-10
1846,9.0258849273336e-06,2.097545629250622e-09,1.2638996991855477e-10,1.2638996991855477e-10
1847,9.04386446823732e-06,2.143170593374829e-09,1.2638996991855477e-10,1.2638996991855477e-10
1848,9.190850505547132e-06,2.8541103448885353e-09,1.8107764494195473e-10,1.8107764494195473e-10
1849,9.304962856861363e-06,1.92065108262085e-09,1.2026220495643868e-10,1.2026220495643868e-10
1850,9.373394667428719e-06,2.3297756263878408e-09,5.4687675023399966e-11,5.4687675023399966e-11
1851,9.372004699668781e-06,2.8519302950970525e-09,5.4687675023399966e-11,5.4687675023399966e-11
1852,9.301583694260834e-06,2.9227290270534515e-09,5.4687675023399966e-11,5.4687675023399966e-11
1853,9.413921881267534e-06,2.9996624232150484e-09,1.0294701599125996e-10,1.0294701599125996e-10
1854,9.387198133481434e-06,3.080458935552802e-09,1.0294701599125996e-10,1.0294701599125996e-10
1855,9.250415197519552e-06,2.527024430979249e-09,4.825934096786e-11,4.825934096786e-11
1856,9.113624985600057e-06,2.5149022388402743e-09,4.825934096786e-11,4.825934096786e-11
1857,9.289846340314917e-06,2.665948081340527e-09,4.825934096786e-11,4.825934096786e-11
1858,9.384288919786091e-06,1.934265497771648e-09,4.825934096786e-11,4.825934096786e-11
1859,9.596648916548084e-06,1.5907023198646897e-09,4.825934096786e-11,4.825934096786e-11
1860,9.158996687931773e-06,1.923834222880164e-09,0.0,0.0
1861,9.420408527408394e-06,2.456153601932647e-09,0.0,0.0
1862,9.372691628024249e-06,2.632957982592491e-09,0.0,0.0
1863,9.83843827790614e-06,2.6270752121312515e-09,0.0,0.0
1864,1.0680018801524835e-05,2.2368059031980484e-09,0.0,0.0
1865,1.0975887822236732e-05,2.7983740880088703e-09,4.422655099288266e-11,4.422655099288266e-11
1866,1.1370702850399539e-05,3.4010390218394295e-09,8.846617089679804e-11,8.846617089679804e-11
1867,1.1931028374030056e-05,2.816516638962493e-09,8.846617089679804e-11,8.846617089679804e-11
1868,1.2231538416277285e-05,2.619930209287905e-09,1.332778688998916e-10,1.332778688998916e-10
1869,1.3062133023465452e-05,2.641893561060117e-09,1.332778688998916e-10,1.332778688998916e-10
1870,1.3445178800403873e-05,2.752098675935193e-09,1.332778688998916e-10,1.332778688998916e-10
1871,1.2876259721191932e-05,2.6383512517570905e-09,1.332778688998916e-10,1.332778688998916e-10
1872,1.2681748298096604e-05,2.2648898153779638e-09,1.709547384606428e-10,1.709547384606428e-10
1873,1.2507131551891299e-05,1.796339251950282e-09,1.6572387113405236e-10,1.6572387113405236e-10
1874,1.2506878972219835e-05,1.9086179145081215e-09,1.6572387113405236e-10,1.6572387113405236e-10
1875,1.3146945223395181e-05,1.812142864337269e-09,1.6102720347608924e-10,1.6102720347608924e-10
1876,1.3114686355817997e-05,1.5708658342359983e-09,1.6102720347608924e-10,1.6102720347608924e-10
1877,1.2707359149187272e-05,1.4922054385786104e-09,1.6102720347608924e-10,1.6102720347608924e-10
1878,1.3480974562948436e-05,1.5519040497125047e-09,1.6102720347608924e-10,1.6102720347608924e-10
1879,1.3876086216311836e-05,1.6902457528849319e-09,7.912378292245542e-11,7.912378292245542e-11
1880,1.4395089497806371e-05,1.922728865011436e-09,4.011503034513047e-11,4.011503034513047e-11
1881,1.4642689945633589e-05,1.9449844592043875e-09,4.011503034513047e-11,4.011503034513047e-11
1882,1.4402441852975503e-05,1.9250436482971215e-09,3.240957898878857e-11,3.240957898878857e-11
1883,1.4269094598213477e-05,1.8742929549667562e-09,1.2877746091710662e-10,1.2877746091710662e-10
1884,1.4568500513892754e-05,1.882600024284896e-09,1.2877746091710662e-10,1.2877746091710662e-10
1885,1.435532301132168e-05,1.9623827285375484e-09,1.5780073874578042e-10,1.5780073874578042e-10
1886,1.4263524982587633e-05,1.688685227366601e-09,1.8538935466137574e-10,1.8538935466137574e-10
1887,1.4234128944476002e-05,1.426962171440544e-09,1.8538935466137574e-10,1.8538935466137574e-10
