ngram,string,strng,strng,strng
1875,9.887019197256969e-06,1.89073149200628e-09,1.89073149200628e-09,1.89073149200628e-09
1876,1.0070268607315874e-05,1.8436221914188066e-09,1.8436221914188066e-09,1.8436221914188066e-09
1877,1.0208524794766813e-05,1.9397201622695093e-09,1.9397201622695093e-09,1.9397201622695093e-09
1878,1.0103542730835865e-05,2.1722641780590787e-09,2.1722641780590787e-09,2.1722641780590787e-09
1879,9.899795129188402e-06,2.060171287533917e-09,2.060171287533917e-09,2.060171287533917e-09
1880,9.750997898143915e-06,1.951543450649597e-09,1.951543450649597e-09,1.951543450649597e-09
1881,9.72292049742204e-06,1.7037891573780583e-09,1.7037891573780583e-09,1.7037891573780583e-09
1882,9.683528592826665e-06,1.7377865020001033e-09,1.7377865020001033e-09,1.7377865020001033e-09
1883,9.52124966196217e-06,1.7005303673148627e-09,1.7005303673148627e-09,1.7005303673148627e-09
1884,9.297475246837297e-06,1.6866336105536561e-09,1.6866336105536561e-09,1.6866336105536561e-09
1885,9.165769500084156e-06,1.512418777517764e-09,1.512418777517764e-09,1.512418777517764e-09
1886,9.144006071437616e-06,1.5585586313601345e-09,1.5585586313601345e-09,1.5585586313601345e-09
1887,9.150031863620306e-06,1.6704648933948567e-09,1.6704648933948567e-09,1.6704648933948567e-09
1888,9.116531405847386e-06,1.5620798384955288e-09,1.5620798384955288e-09,1.5620798384955288e-09
1889,9.1637189793151e-06,1.6555022194378717e-09,1.6555022194378717e-09,1.6555022194378717e-09
1890,9.283540228872361e-06,1.538653529983439e-09,1.538653529983439e-09,1.538653529983439e-09
1891,9.460304941707623e-06,1.4334790259568869e-09,1.4334790259568869e-09,1.4334790259568869e-09
1892,9.62638153266328e-06,1.441928521028757e-09,1.441928521028757e-09,1.441928521028757e-09
1893,9.843221700326207e-06,1.3134662881140814e-09,1.3134662881140814e-09,1.3134662881140814e-09
1894,1.0002262180413319e-05,1.1917690168061768e-09,1.1917690168061768e-09,1.1917690168061768e-09
1895,9.996575239970948e-06,1.2801301526746807e-09,1.2801301526746807e-09,1.2801301526746807e-09
1896,1.0026608833868522e-05,1.1085328607432894e-09,1.1085328607432894e-09,1.1085328607432894e-09
1897,1.0163662409468088e-05,1.106952807194972e-09,1.106952807194972e-09,1.106952807194972e-09
1898,1.012347404736959e-05,1.0388508545463741e-09,1.0388508545463741e-09,1.0388508545463741e-09
1899,1.0139021339585139e-05,8.420474872927741e-10,8.420474872927741e-10,8.420474872927741e-10
1900,1.0007096794392315e-05,8.582244201019559e-10,8.582244201019559e-10,8.582244201019559e-10
1901,9.924107351772754e-06,7.549920688632028e-10,7.549920688632028e-10,7.549920688632028e-10
1902,9.964775927073788e-06,6.717138591381757e-10,6.717138591381757e-10,6.717138591381757e-10
1903,9.89531352908151e-06,6.191878835056944e-10,6.191878835056944e-10,6.191878835056944e-10
1904,9.852653810022665e-06,5.924420834865377e-10,5.924420834865377e-10,5.924420834865377e-10
1905,9.81500683597655e-06,5.368266030116229e-10,5.368266030116229e-10,5.368266030116229e-10
1906,9.815303331249328e-06,5.260309212027994e-10,5.260309212027994e-10,5.260309212027994e-10
1907,9.803318529780622e-06,5.055083375703009e-10,5.055083375703009e-10,5.055083375703009e-10
1908,9.70659519745303e-06,6.050672780271477e-10,6.050672780271477e-10,6.050672780271477e-10
1909,9.7219031626342e-06,6.430049072557255e-10,6.430049072557255e-10,6.430049072557255e-10
1910,9.693823553139477e-06,6.894394460094893e-10,6.894394460094893e-10,6.894394460094893e-10
1911,9.58127540278448e-06,7.11767882728103e-10,7.11767882728103e-10,7.11767882728103e-10
