ngram,red,rd,redd
1743,5.083132106977116e-05,2.8521432113848277e-06,4.852075475371618e-07
1744,5.336048187538316e-05,3.046508676821499e-06,4.057099189935798e-07
1745,5.5493823830537235e-05,3.1135627328434827e-06,3.735787821312897e-07
1746,6.282916521221133e-05,2.917815777436772e-06,3.843243503760212e-07
1747,6.385656161000952e-05,2.055923573607288e-06,3.926426538823437e-07
1748,6.502659276260861e-05,2.058491840476303e-06,3.8439968414698864e-07
1749,6.115448767169645e-05,2.0341840354376473e-06,3.4966863944012924e-07
1750,5.841290424411584e-05,1.7629387717274118e-06,1.3223972621696184e-07
1751,5.694373664612483e-05,1.6726255255759627e-06,1.4382096783346503e-07
1752,5.222453962362904e-05,1.5243169368009797e-06,1.3750939180973936e-07
1753,4.9639623154819545e-05,1.566966375321499e-06,1.1780298438322592e-07
1754,5.54822498608181e-05,1.5557098517352382e-06,1.1785281829799845e-07
1755,5.6678823706793734e-05,1.5120062438914568e-06,2.298123154633101e-07
1756,5.769642874448826e-05,1.5580598398758281e-06,2.5329193016026305e-07
1757,6.252799773522253e-05,1.6354650987133418e-06,2.3857535578843324e-07
1758,6.11697999244955e-05,1.567711527578857e-06,2.050684452724129e-07
1759,6.152616125681172e-05,1.671538581961483e-06,2.711655504583632e-07
1760,5.936431833626037e-05,1.6291245076770013e-06,2.670163422432584e-07
1761,5.3835041658853046e-05,1.6988863243178848e-06,2.6975047465579595e-07
1762,5.029565935339113e-05,1.7974516595131718e-06,2.399938706178416e-07
1763,4.88851848266287e-05,1.7774917426192718e-06,2.1228104429837913e-07
1764,4.6832682918258275e-05,1.7575640315824006e-06,2.7270933600220815e-07
1765,4.918040524769042e-05,1.872705654802433e-06,2.8401844076597627e-07
1766,5.302028252377308e-05,1.8353325685893651e-06,2.51931857470871e-07
1767,5.5126926911595676e-05,1.8249144529493475e-06,2.977982031130263e-07
1768,5.9727580394662384e-05,1.914914183284314e-06,3.0547142009546793e-07
1769,6.168152945714869e-05,1.8056519885638927e-06,2.3486009277056447e-07
1770,6.975283291207493e-05,1.7921596996269988e-06,2.9837286165599964e-07
1771,7.324276157305576e-05,1.7928225101318925e-06,2.433676249730914e-07
1772,7.724407987552695e-05,1.7023052773116172e-06,2.517326659504501e-07
1773,8.160626696605635e-05,1.6628048180271954e-06,2.332932891947946e-07
1774,8.471719567231568e-05,1.6528196868291291e-06,2.0887322652437694e-07
1775,8.085239720198192e-05,1.5595755615192632e-06,1.9587511803008185e-07
1776,8.042465300864674e-05,1.6558401674566475e-06,2.131922544533284e-07
1777,7.620343447862459e-05,1.6265519044671756e-06,1.615104372782688e-07
1778,7.370328811313292e-05,1.71237513768574e-06,1.4616007401205673e-07
1779,6.828092383719715e-05,1.8990706556516152e-06,1.8120531665642504e-07
