ngram,fun,fn,funn,fuun
1785,5.1891150568345825e-05,1.7285176779426235e-06,2.9606368658262128e-08,0.0
1786,5.225652057561092e-05,1.6261869209951589e-06,2.7163193852938354e-08,1.3400983180287896e-09
1787,5.4986996734182215e-05,1.5913469886592274e-06,2.8452335471789477e-08,1.3400983180287896e-09
1788,5.500298721017316e-05,1.573468158052752e-06,2.7240405867498145e-08,1.3400983180287896e-09
1789,5.2842935214617425e-05,1.5661034597412384e-06,2.9735811654266594e-08,1.3400983180287896e-09
1790,5.019928253854492e-05,1.600794673452453e-06,2.3247112298666447e-08,1.3400983180287896e-09
1791,5.0042657156674455e-05,1.6648158732225835e-06,2.426203301756199e-08,2.426064555598779e-09
1792,5.2564060232335965e-05,1.7738220451844557e-06,2.214259163326103e-08,2.426064555598779e-09
1793,5.183375885410767e-05,1.834560391346583e-06,2.0448417118298527e-08,3.058010479760144e-09
1794,4.9237058971942004e-05,1.913553108222134e-06,2.614517434297779e-08,3.058010479760144e-09
1795,4.7025764485754606e-05,1.919084297696827e-06,2.7185158695581483e-08,3.058010479760144e-09
1796,4.618677745124192e-05,1.9418525718200338e-06,2.822058897677948e-08,3.058010479760144e-09
1797,4.444205738504284e-05,1.8615640523681317e-06,2.714473947205777e-08,3.058010479760144e-09
1798,4.007564530184027e-05,1.7606098643747309e-06,2.2800874521777814e-08,1.972044242190155e-09
1799,3.4011428786990496e-05,1.6647822706415485e-06,2.1451674151303938e-08,2.572813834993732e-09
1800,3.068865797623792e-05,1.5741149549545038e-06,2.375896330469069e-08,6.00769592803577e-10
1801,2.612494582925657e-05,1.4310703591036145e-06,1.7237404931995977e-08,6.00769592803577e-10
1802,2.2381137309171857e-05,1.365742865086109e-06,1.4018443231630532e-08,6.00769592803577e-10
1803,1.8157484191760886e-05,1.2604549185977833e-06,9.031473600730675e-09,6.00769592803577e-10
1804,1.5715275367256254e-05,1.2439084652474515e-06,9.423014115027075e-09,9.058471433271669e-10
1805,1.2612172732977861e-05,1.1710088918854517e-06,9.682691616750918e-09,9.058471433271669e-10
1806,9.740537279867567e-06,1.0733302165785323e-06,7.454494053783987e-09,3.0507755052358986e-10
1807,8.019515137545699e-06,1.0322321405250738e-06,4.788846478095568e-09,5.142987781679511e-10
1808,7.020135074396551e-06,9.586620178327263e-07,5.030595543306252e-09,5.142987781679511e-10
1809,6.136886635691294e-06,8.594082276301509e-07,5.139243205601726e-09,5.142987781679511e-10
1810,5.093680296600464e-06,7.90897558999859e-07,4.873118591192898e-09,5.142987781679511e-10
1811,3.7490390241146088e-06,7.021592084908792e-07,3.816498656788221e-09,4.4360516847165496e-10
1812,3.2821520790093928e-06,6.706231537074408e-07,4.5116541930972124e-09,6.823134279798637e-10
1813,3.1800475913509478e-06,6.508789575881175e-07,3.736003918928889e-09,1.264251608163696e-09
1814,2.7651303753373213e-06,6.150139922413343e-07,3.735214645520354e-09,1.0550303805193347e-09
1815,2.375570959754571e-06,5.71116694508029e-07,3.801687948572814e-09,1.0550303805193347e-09
1816,2.5175389250112597e-06,5.579592498504229e-07,3.829431660662408e-09,1.0550303805193347e-09
1817,2.4877061995149622e-06,5.356798819125938e-07,4.078946640768371e-09,1.22637795157183e-09
1818,2.394481953160721e-06,5.099178029662912e-07,4.5053531064606236e-09,9.919940107445363e-10
1819,2.436547057576328e-06,4.835006076778622e-07,4.602602172403587e-09,9.035831923956802e-10
1820,2.097549018539472e-06,4.338322818447133e-07,4.749999108330119e-09,3.2164501221184795e-10
1821,2.179530107631373e-06,4.1422457489456323e-07,5.023004472677022e-09,4.5019926675493593e-10
1822,2.2296431682532003e-06,4.055386528177353e-07,4.624748346187297e-09,4.5019926675493593e-10
1823,1.9461748479443486e-06,4.0854193831104825e-07,4.8970068159245474e-09,4.5019926675493593e-10
1824,1.9468796413743154e-06,3.91326003474595e-07,4.748096598434464e-09,5.470917290623894e-10
1825,1.8921127288454694e-06,3.828960067104552e-07,4.486006249011203e-09,5.470917290623894e-10
1826,1.9309972166021387e-06,3.6671948626982545e-07,3.670920630963589e-09,3.967942879030366e-10
1827,1.9466845060378546e-06,3.526714067447756e-07,4.046376725749415e-09,3.967942879030366e-10
1828,1.980442870522633e-06,3.48395790946857e-07,4.1394607424345105e-09,3.7856934254065777e-10
1829,2.0057316305610584e-06,3.4585603105240027e-07,4.046251143665001e-09,3.7856934254065777e-10
1830,2.166512168904384e-06,3.25082981232429e-07,3.584692669684435e-09,4.738738845766477e-10
1831,2.3337771446157215e-06,3.086016298376697e-07,3.698475240351432e-09,2.9852851143477975e-10
