ngram,map,mp,ma,amp
1572,0.00023052062741563923,2.9537993084107127e-05,1.4097748719775285e-05,9.456035643649687e-06
1573,0.00016824841908861084,6.854868427451168e-05,1.403352280249237e-05,9.456035643649687e-06
1574,0.00011096219376278376,5.788157328165003e-05,1.7846503721687312e-05,7.133472211405335e-06
1575,0.00011850587127680358,6.0396132539608516e-05,1.741998162937567e-05,7.133472211405335e-06
1576,0.00015516964153253606,7.707130940356624e-05,1.877202294053859e-05,8.034833107168587e-06
1577,0.0001237364818475076,7.821113909553137e-05,2.0852950196318227e-05,1.9907839876915593e-06
1578,0.00013650487692627524,8.808857689603298e-05,2.2539342028591947e-05,2.9544364354348673e-06
1579,0.00014103216069218303,9.067559611659297e-05,2.395964565948816e-05,2.9544364354348673e-06
1580,0.00013987903366796672,6.156951323126642e-05,1.8390111238529373e-05,3.9448972789354486e-06
1581,9.9463030242727e-05,5.8291086263904746e-05,1.576374506839784e-05,2.8554741870071406e-06
1582,0.00013214156570029445,6.541309838732039e-05,1.9533906457322052e-05,4.950381025992101e-06
1583,0.00010338629726902582,4.9218544128442386e-05,1.8902799053778707e-05,5.490887945468005e-06
1584,8.581768270232715e-05,4.530642179036347e-05,1.4698958823698507e-05,5.490887945468005e-06
1585,8.833545299629415e-05,4.392129773935137e-05,1.5277184112554615e-05,4.715953585738524e-06
1586,8.596485076850513e-05,5.4993261203760214e-05,1.3336919697134622e-05,4.715953585738524e-06
1587,8.950956739032076e-05,5.201024435206948e-05,2.2084464035287965e-05,4.417651861591107e-06
1588,0.00010291596468700195,4.9500898057885934e-05,2.4245378361748798e-05,7.095675122010496e-06
1589,6.43742900397878e-05,4.191831781749248e-05,1.7960657714866102e-05,5.3742212295609145e-06
1590,5.676298548808388e-05,4.143769521241276e-05,1.905955332404119e-05,3.932353414321759e-06
1591,6.496152309409808e-05,4.420605156545727e-05,2.7489113303350416e-05,4.465420342317625e-06
1592,6.1017822060551096e-05,3.929556857786208e-05,3.0000270531413014e-05,5.470645841601904e-06
1593,5.9977524220552626e-05,2.5636585892893242e-05,3.1116654229533325e-05,5.693922568233185e-06
1594,4.751865981234005e-05,1.8714994439505972e-05,2.3573188237995574e-05,5.001763448880021e-06
1595,3.0124887286677093e-05,1.4697959548876887e-05,2.6086021534865722e-05,2.7745372790377587e-06
1596,2.9706858315746232e-05,1.327522308461734e-05,2.755894911388168e-05,2.4010843325023804e-06
1597,3.0240762888362432e-05,1.327522308461734e-05,2.7555051019589882e-05,2.4010843325023804e-06
1598,2.275183643567808e-05,4.3900211039726855e-06,1.8668718634476784e-05,2.5315261414756866e-06
1599,4.5957338053475337e-05,2.922477749832199e-05,1.7194456307022066e-05,2.3987829211234512e-06
1600,5.0272764903119036e-05,3.14614053097882e-05,1.9166749098076252e-05,2.495024448632778e-06
1601,5.10540603499976e-05,3.14614053097882e-05,2.066952174573089e-05,3.080996033791702e-06
1602,0.0001139081116759501,3.2296611055114355e-05,1.5957567289400947e-05,4.6138126046051705e-06
1603,0.00013283899781007285,3.8259118127825786e-05,1.8193630824368612e-05,7.086473260642379e-06
1604,0.00013841654383993176,3.9280740013834604e-05,1.9612835460845546e-05,7.937824875625665e-06
1605,0.0001361351176975794,3.977842568149624e-05,2.175654468114122e-05,8.173811271002965e-06
1606,0.00010751307984589533,1.2082559481184165e-05,2.093751585821987e-05,7.432931332524666e-06
1607,0.00010208126929813131,1.6564405411502647e-05,2.307431883049763e-05,7.113413078384058e-06
1608,0.0001126815963548974,1.756279341082388e-05,1.9584611696440595e-05,6.926796686457237e-06
1609,5.828620045836682e-05,1.7293609614301075e-05,2.1832335473196247e-05,4.943183025066641e-06
1610,4.127901151410437e-05,1.1719433976915233e-05,2.105465435826253e-05,2.8528671529264623e-06
1611,6.331515812364939e-05,1.9914917239865254e-05,2.0994298990574733e-05,6.610068112422596e-06
1612,6.0299305914668366e-05,1.977829736331062e-05,2.4595267599839383e-05,5.710572980076124e-06
1613,5.740977706279539e-05,1.921738688841807e-05,2.5628614951399087e-05,5.390252551608553e-06
1614,6.40019718827846e-05,1.249891314663338e-05,2.468806230483876e-05,7.038301256605857e-06
1615,5.681072512483557e-05,1.1500525147312146e-05,3.14898050938999e-05,8.92460551377943e-06
1616,5.096434818239816e-05,1.2376201328022165e-05,3.2418767659692094e-05,8.92460551377943e-06
1617,4.938417896482861e-05,1.1603697885220754e-05,3.430556976776903e-05,8.5422607298824e-06
1618,2.0295156291792538e-05,2.3865927362619132e-06,3.635007721771087e-05,3.93370815540298e-06
1619,2.0613499056513058e-05,1.8485912797976717e-06,3.3314026170825984e-05,3.93370815540298e-06
1620,2.6542863232797182e-05,2.5954309908878973e-06,3.382775217427739e-05,4.941097293859846e-06
1621,2.0664340395017333e-05,2.9522669819925795e-06,3.6322709222856376e-05,3.2930485888625427e-06
1622,1.6685009874046436e-05,3.0226153902341527e-06,3.008161106013826e-05,1.0777375466984398e-06
1623,1.9725109211776726e-05,3.1974024718043178e-06,3.1683628809072874e-05,1.0777375466984398e-06
1624,1.826840407862359e-05,3.099651995138889e-06,3.0001492632436566e-05,1.5257341081970871e-06
1625,2.107719119846609e-05,3.099651995138889e-06,2.935076268581075e-05,1.9410575597638465e-06
1626,2.1329577147558405e-05,5.395870159320891e-06,2.987374578619243e-05,1.9410575597638465e-06
1627,1.8275353097253954e-05,5.2880766523750415e-06,2.9998244177217464e-05,1.0934397615918506e-06
1628,3.0139913844452947e-05,1.1220357025974539e-05,2.6166383447291863e-05,2.534695486896713e-06
1629,3.0176456659449157e-05,1.1150008617732965e-05,3.0184727490580243e-05,2.5468764225219535e-06
1630,2.4206675448112946e-05,9.619772405195753e-06,2.7966322314958753e-05,2.5468764225219535e-06
1631,2.7514822444832783e-05,9.867200130234518e-06,2.755098570820077e-05,2.5523197483120645e-06
1632,2.4790810454890432e-05,9.867200130234518e-06,2.6280968346067573e-05,2.136996296745305e-06
1633,2.875969851499706e-05,8.119353156286837e-06,2.6308524736253147e-05,3.919202616283915e-06
1634,3.3585539248243936e-05,7.320496471103459e-06,2.4375996612694246e-05,3.7594312759990445e-06
1635,2.1418905102369274e-05,1.1136998198578243e-06,2.5790918308692718e-05,2.6474544045283565e-06
1636,2.238713880485323e-05,1.2005442288552461e-06,2.2879729710569207e-05,2.564925060661543e-06
1637,2.1864271730009932e-05,1.114295230308926e-06,2.2390068417215453e-05,2.638085188014624e-06
1638,1.8743467730278747e-05,7.175353126902857e-07,2.317085090908222e-05,2.184645300725866e-06
1639,1.879382615957833e-05,7.954055425735922e-07,2.3142859780429198e-05,2.340385760492479e-06
1640,1.3447207200962502e-05,2.4703435233927197e-07,2.242278787889518e-05,5.581794409538685e-07
1641,2.94871543766411e-06,3.664785270172745e-07,2.4202640945856858e-05,5.581794409538685e-07
1642,2.64506668859862e-06,5.000584824951407e-07,2.221459258830042e-05,2.2890058711969426e-07
1643,1.6098898397233694e-06,6.841814216126554e-07,2.1335820747481193e-05,2.2890058711969426e-07
1644,1.4644148304146905e-06,6.841814216126554e-07,2.0408311814078062e-05,1.557404597666131e-07
1645,1.3242069647796079e-06,7.824150835793782e-07,2.024683440790146e-05,1.557404597666131e-07
1646,1.2920730877600102e-06,8.052832640714769e-07,1.8991052976551665e-05,0.0
1647,3.5810753209781458e-06,1.2214654735284318e-06,1.923503142669298e-05,2.080911047284774e-07
1648,4.763513329310497e-06,1.3312674777158203e-06,1.8672344205177588e-05,2.9978957627463387e-07
1649,5.35961347785425e-06,1.2718233587552926e-06,2.1851619619285755e-05,2.9978957627463387e-07
1650,5.266808857738527e-06,1.0447761472473109e-06,2.2499733989077087e-05,3.437097128815887e-07
1651,4.986163154236627e-06,1.2167764720873362e-06,2.3949204530383993e-05,3.437097128815887e-07
1652,6.348494910720806e-06,1.5082425802250197e-06,2.4339243671939975e-05,3.437097128815887e-07
1653,6.674648545867967e-06,1.709007282865319e-06,2.684702199725767e-05,3.437097128815887e-07
1654,4.924927720497051e-06,2.86918610673378e-06,2.7313613567717505e-05,2.1858498046510378e-07
1655,2.3200533316217582e-05,8.740759706630083e-06,2.8523164343953666e-05,6.498139027501435e-07
1656,3.8444664182536924e-05,8.720226150314505e-06,2.713726696258943e-05,7.857358964104475e-07
1657,3.885730370711826e-05,8.787523743844109e-06,2.6448369031381196e-05,7.974246248717723e-07
1658,3.9307459896268225e-05,8.937217216953286e-06,2.6996612697465544e-05,7.974246248717723e-07
1659,4.241290253048646e-05,9.96287362145917e-06,2.571133531351474e-05,1.1834308395464177e-06
1660,4.445086567881974e-05,9.821720108707918e-06,2.3834557136329488e-05,1.1834308395464177e-06
1661,4.431469671674547e-05,8.245359075382502e-06,2.390493643490897e-05,1.100464467234425e-06
1662,2.522676267549936e-05,2.4287383309586275e-06,2.1570885110122617e-05,6.181369331313493e-07
