ngram,principle,principl,principel,priniple
1653,4.482598667112013e-05,7.822777498794104e-08,0.0,0.0
1654,4.714296846941579e-05,7.822777498794104e-08,0.0,0.0
1655,4.818178656153448e-05,1.3633081964923933e-07,0.0,0.0
1656,4.767302146189779e-05,5.81030446612983e-08,0.0,0.0
1657,4.707658419127776e-05,5.81030446612983e-08,0.0,0.0
1658,4.028189115550569e-05,1.117186790062468e-07,0.0,0.0
1659,3.748233848455129e-05,1.117186790062468e-07,0.0,0.0
1660,3.525012146253305e-05,1.9189347913847348e-07,8.017480013222666e-08,0.0
1661,3.482270260844546e-05,1.9189347913847348e-07,8.017480013222666e-08,0.0
1662,3.618738589596303e-05,1.3379043447717516e-07,8.017480013222666e-08,0.0
1663,3.331941492693399e-05,1.3379043447717516e-07,8.017480013222666e-08,0.0
1664,3.439988839610513e-05,1.3379043447717516e-07,8.017480013222666e-08,0.0
1665,3.799950887436613e-05,8.017480013222666e-08,8.017480013222666e-08,0.0
1666,4.2355896117182314e-05,8.017480013222666e-08,8.017480013222666e-08,0.0
1667,3.724196825974754e-05,0.0,0.0,0.0
1668,4.223022889553769e-05,4.3753215907470026e-08,0.0,0.0
1669,3.978076685078642e-05,4.3753215907470026e-08,0.0,0.0
1670,4.0662191687650715e-05,4.3753215907470026e-08,0.0,0.0
1671,3.8520937128591216e-05,4.3753215907470026e-08,0.0,0.0
1672,3.941700872798849e-05,4.3753215907470026e-08,0.0,0.0
1673,3.8967423149318036e-05,6.849608626323191e-08,0.0,0.0
1674,4.040885505673941e-05,6.849608626323191e-08,0.0,0.0
1675,3.701189754273011e-05,2.4742870355761885e-08,0.0,0.0
1676,3.818772295614638e-05,2.4742870355761885e-08,0.0,0.0
1677,3.902402074475374e-05,2.4742870355761885e-08,0.0,0.0
1678,3.8756646193048384e-05,2.4742870355761885e-08,0.0,0.0
1679,3.1295577433151524e-05,2.4742870355761885e-08,0.0,0.0
1680,2.8799654241343626e-05,0.0,0.0,0.0
1681,2.563321673473443e-05,0.0,0.0,0.0
1682,2.3404490873092853e-05,0.0,0.0,0.0
1683,1.985400558623951e-05,0.0,0.0,0.0
1684,1.9847138381529866e-05,2.9221579568781764e-08,0.0,0.0
1685,1.7352623217448127e-05,2.9221579568781764e-08,0.0,0.0
1686,1.918669269278845e-05,2.9221579568781764e-08,0.0,0.0
1687,1.8834219840105755e-05,2.9221579568781764e-08,0.0,0.0
1688,2.1963865947327577e-05,2.9221579568781764e-08,0.0,0.0
1689,2.0575320117391778e-05,2.9221579568781764e-08,0.0,0.0
1690,2.0596206143506735e-05,2.9221579568781764e-08,0.0,0.0
1691,2.302466795559407e-05,0.0,0.0,0.0
1692,2.3847202360879498e-05,0.0,0.0,0.0
1693,2.2145496456817326e-05,0.0,0.0,0.0
1694,2.1004661253495476e-05,0.0,0.0,0.0
1695,1.7367529185971114e-05,0.0,0.0,0.0
1696,1.961483914263746e-05,0.0,0.0,0.0
1697,1.9966157456760163e-05,7.347074821544603e-09,0.0,0.0
1698,2.0071880239161794e-05,1.7718345394054528e-08,0.0,0.0
1699,1.9054095966047108e-05,1.7718345394054528e-08,0.0,0.0
1700,1.9279458228993462e-05,1.7718345394054528e-08,0.0,0.0
1701,1.884036873889272e-05,1.7718345394054528e-08,0.0,0.0
1702,1.887604808611546e-05,1.7718345394054528e-08,0.0,0.0
1703,1.584186786983212e-05,1.7718345394054528e-08,0.0,0.0
1704,1.3914224447424723e-05,1.9033037241505165e-08,0.0,0.0
1705,9.83846491310812e-06,8.66176666899524e-09,0.0,0.0
1706,1.0457982365811144e-05,8.66176666899524e-09,0.0,0.0
1707,9.140231993244794e-06,8.66176666899524e-09,0.0,0.0
1708,8.152822764324291e-06,8.66176666899524e-09,0.0,0.0
1709,6.993012318292001e-06,8.66176666899524e-09,0.0,0.0
1710,8.815087117649714e-06,8.66176666899524e-09,0.0,0.0
1711,9.027458613023295e-06,0.0,0.0,0.0
1712,7.82364064174804e-06,0.0,0.0,0.0
1713,7.16145112684379e-06,0.0,0.0,0.0
1714,8.051409622567007e-06,9.571610551769742e-09,0.0,0.0
1715,9.499771944579802e-06,9.571610551769742e-09,0.0,0.0
1716,9.830045395834272e-06,9.571610551769742e-09,0.0,0.0
1717,9.908670693091284e-06,9.571610551769742e-09,0.0,0.0
1718,1.1215816877146218e-05,1.731336699403333e-08,0.0,0.0
1719,1.1121753492001776e-05,1.731336699403333e-08,0.0,0.0
1720,1.1566385377851215e-05,1.731336699403333e-08,0.0,0.0
1721,1.223451369826632e-05,7.741756442263587e-09,0.0,0.0
1722,1.3331371584562085e-05,7.741756442263587e-09,0.0,0.0
1723,1.498107712905039e-05,1.3916932622188532e-08,0.0,0.0
1724,1.3375467915466288e-05,1.3916932622188532e-08,0.0,0.0
1725,1.508705911744203e-05,6.175176179924944e-09,0.0,0.0
1726,1.6487714934295843e-05,6.175176179924944e-09,0.0,0.0
1727,1.9582591448852327e-05,6.175176179924944e-09,0.0,0.0
1728,2.0865621341467238e-05,1.2654736179586377e-08,0.0,0.0
1729,2.1395362507194348e-05,1.2654736179586377e-08,0.0,0.0
1730,2.1482523542155313e-05,6.479559999661433e-09,0.0,0.0
1731,2.2000473758713008e-05,6.479559999661433e-09,0.0,0.0
1732,1.9589483859557993e-05,6.479559999661433e-09,0.0,0.0
1733,2.120604144043422e-05,6.479559999661433e-09,0.0,0.0
1734,2.1561691807749283e-05,1.1641291613224375e-08,0.0,0.0
1735,2.0940562015831737e-05,5.161731613562941e-09,0.0,0.0
1736,1.926440017996356e-05,1.6186381758741064e-08,0.0,0.0
1737,1.890777171606065e-05,1.6186381758741064e-08,0.0,0.0
1738,1.9946012928682778e-05,1.6186381758741064e-08,0.0,0.0
1739,2.1060377548565157e-05,1.6186381758741064e-08,0.0,0.0
1740,2.314654011570383e-05,3.1160938972009585e-08,0.0,0.0
1741,2.633821480100908e-05,2.5999207358446645e-08,0.0,0.0
1742,2.7771894435448174e-05,2.5999207358446645e-08,0.0,0.0
1743,2.876071084756404e-05,1.497455721326852e-08,0.0,0.0
1744,2.836322216483365e-05,1.497455721326852e-08,0.0,0.0
1745,3.483410078583152e-05,1.497455721326852e-08,0.0,0.0
1746,3.773272952197918e-05,1.497455721326852e-08,0.0,0.0
1747,3.751501052257871e-05,0.0,0.0,0.0
1748,3.700568413478322e-05,3.639731817526938e-09,0.0,0.0
1749,4.015301081900751e-05,3.639731817526938e-09,0.0,0.0
1750,4.474249025016823e-05,6.938463264256305e-09,0.0,0.0
1751,5.366407068712371e-05,1.4076740535123072e-08,0.0,0.0
1752,5.161645302515743e-05,1.4076740535123072e-08,0.0,0.0
1753,5.677190711139701e-05,2.413544538829423e-08,0.0,0.0
1754,5.99594355402847e-05,2.413544538829423e-08,0.0,0.0
1755,6.018619751557708e-05,2.4349021338870054e-08,0.0,0.0
1756,5.855102530663966e-05,3.041996242205057e-08,0.0,0.0
1757,5.683824097754301e-05,2.71212309753212e-08,3.045123264655558e-09,0.0
1758,5.2442788728512824e-05,2.619812328979216e-08,3.045123264655558e-09,0.0
1759,5.172404780751094e-05,3.663450799860714e-08,3.045123264655558e-09,0.0
1760,4.912729231624066e-05,2.6575803145435983e-08,3.045123264655558e-09,0.0
1761,5.145478280610405e-05,2.6575803145435983e-08,3.045123264655558e-09,2.7755674584081393e-09
1762,5.179016027666096e-05,2.2722495377333222e-08,3.045123264655558e-09,2.7755674584081393e-09
1763,5.525500715261192e-05,1.6651554294152708e-08,3.045123264655558e-09,2.7755674584081393e-09
1764,6.27204478535402e-05,1.946223398314422e-08,0.0,2.7755674584081393e-09
1765,6.864584689278022e-05,1.3247064397806492e-08,0.0,2.7755674584081393e-09
1766,7.373468698850567e-05,6.211731827322962e-09,3.4010521383314493e-09,2.7755674584081393e-09
1767,7.759614943227331e-05,6.211731827322962e-09,3.4010521383314493e-09,2.7755674584081393e-09
1768,7.703371894811945e-05,1.425836946923807e-08,3.4010521383314493e-09,0.0
1769,8.254992280853912e-05,2.0350888720242566e-08,3.4010521383314493e-09,0.0
1770,8.496315941946315e-05,2.0350888720242566e-08,1.7815660058317917e-08,0.0
1771,8.722503844182938e-05,1.7540209031251053e-08,1.7815660058317917e-08,0.0
1772,8.815649822021701e-05,2.017629086026318e-08,1.7815660058317917e-08,0.0
1773,8.929950854508206e-05,2.196562043366157e-08,1.4414607919986468e-08,0.0
