ngram,luck,luk
1719,2.4424598775242756e-06,6.372022046515927e-08
1720,2.527150383814712e-06,6.372022046515927e-08
1721,2.5977083656211368e-06,5.414860991338953e-08
1722,2.699414705732904e-06,5.414860991338953e-08
1723,2.6592186129294404e-06,5.146882792977132e-08
1724,2.698643551671661e-06,5.146882792977132e-08
1725,2.7275635992347295e-06,1.2760047241044958e-08
1726,2.8781718940860756e-06,1.2562674202497095e-08
1727,2.8965129591337506e-06,1.2562674202497095e-08
1728,2.942449587603083e-06,1.9042234202158526e-08
1729,2.9824492295509638e-06,1.9042234202158526e-08
1730,2.9442354129319677e-06,1.2867058022233583e-08
1731,2.7011767705127047e-06,1.9833797588424725e-08
1732,2.51112693864083e-06,5.738494175082971e-08
1733,2.282407211038974e-06,5.802221331967823e-08
1734,2.539151068958745e-06,6.318394493324117e-08
1735,2.5255981686963684e-06,6.317131097586883e-08
1736,2.4168220988940448e-06,6.317131097586883e-08
1737,2.2184113796746326e-06,6.317131097586883e-08
1738,2.5530990147412273e-06,5.620457140967769e-08
1739,2.6109149757758132e-06,1.8653427247272703e-08
1740,2.6781262119714355e-06,1.1628657655852034e-08
1741,2.5340264885796515e-06,6.466926042289092e-09
1742,2.7402707506293415e-06,0.0
1743,2.607792842874395e-06,0.0
1744,3.215464971617621e-06,4.464060359461135e-09
1745,3.094650748737747e-06,4.464060359461135e-09
1746,3.4508374905531776e-06,1.4420014642675077e-08
1747,3.8035021816540393e-06,1.4420014642675077e-08
1748,3.659409701737916e-06,1.4420014642675077e-08
1749,3.669524354726101e-06,1.4420014642675077e-08
1750,3.946496690332424e-06,1.4420014642675077e-08
1751,3.5131874613268465e-06,9.955954283213941e-09
1752,3.877827079382509e-06,9.955954283213941e-09
1753,4.126479877543586e-06,0.0
1754,3.979715497085376e-06,0.0
1755,4.13016336356772e-06,0.0
1756,4.113747016682672e-06,4.249658656720255e-08
1757,4.257139672907735e-06,4.554170983185811e-08
1758,4.291964842195739e-06,4.864929462452697e-08
1759,4.047141633886245e-06,5.21280895274653e-08
1760,3.458539952459562e-06,5.478945652725997e-08
1761,3.479666897224628e-06,5.478945652725997e-08
1762,3.7813173808639737e-06,5.478945652725997e-08
