ngram,food,fod,fod,foodd
1804,7.164231647038832e-05,9.456668185034037e-08,9.456668185034037e-08,0.0
1805,7.043513635705625e-05,8.427757539461059e-08,8.427757539461059e-08,0.0
1806,7.020469534576737e-05,5.125033273957667e-08,5.125033273957667e-08,0.0
1807,6.945118418246108e-05,4.822047117158945e-08,4.822047117158945e-08,0.0
1808,6.726085900611776e-05,4.973482502025815e-08,4.973482502025815e-08,0.0
1809,6.315711185119913e-05,4.792696829879008e-08,4.792696829879008e-08,0.0
1810,6.297939970474025e-05,4.8498098489549845e-08,4.8498098489549845e-08,0.0
1811,5.902506226058384e-05,4.0417126407581757e-08,4.0417126407581757e-08,0.0
1812,5.7989001236689675e-05,3.989289508256531e-08,3.989289508256531e-08,2.3870825950820876e-10
1813,5.5208257046095764e-05,3.8988905310637685e-08,3.8988905310637685e-08,2.3870825950820876e-10
1814,5.586984895801704e-05,3.773068384711158e-08,3.773068384711158e-08,8.655826848930864e-10
1815,5.738464720447415e-05,3.3615399987395126e-08,3.3615399987395126e-08,8.655826848930864e-10
1816,6.076752262223246e-05,3.252463644441507e-08,3.252463644441507e-08,8.655826848930864e-10
1817,6.052929373774012e-05,2.8728068051415382e-08,2.8728068051415382e-08,8.655826848930864e-10
1818,6.064828318942871e-05,2.5925049789472203e-08,2.5925049789472203e-08,8.655826848930864e-10
1819,6.121231126599014e-05,2.3113589772297668e-08,2.3113589772297668e-08,7.771718665442303e-10
1820,6.359008174123508e-05,2.5556771175518278e-08,2.5556771175518278e-08,7.771718665442303e-10
1821,6.370141220811223e-05,2.544365404081158e-08,2.544365404081158e-08,1.5029744115935273e-10
1822,6.283461386504184e-05,2.3110514644843405e-08,2.3110514644843405e-08,1.5029744115935273e-10
1823,6.210341026806938e-05,2.188510020825366e-08,2.188510020825366e-08,1.5029744115935273e-10
1824,6.263528536822247e-05,2.2898899538453018e-08,2.2898899538453018e-08,1.5029744115935273e-10
1825,6.355393894149788e-05,2.17981203880819e-08,2.17981203880819e-08,2.7691424550216736e-10
1826,6.431120813691191e-05,2.0063853055164926e-08,2.0063853055164926e-08,2.451150473069065e-10
1827,6.448717197469835e-05,1.6891801608258968e-08,1.6891801608258968e-08,2.451150473069065e-10
1828,6.549504074168258e-05,1.801625858023824e-08,1.801625858023824e-08,2.451150473069065e-10
1829,6.585083299017112e-05,1.7769657364600074e-08,1.7769657364600074e-08,2.451150473069065e-10
1830,6.724918577154832e-05,1.8812753640621135e-08,1.8812753640621135e-08,2.451150473069065e-10
