ngram,discipline,dicipline,discpline,discipine
1901,1.8899659543032093e-05,1.4842630870402575e-08,3.583853808957522e-10,1.5268687425518124e-09
1902,1.8421653554209376e-05,1.4428714223413408e-08,5.305682837519754e-10,1.6290388086101108e-09
1903,1.786588654795196e-05,1.5292880358889046e-08,5.783857163052123e-10,1.7049327663950668e-09
1904,1.755877617272615e-05,1.3952566086621637e-08,6.494853702473538e-10,1.865224466942753e-09
1905,1.734419389062428e-05,1.4748010051286137e-08,7.270100236108793e-10,2.011899853065253e-09
1906,1.7149340107737642e-05,1.420219522937519e-08,7.371271688277098e-10,2.181207627214933e-09
1907,1.7008602818740265e-05,1.446474470360012e-08,6.760744900421603e-10,2.110862104157515e-09
1908,1.663671693157604e-05,1.4113964600223231e-08,6.31564415844364e-10,2.255157679645744e-09
1909,1.6534128527772346e-05,1.416294738630443e-08,5.558485774833802e-10,2.017570781078147e-09
1910,1.6469298965863084e-05,1.3499707003055456e-08,6.04448376271906e-10,1.9126743561986056e-09
1911,1.629630086037131e-05,1.41189135303778e-08,5.614860520974929e-10,1.8695307722550935e-09
1912,1.6017296340058757e-05,1.354882859873539e-08,4.65841099821824e-10,1.964024772181462e-09
1913,1.599626778313125e-05,1.274963766308344e-08,4.6218989746549255e-10,1.8049168231432893e-09
1914,1.608790846928189e-05,1.2979324662662099e-08,6.959863637793059e-10,1.8191964799653603e-09
1915,1.6400504136981908e-05,1.2733242270103671e-08,7.982615084818028e-10,1.9816957003942245e-09
1916,1.6626824877416118e-05,1.321815660101525e-08,9.576761090495418e-10,2.1222458711024827e-09
1917,1.6563678400416393e-05,1.2909261723085104e-08,1.0707448935435134e-09,2.1119251744242516e-09
1918,1.629548946116951e-05,1.2577823227388762e-08,1.1306796966957323e-09,2.351262105650319e-09
1919,1.603888839391792e-05,1.198521510608381e-08,1.115432143475711e-09,2.315974681873659e-09
1920,1.56632813741453e-05,1.2376200381985264e-08,1.0725383874683153e-09,2.2496195541320064e-09
1921,1.514898966498939e-05,1.2241481225519887e-08,8.656647898508396e-10,2.4824006818389778e-09
1922,1.4651064572847514e-05,1.1615606508387697e-08,7.705188748945752e-10,2.1491467811734263e-09
1923,1.4334927332778794e-05,1.2409603503523873e-08,5.146372098315969e-10,2.051686352557068e-09
1924,1.431400531665921e-05,1.2882884092846325e-08,3.051511939958626e-10,1.897989257823188e-09
1925,1.4399045280047826e-05,1.2235564942183634e-08,2.0735914572713098e-10,1.6132220004294595e-09
1926,1.4557086095529875e-05,1.2769252829717256e-08,1.9638208519674143e-10,1.2874586714189157e-09
1927,1.4723224532125251e-05,1.2282982377241427e-08,2.873355997579097e-10,1.2614773590792693e-09
1928,1.4815568257680362e-05,1.1511867395849355e-08,2.995408445092908e-10,9.81962273398957e-10
1929,1.4951831872167531e-05,1.1414608750267722e-08,3.270956442210807e-10,1.1910556509318683e-09
1930,1.4801830859921341e-05,9.176107556336482e-09,6.538243518023584e-10,1.228978831400797e-09
1931,1.4746476283887335e-05,8.09532035057308e-09,7.062903714264276e-10,1.2099917417225064e-09
1932,1.4754356795622567e-05,7.593000260288006e-09,6.602800211347975e-10,1.1940053549050082e-09
1933,1.4839038418098685e-05,6.822654758613973e-09,6.376012535407633e-10,1.1952263306065041e-09
1934,1.4801416000409517e-05,6.899542080520047e-09,7.039228684074012e-10,1.1486675658264493e-09
1935,1.4815259289337388e-05,6.914629059804968e-09,6.799390732987425e-10,1.167954130235468e-09
1936,1.4712290586820537e-05,7.255433587260995e-09,6.668939765498903e-10,1.0442647381734916e-09
1937,1.4872787687636446e-05,7.89406635297902e-09,4.5237734986563234e-10,1.0427822890893675e-09
1938,1.4884486128201907e-05,7.924048528451522e-09,5.739293365955181e-10,1.159853514818922e-09
1939,1.51888313796787e-05,7.75253505835849e-09,6.23717387261889e-10,1.0989300104822875e-09
1940,1.5496564239063965e-05,8.597705531648053e-09,6.263434909614674e-10,9.830942171440427e-10
1941,1.6006252865606386e-05,8.560097519705323e-09,6.069612173975614e-10,1.1138512810506184e-09
1942,1.6491932780939222e-05,8.874110842985568e-09,7.119648303450482e-10,1.2545058008279447e-09
1943,1.6971419427136425e-05,8.415249132452475e-09,8.207791371165182e-10,1.1743673176768864e-09
1944,1.7156883067010703e-05,7.789614413817553e-09,8.223949874272155e-10,1.1725120636312575e-09
1945,1.7314698457734528e-05,7.802559614284682e-09,7.609935003578222e-10,1.0893583257676198e-09
1946,1.7186808690894395e-05,7.808461940531482e-09,9.263307957997822e-10,1.1053314692104671e-09
1947,1.699552220608374e-05,7.414107677001474e-09,1.0826642756914647e-09,1.287458211469377e-09
1948,1.6599297720988814e-05,7.58298630237115e-09,1.2183714196264565e-09,1.2891296522329502e-09
1949,1.6348093725225355e-05,7.1167751691803005e-09,1.1199416275317224e-09,1.2362212444193078e-09
1950,1.622970531960683e-05,7.323387229973832e-09,1.0667548550851486e-09,1.5259673445479548e-09
1951,1.6271708903202254e-05,7.512677400813215e-09,1.0522215123019508e-09,1.57520817025057e-09
1952,1.6311416922170402e-05,7.54995323402698e-09,1.0337086861092866e-09,1.6821669454206552e-09
1953,1.649773106951865e-05,7.961997727790049e-09,9.284079973058214e-10,1.8278940266165072e-09
1954,1.6676760943872588e-05,8.091076316877173e-09,8.188610385000722e-10,2.0957619290789306e-09
1955,1.703955552199789e-05,7.501694630564413e-09,7.916633182336597e-10,2.1053699577373256e-09
1956,1.7165910061781426e-05,7.481495486619646e-09,9.291969098918734e-10,2.2883300175381903e-09
1957,1.743153136755739e-05,7.299460274318952e-09,1.1166064898101728e-09,2.090541438372538e-09
1958,1.773144088344582e-05,7.46042256543384e-09,1.2434462507268255e-09,2.098930283546606e-09
1959,1.8178908638739294e-05,7.776164664566717e-09,1.3187516475657697e-09,2.1617034511629232e-09
1960,1.8454899223537984e-05,7.690791812921458e-09,1.378332765383001e-09,2.1078989982064353e-09
1961,1.882318221240504e-05,7.458057980715336e-09,1.5646310596346374e-09,1.8267378879396494e-09
1962,1.9122503155293608e-05,8.023059169407328e-09,1.6038779352253334e-09,1.962093091175835e-09
1963,1.9578203396771903e-05,8.297684571191764e-09,1.6926338426109006e-09,1.9046878994645665e-09
1964,1.9922845240216702e-05,8.651177932758206e-09,1.7734967780061846e-09,1.932356401874407e-09
1965,2.0433469347023803e-05,9.096209246146308e-09,1.8382601155561166e-09,1.988749752181361e-09
1966,2.085665983031504e-05,9.373946951996004e-09,2.082125392734367e-09,1.9614003595894556e-09
1967,2.134310307155829e-05,9.643863485564452e-09,2.14268127050689e-09,1.955071453935935e-09
1968,2.1688698845017435e-05,1.0077977817348125e-08,2.176069055107429e-09,2.0342210772992887e-09
1969,2.1896313877992464e-05,9.996684115419287e-09,2.240518453306655e-09,1.8285417783100603e-09
1970,2.196152334883144e-05,1.0115707255969092e-08,2.4016859136364944e-09,1.7011445268317565e-09
1971,2.1896906348826762e-05,1.0181080359724807e-08,2.3819604859960056e-09,1.6909213553160741e-09
1972,2.16678755740369e-05,1.0047462163851963e-08,2.5084441666680034e-09,1.5919216421268955e-09
1973,2.1442033227815826e-05,9.89714925887191e-09,2.5573992288942448e-09,1.7743897145245618e-09
1974,2.1235742159270948e-05,9.866378951934557e-09,2.8407302542023315e-09,1.7018007320806256e-09
1975,2.1050773284514435e-05,9.606533854114981e-09,3.0107059068029685e-09,1.8106355779780513e-09
1976,2.090076044883712e-05,9.553781258172681e-09,2.9740281665929e-09,1.9624724543833493e-09
1977,2.1007301516614723e-05,9.541458163247235e-09,2.993058150530763e-09,2.1124496437810845e-09
1978,2.1138935283358607e-05,9.427017388929926e-09,3.058547447056169e-09,2.244550085477621e-09
1979,2.1346676866025e-05,9.418023059838885e-09,3.071934230801178e-09,2.6006449692163513e-09
1980,2.1414821406194407e-05,9.334660536605303e-09,3.1034249138782245e-09,2.4531404526787324e-09
1981,2.160342566120172e-05,9.314801247788701e-09,3.299703494568413e-09,2.7209472770144724e-09
1982,2.1918333264433647e-05,9.255432357032793e-09,3.2006252251700775e-09,2.801407486937738e-09
1983,2.2184250805626755e-05,9.454112667331823e-09,3.331354747615478e-09,3.043174569482078e-09
1984,2.2274626254719415e-05,9.28041897298369e-09,3.520701539829117e-09,3.0267881534484786e-09
1985,2.2449309004254508e-05,8.9334317086655e-09,3.48609944086523e-09,3.1342627540961334e-09
1986,2.256354335778659e-05,8.540865031087769e-09,3.4905702455440793e-09,2.9895901627290708e-09
1987,2.2805266001211877e-05,8.126668734779026e-09,3.4315355319185822e-09,3.3148745653172843e-09
