ngram,nail,naill,naill,naill
1859,4.832997936838572e-06,4.120624730319378e-09,4.120624730319378e-09,4.120624730319378e-09
1860,4.850823513282064e-06,3.254640747383876e-09,3.254640747383876e-09,3.254640747383876e-09
1861,4.787761359433976e-06,3.020085895652106e-09,3.020085895652106e-09,3.020085895652106e-09
1862,4.689383526316046e-06,3.531199903911946e-09,3.531199903911946e-09,3.531199903911946e-09
1863,4.689531903880249e-06,2.970786569126257e-09,2.970786569126257e-09,2.970786569126257e-09
1864,4.703532210571991e-06,2.72076348752291e-09,2.72076348752291e-09,2.72076348752291e-09
1865,4.789163995155832e-06,2.631220384431897e-09,2.631220384431897e-09,2.631220384431897e-09
1866,4.858686030014983e-06,2.857448880685557e-09,2.857448880685557e-09,2.857448880685557e-09
1867,4.877418697495679e-06,2.829530324329913e-09,2.829530324329913e-09,2.829530324329913e-09
1868,4.935670598829997e-06,2.973752165148978e-09,2.973752165148978e-09,2.973752165148978e-09
1869,5.041537276286233e-06,3.3343659262235245e-09,3.3343659262235245e-09,3.3343659262235245e-09
1870,5.206621738450069e-06,3.5915111836918155e-09,3.5915111836918155e-09,3.5915111836918155e-09
1871,5.207040430832421e-06,3.4922635894218956e-09,3.4922635894218956e-09,3.4922635894218956e-09
1872,5.226242332615324e-06,3.3743369368518674e-09,3.3743369368518674e-09,3.3743369368518674e-09
1873,5.298625572842346e-06,3.74066279538811e-09,3.74066279538811e-09,3.74066279538811e-09
1874,5.336287878370578e-06,4.00148907659619e-09,4.00148907659619e-09,4.00148907659619e-09
1875,5.353879389856177e-06,4.088957490060758e-09,4.088957490060758e-09,4.088957490060758e-09
1876,5.353584128897637e-06,3.5580402751073895e-09,3.5580402751073895e-09,3.5580402751073895e-09
1877,5.2247790206040785e-06,3.595859927279272e-09,3.595859927279272e-09,3.595859927279272e-09
1878,5.2458222593746285e-06,3.6703903725866992e-09,3.6703903725866992e-09,3.6703903725866992e-09
1879,5.231905821087171e-06,3.546221665524334e-09,3.546221665524334e-09,3.546221665524334e-09
1880,5.2297959233068724e-06,2.9778872066645233e-09,2.9778872066645233e-09,2.9778872066645233e-09
1881,5.342551113634337e-06,2.721957817871815e-09,2.721957817871815e-09,2.721957817871815e-09
1882,5.473576818206181e-06,2.6449033280988895e-09,2.6449033280988895e-09,2.6449033280988895e-09
1883,5.541880000237143e-06,2.499936432468327e-09,2.499936432468327e-09,2.499936432468327e-09
1884,5.723464060533193e-06,2.29795904527208e-09,2.29795904527208e-09,2.29795904527208e-09
1885,5.861313833780254e-06,2.450262358090681e-09,2.450262358090681e-09,2.450262358090681e-09
1886,5.955337266121725e-06,3.033524114443813e-09,3.033524114443813e-09,3.033524114443813e-09
1887,6.012573261874163e-06,2.8704610910423867e-09,2.8704610910423867e-09,2.8704610910423867e-09
1888,5.951326329522999e-06,2.9465331761814794e-09,2.9465331761814794e-09,2.9465331761814794e-09
1889,5.919109558557725e-06,3.0411716954249967e-09,3.0411716954249967e-09,3.0411716954249967e-09
1890,5.928238806518493e-06,3.5984676191195118e-09,3.5984676191195118e-09,3.5984676191195118e-09
1891,5.85699711207001e-06,3.888256351812304e-09,3.888256351812304e-09,3.888256351812304e-09
1892,5.811207366995015e-06,4.819938575246445e-09,4.819938575246445e-09,4.819938575246445e-09
1893,5.8399226483223695e-06,4.4073902622748e-09,4.4073902622748e-09,4.4073902622748e-09
1894,5.9713924461643075e-06,4.462504175707847e-09,4.462504175707847e-09,4.462504175707847e-09
1895,6.111169438684426e-06,4.504212241280519e-09,4.504212241280519e-09,4.504212241280519e-09
1896,6.182721400754028e-06,7.011922280903653e-09,7.011922280903653e-09,7.011922280903653e-09
1897,6.23789713115132e-06,6.287045011583408e-09,6.287045011583408e-09,6.287045011583408e-09
1898,6.314759178037223e-06,5.858714275624217e-09,5.858714275624217e-09,5.858714275624217e-09
1899,6.3085131582088905e-06,4.976648680456362e-09,4.976648680456362e-09,4.976648680456362e-09
1900,6.2221195418844995e-06,5.392786376187278e-09,5.392786376187278e-09,5.392786376187278e-09
1901,6.003792155492452e-06,5.411782260417957e-09,5.411782260417957e-09,5.411782260417957e-09
1902,5.939659136596934e-06,5.572373356394727e-09,5.572373356394727e-09,5.572373356394727e-09
1903,5.761222382716369e-06,3.1400424800003587e-09,3.1400424800003587e-09,3.1400424800003587e-09
1904,5.607916721471286e-06,3.667693196770675e-09,3.667693196770675e-09,3.667693196770675e-09
1905,5.428527401818428e-06,3.943216388334138e-09,3.943216388334138e-09,3.943216388334138e-09
1906,5.360824616218451e-06,3.7610621284045465e-09,3.7610621284045465e-09,3.7610621284045465e-09
1907,5.310767067255386e-06,3.369319521797008e-09,3.369319521797008e-09,3.369319521797008e-09
1908,5.408117366252034e-06,3.650935173230404e-09,3.650935173230404e-09,3.650935173230404e-09
1909,5.347701257310941e-06,3.785531190102022e-09,3.785531190102022e-09,3.785531190102022e-09
1910,5.367277611055345e-06,3.553121622320735e-09,3.553121622320735e-09,3.553121622320735e-09
1911,5.570337569744359e-06,3.426776465761553e-09,3.426776465761553e-09,3.426776465761553e-09
1912,5.7084259554228216e-06,3.165338832314798e-09,3.165338832314798e-09,3.165338832314798e-09
1913,5.86948239548032e-06,3.1181801109424002e-09,3.1181801109424002e-09,3.1181801109424002e-09
1914,5.881973135858841e-06,2.956388197742196e-09,2.956388197742196e-09,2.956388197742196e-09
1915,5.8024667980914406e-06,2.8811431494548044e-09,2.8811431494548044e-09,2.8811431494548044e-09
1916,5.65365845821881e-06,2.457942785813064e-09,2.457942785813064e-09,2.457942785813064e-09
1917,5.578317801077251e-06,2.489519289129914e-09,2.489519289129914e-09,2.489519289129914e-09
1918,5.324705528307407e-06,2.1900509659746247e-09,2.1900509659746247e-09,2.1900509659746247e-09
1919,5.144809360250033e-06,2.157263891332052e-09,2.157263891332052e-09,2.157263891332052e-09
1920,4.905088449699438e-06,2.110341139933374e-09,2.110341139933374e-09,2.110341139933374e-09
1921,4.877949777437607e-06,2.479194817693399e-09,2.479194817693399e-09,2.479194817693399e-09
1922,4.776873993250774e-06,2.2985748542631815e-09,2.2985748542631815e-09,2.2985748542631815e-09
1923,4.794993401446845e-06,2.2351694463549977e-09,2.2351694463549977e-09,2.2351694463549977e-09
