ngram,structure,strcture,strucure,sturcture
1749,1.0787633852617415e-05,0.0,0.0,0.0
1750,1.3062623306073615e-05,0.0,3.298731446729367e-09,0.0
1751,1.3669070930128718e-05,0.0,3.298731446729367e-09,0.0
1752,1.0459377725575386e-05,0.0,3.298731446729367e-09,0.0
1753,1.1419178268364963e-05,0.0,3.298731446729367e-09,0.0
1754,1.2040739680482407e-05,0.0,3.298731446729367e-09,0.0
1755,1.2706996390729078e-05,0.0,3.298731446729367e-09,0.0
1756,1.4150416583496345e-05,0.0,3.298731446729367e-09,0.0
1757,1.4447193020064983e-05,0.0,0.0,0.0
1758,1.5240294227883819e-05,0.0,0.0,0.0
1759,1.4759346413484309e-05,0.0,0.0,0.0
1760,1.348287638133375e-05,0.0,0.0,0.0
1761,1.490106524215662e-05,0.0,0.0,0.0
1762,1.4755700184260994e-05,0.0,0.0,0.0
1763,1.34693657076111e-05,0.0,0.0,0.0
1764,1.3332352929345298e-05,0.0,0.0,0.0
1765,1.3342578248349518e-05,0.0,0.0,0.0
1766,1.5536488522879415e-05,0.0,0.0,0.0
1767,1.6963273862659533e-05,0.0,0.0,0.0
1768,1.6383404727093875e-05,0.0,0.0,0.0
1769,1.6281617198339e-05,0.0,0.0,0.0
1770,1.7269076904215452e-05,0.0,0.0,0.0
1771,1.7687609475355464e-05,0.0,0.0,0.0
1772,1.8907486134724293e-05,0.0,0.0,0.0
1773,1.90722262881796e-05,0.0,0.0,0.0
1774,1.883913656846354e-05,0.0,0.0,0.0
1775,1.8208917806207736e-05,0.0,0.0,0.0
1776,1.947072373046207e-05,0.0,0.0,0.0
1777,1.890442269671309e-05,0.0,0.0,0.0
1778,1.7756367274809497e-05,0.0,0.0,0.0
1779,1.632265320949955e-05,0.0,0.0,0.0
1780,1.5937597059486768e-05,0.0,0.0,0.0
1781,1.592198805155931e-05,0.0,0.0,0.0
1782,1.7170610720183633e-05,0.0,0.0,0.0
1783,1.680426053748566e-05,0.0,0.0,0.0
1784,1.7533800278865135e-05,0.0,0.0,0.0
1785,1.84754497760358e-05,0.0,0.0,0.0
1786,1.9082732251263224e-05,0.0,0.0,0.0
1787,1.9013984066467466e-05,0.0,1.2891416188511228e-09,0.0
1788,1.9573856531808686e-05,0.0,1.2891416188511228e-09,0.0
1789,1.8717024951391587e-05,0.0,1.2891416188511228e-09,0.0
1790,1.900585448311176e-05,0.0,1.2891416188511228e-09,0.0
1791,1.940934609072948e-05,0.0,1.2891416188511228e-09,0.0
1792,1.8868999177357182e-05,0.0,1.2891416188511228e-09,0.0
1793,1.9090900033396402e-05,0.0,1.2891416188511228e-09,0.0
1794,1.876728388846719e-05,0.0,0.0,0.0
1795,1.9033450891064213e-05,0.0,0.0,0.0
1796,1.9586114181687924e-05,0.0,0.0,0.0
1797,2.061486962442619e-05,0.0,0.0,0.0
1798,2.1436205445622492e-05,0.0,5.786566781296187e-10,0.0
1799,2.2713301794803037e-05,0.0,5.786566781296187e-10,0.0
1800,2.3637384271881145e-05,0.0,5.786566781296187e-10,0.0
1801,2.44606526393909e-05,0.0,5.786566781296187e-10,0.0
1802,2.5476622145756016e-05,0.0,5.786566781296187e-10,0.0
1803,2.6196464334913928e-05,0.0,5.786566781296187e-10,0.0
1804,2.6346685834661393e-05,0.0,1.1888117791767984e-09,0.0
1805,2.6291260707824093e-05,0.0,6.101551010471797e-10,0.0
1806,2.729016185704885e-05,0.0,1.902905642582807e-09,0.0
1807,2.7518393575779294e-05,0.0,2.112126870227168e-09,0.0
1808,2.7311046713813475e-05,0.0,2.58285324873851e-09,0.0
1809,2.5703317598007353e-05,0.0,3.1256277090361907e-09,0.0
1810,2.601945561764296e-05,0.0,3.779440649331889e-09,0.0
1811,2.6331584584633155e-05,0.0,3.8724373707665904e-09,0.0
1812,2.7315208821424415e-05,0.0,3.8724373707665904e-09,0.0
1813,2.6107385305554738e-05,0.0,2.7736662331991268e-09,0.0
1814,2.6368115348824566e-05,0.0,2.9823612785711315e-09,0.0
1815,2.784506718204024e-05,0.0,2.5116349000597893e-09,0.0
1816,3.096931193015605e-05,0.0,2.3492058774467394e-09,0.0
1817,3.103797384288295e-05,0.0,1.6953929371510412e-09,0.0
1818,3.1036024925664864e-05,0.0,9.9224111466916e-10,0.0
1819,3.1878006536447045e-05,0.0,9.9224111466916e-10,0.0
1820,3.2657088533077126e-05,0.0,9.456586466275292e-10,0.0
1821,3.3127987470444555e-05,0.0,6.562966281542515e-10,0.0
1822,3.23454008009451e-05,0.0,7.810655297138932e-10,0.0
1823,3.1809478189513485e-05,0.0,6.816456288305517e-10,0.0
1824,3.243248751719615e-05,0.0,6.816456288305517e-10,0.0
1825,3.3004162885065724e-05,0.0,8.082624331733663e-10,1.266168043428146e-10
1826,3.36823829586917e-05,0.0,8.082624331733663e-10,1.266168043428146e-10
1827,3.4473376217647456e-05,0.0,7.654361033893053e-10,1.266168043428146e-10
1828,3.554661842437261e-05,0.0,7.472111580269264e-10,1.266168043428146e-10
1829,3.711572104033881e-05,7.027427845989515e-11,1.1846364841464459e-09,4.077139181823952e-10
1830,3.831895862406652e-05,7.027427845989515e-11,9.990154893811466e-10,1.1701502544703146e-09
1831,4.025870917498001e-05,1.6316893867797588e-10,1.184804809817308e-09,1.1701502544703146e-09
1832,4.2323403509466774e-05,1.6316893867797588e-10,1.4839353158966973e-09,1.0435334501275e-09
1833,4.317394424495953e-05,2.4564720099310277e-10,1.813848365157205e-09,1.0435334501275e-09
1834,4.419324925817948e-05,2.4564720099310277e-10,2.0415185335893274e-09,1.0435334501275e-09
1835,4.5164793846197426e-05,2.4564720099310277e-10,2.433889645381271e-09,1.0435334501275e-09
1836,4.610887169422183e-05,1.7537292253320758e-10,2.247001299312704e-09,7.624363362879194e-10
1837,4.5823880749854394e-05,1.7537292253320758e-10,3.0809936506821192e-09,0.0
1838,4.5539506183039134e-05,8.247826231512688e-11,3.2768330588644243e-09,0.0
1839,4.593449193635024e-05,8.247826231512688e-11,3.457337241893502e-09,1.5156287336282048e-10
1840,4.473325991836775e-05,0.0,3.656525970896496e-09,1.5156287336282048e-10
1841,4.4088255630673044e-05,0.0,3.464240418336674e-09,1.5156287336282048e-10
1842,4.3758812223261755e-05,0.0,3.1439863093904054e-09,1.5156287336282048e-10
1843,4.2926843369579206e-05,6.557452993303871e-11,2.9654040175789274e-09,1.5156287336282048e-10
1844,4.3127330302793e-05,6.557452993303871e-11,2.3032385522623956e-09,7.526085627722929e-10
1845,4.3119249312439933e-05,6.557452993303871e-11,2.188564884875177e-09,7.526085627722929e-10
1846,4.21133305020963e-05,6.557452993303871e-11,1.7779748942966682e-09,6.010456894094724e-10
1847,4.224617649534983e-05,1.261799950239403e-10,1.4912949763967731e-09,6.010456894094724e-10
1848,4.3226587877143174e-05,1.8086767004734027e-10,1.5700904544756001e-09,6.010456894094724e-10
1849,4.327181315082791e-05,1.8086767004734027e-10,1.763820883000327e-09,6.010456894094724e-10
1850,4.326941104539271e-05,1.1529314011430155e-10,1.8519167627977546e-09,7.434554242077443e-10
1851,4.3482498378060495e-05,1.1529314011430155e-10,1.8169283062212977e-09,1.424097347982719e-10
1852,4.354129539154071e-05,2.6697785252391016e-10,1.600534815793253e-09,1.424097347982719e-10
1853,4.3850790721730194e-05,2.6697785252391016e-10,1.7426887076256646e-09,1.906690757661319e-10
1854,4.409205160170261e-05,2.063723874330086e-10,1.8537798756363649e-09,1.906690757661319e-10
1855,4.397890942137954e-05,1.5168471240960864e-10,1.8450361714629692e-09,1.906690757661319e-10
1856,4.447886801374677e-05,3.007811301612508e-10,1.617955848663501e-09,1.906690757661319e-10
1857,4.48936277410082e-05,3.970495836875492e-10,1.3812706058301062e-09,4.825934096786e-11
1858,4.4705181478223365e-05,5.698601273402509e-10,1.321938177970391e-09,4.825934096786e-11
1859,4.496278883639856e-05,4.791048034493071e-10,1.2713766071671883e-09,4.825934096786e-11
1860,4.4788944381122876e-05,4.791048034493071e-10,1.1775420479967887e-09,0.0
1861,4.446830904011482e-05,4.791048034493071e-10,1.4453825279505038e-09,0.0
1862,4.377927065693906e-05,4.791048034493071e-10,1.458248617096964e-09,0.0
1863,4.312792225391604e-05,3.30008385697665e-10,1.309152199345322e-09,4.7737881108440257e-11
1864,4.3415512274285515e-05,2.3373993217136654e-10,1.6377789442094987e-09,9.4833002561856e-11
1865,4.372336739574426e-05,6.09293885186649e-11,1.597648053535445e-09,9.4833002561856e-11
1866,4.3909214582527056e-05,1.3271885971174616e-10,1.7303669132471912e-09,9.4833002561856e-11
1867,4.375582700179491e-05,1.3271885971174616e-10,1.7888732875955986e-09,9.4833002561856e-11
1868,4.44243690123715e-05,1.3271885971174616e-10,1.5260133632923255e-09,1.396447005649496e-10
1869,4.5171281401832986e-05,1.3271885971174616e-10,1.5010697129724804e-09,1.396447005649496e-10
1870,4.6245124914483835e-05,1.3271885971174616e-10,2.134616642176671e-09,9.190681945650932e-11
1871,4.672097773956401e-05,3.3559917543359216e-10,2.1636163019930368e-09,1.259638227057991e-10
1872,4.715692609482046e-05,3.3559917543359216e-10,2.1947434901216566e-09,1.66915532982616e-10
1873,4.7440438980369694e-05,2.0288031572184602e-10,2.21805964071921e-09,1.66915532982616e-10
1874,4.795471977558918e-05,2.4262103040914186e-10,2.0347945709328232e-09,2.861376730794214e-10
1875,4.822325614181214e-05,2.4262103040914186e-10,1.9972212296691184e-09,2.4132597507632777e-10
1876,4.841728358379831e-05,2.4262103040914186e-10,1.9909517209474157e-09,3.946539127243552e-10
1877,4.827896710984143e-05,2.775727029177436e-10,1.497211481777632e-09,4.296055852329569e-10
1878,4.846465474526797e-05,7.469238719589758e-11,1.4543044387796807e-09,4.2102417980543246e-10
1879,4.848242731116313e-05,7.469238719589758e-11,1.4650666711548054e-09,3.800724695286155e-10
1880,4.8918590307169196e-05,2.3912580645760583e-10,1.8681052736470504e-09,4.1295915298444896e-10
1881,4.9238312515496674e-05,1.9938509177030994e-10,1.9382767137342073e-09,3.253026082632766e-10
1882,4.957114651915617e-05,2.317946707590985e-10,1.9738618358847557e-09,3.253026082632766e-10
1883,4.9803666895188924e-05,2.960399266996713e-10,1.8785697917879573e-09,1.7197467061524918e-10
1884,4.958263525622897e-05,2.610882541910696e-10,2.013361255492896e-09,1.6753390539937995e-10
1885,4.9594266913897756e-05,3.481580896596321e-10,1.7956240621381475e-09,1.2398646395287268e-10
1886,4.9907048898083826e-05,3.481580896596321e-10,1.7865866881144094e-09,1.2398646395287268e-10
1887,4.992528712526629e-05,2.389926074502264e-10,1.4762187979958492e-09,1.1873374902319052e-10
1888,5.0616883007543425e-05,5.090210197788991e-10,1.772876385380024e-09,3.5719656597623025e-10
1889,5.083434163160356e-05,5.289532304228065e-10,1.704250867413342e-09,4.6188014524162213e-10
1890,5.1124887249898165e-05,5.911864212456866e-10,1.936726953414133e-09,4.871758353873292e-10
1891,5.16927035018203e-05,6.167914730546644e-10,1.9949944712089565e-09,4.822699799035744e-10
1892,5.2144636616243846e-05,5.297216375861019e-10,2.1195370696653573e-09,4.757182842096697e-10
1893,5.244380736257881e-05,5.527833111886236e-10,2.3921771547768297e-09,4.757182842096697e-10
1894,5.220944149186835e-05,5.637906927028321e-10,2.607398677919751e-09,4.922678613945258e-10
1895,5.1729697588598356e-05,3.5727590330658643e-10,2.5871140785227453e-09,2.2223944906585302e-10
1896,5.093697992768804e-05,3.2431453950947693e-10,2.5899406111814673e-09,2.532188427194017e-10
1897,5.100964075869082e-05,1.97836092746024e-10,2.9298598467976588e-09,2.650766630006375e-10
1898,5.0681208709387905e-05,1.9026920911840202e-10,3.2283300477331522e-09,2.5750977937301553e-10
1899,5.0334309240237675e-05,2.44910928838747e-10,3.5597299393888957e-09,3.2610773010548806e-10
1900,5.027830099736873e-05,2.2184925523622516e-10,3.84438236800122e-09,3.9839014825166734e-10
1901,5.0419030490697227e-05,2.2412068431279915e-10,3.894555725533369e-09,4.2275335018374504e-10
