ngram,politics,poltics,politcs,politis
1752,8.278874442372139e-06,0.0,0.0,1.0707416160065414e-08
1753,9.374508051353456e-06,0.0,0.0,1.0707416160065414e-08
1754,1.1306079613859765e-05,0.0,0.0,1.0707416160065414e-08
1755,1.2340554154174502e-05,0.0,0.0,1.0707416160065414e-08
1756,1.1872004311693932e-05,0.0,0.0,1.0707416160065414e-08
1757,1.2029170323200691e-05,0.0,0.0,1.0707416160065414e-08
1758,1.3883342619789931e-05,0.0,0.0,3.1075847926688637e-09
1759,1.4841466768952419e-05,0.0,0.0,3.1075847926688637e-09
1760,1.510779280319444e-05,0.0,0.0,3.1075847926688637e-09
1761,1.4774017992229866e-05,0.0,0.0,3.1075847926688637e-09
1762,1.4542848865468322e-05,0.0,0.0,3.1075847926688637e-09
1763,1.5430926266292643e-05,0.0,0.0,3.1075847926688637e-09
1764,1.5521420599335605e-05,0.0,0.0,3.1075847926688637e-09
1765,1.4384017699090432e-05,0.0,0.0,2.9474084125727782e-09
1766,1.4349285525635683e-05,0.0,3.4010521383314493e-09,2.9474084125727782e-09
1767,1.4788419451048998e-05,0.0,3.4010521383314493e-09,2.9474084125727782e-09
1768,1.4802578854349641e-05,0.0,3.4010521383314493e-09,8.31183350718285e-09
1769,1.5137493781886796e-05,0.0,3.4010521383314493e-09,8.31183350718285e-09
1770,1.4075944818614516e-05,0.0,3.4010521383314493e-09,8.31183350718285e-09
1771,1.4720752525525832e-05,0.0,3.4010521383314493e-09,1.620976470511388e-08
1772,1.5041454649430566e-05,0.0,3.4010521383314493e-09,1.5898438121553227e-08
1773,1.555163622210135e-05,0.0,0.0,1.5898438121553227e-08
1774,1.5566204768089976e-05,0.0,0.0,1.5898438121553227e-08
1775,1.6259599111175964e-05,0.0,0.0,1.0534013026943155e-08
1776,1.675045392143407e-05,0.0,0.0,1.0534013026943155e-08
1777,1.77950641955249e-05,0.0,0.0,1.0534013026943155e-08
1778,1.6754840544308536e-05,0.0,0.0,2.6360818290121254e-09
1779,1.7004097181987682e-05,2.5616857206906776e-09,0.0,0.0
1780,1.675193665765359e-05,2.5616857206906776e-09,0.0,0.0
1781,1.7724655793114963e-05,2.5616857206906776e-09,0.0,3.825033750055289e-09
1782,1.7281634947201902e-05,2.5616857206906776e-09,0.0,3.825033750055289e-09
1783,1.7337926692562178e-05,2.5616857206906776e-09,0.0,3.825033750055289e-09
1784,1.6978114477491806e-05,2.5616857206906776e-09,0.0,3.825033750055289e-09
1785,1.7495714148805875e-05,2.5616857206906776e-09,0.0,5.443156148032813e-09
1786,1.7932402832749566e-05,0.0,0.0,5.443156148032813e-09
1787,1.7977572757185305e-05,0.0,1.2891416188511228e-09,5.443156148032813e-09
