ngram,paper,pper,papr,papper
1833,0.00010968760865840263,7.350461775753761e-08,2.0166470398359185e-09,2.066506235972757e-09
1834,0.0001161559734360448,7.711816607525179e-08,1.8475451961969774e-09,1.961935629830285e-09
1835,0.00011823567911051214,8.213433691902797e-08,1.710669978687613e-09,1.4940724927089581e-09
1836,0.00011838783185729491,8.042475079556815e-08,1.7905180592160873e-09,1.944439569674066e-09
1837,0.00011937261505019186,8.197430340877482e-08,1.9096746168527953e-09,1.7419562062645104e-09
1838,0.00011904436022242797,8.032501901717686e-08,1.7836421149576763e-09,1.0751246718295908e-09
1839,0.00012106982363288157,8.358513728775766e-08,1.6610205512611132e-09,1.0751246718295908e-09
1840,0.00012272910160910605,8.319687643571732e-08,1.324215189882746e-09,1.528640468175167e-09
1841,0.00011732377398792388,8.426969141542681e-08,1.3549450529813457e-09,1.528640468175167e-09
1842,0.00011443894930250411,8.263278366322474e-08,1.818500588208443e-09,1.6273033793494968e-09
1843,0.00011320952346847792,8.34496388181703e-08,1.9962508788852672e-09,1.8982561316478144e-09
1844,0.00011194692654368867,8.404619628825977e-08,1.8200509512210162e-09,1.5671733989895488e-09
1845,0.00011049802664534322,8.547791553935116e-08,2.001093291070788e-09,2.1582353206182704e-09
1846,0.00010812809133702623,8.566899875209596e-08,1.8936290472179198e-09,2.7452198133762604e-09
1847,0.00010675370763887518,8.363848483635853e-08,3.514996135426226e-09,2.2917040170306838e-09
1848,0.00010773384149485667,8.126498382158129e-08,3.617899408630316e-09,2.619830051310755e-09
1849,0.00011021273322902354,8.079454667202818e-08,3.2855186190719874e-09,2.867300032326016e-09
1850,0.00011221083696000278,7.814840736435664e-08,3.432345043106823e-09,2.1459802030625904e-09
1851,0.00011351515422575176,7.99117338650441e-08,3.4844937094443853e-09,2.3838432497821518e-09
1852,0.00011583041590971075,7.93176135565383e-08,3.4541692997943787e-09,2.0703865606057955e-09
1853,0.00011902925117673086,8.048659339010555e-08,3.8376199202565834e-09,1.7729581295152945e-09
1854,0.00012162260619723903,8.522306720643818e-08,2.696187321024216e-09,1.8234599901451836e-09
1855,0.0001247176551260054,9.07163938888646e-08,6.198503028314357e-09,1.7053409517853169e-09
1856,0.00012730652919604575,9.441467544287921e-08,6.1326412995451764e-09,1.4742198771257519e-09
1857,0.00013137198194661842,9.6993083786856e-08,5.946747586424042e-09,1.4742198771257519e-09
1858,0.00013463232192277377,1.1759055748175992e-07,6.164257802611571e-09,1.3332051692785792e-09
1859,0.00013722805098430918,1.1736811497290286e-07,6.2873940974230075e-09,2.6852970680391053e-09
1860,0.00013967787422838489,1.1509135435159936e-07,6.013258018506511e-09,2.8227074685574902e-09
1861,0.00014312928085148866,1.1275204059302268e-07,6.474497826758352e-09,4.410319379540997e-09
1862,0.00014357916786268885,1.1136614221283838e-07,3.202269370307574e-09,5.2589595218271205e-09
1863,0.00014457130912757878,1.0973743716899012e-07,3.387338124280096e-09,5.060164303445041e-09
1864,0.00014363434248869971,1.12363971587521e-07,3.5223888567819425e-09,5.2014496678052885e-09
1865,0.00014352585172413716,9.324839161146364e-08,3.5172032270785233e-09,5.324848022831523e-09
1866,0.00014404720734871392,9.144796462935898e-08,3.400374838845112e-09,3.9727421035402295e-09
1867,0.00014435098897333125,9.291152533056188e-08,3.4843109032932163e-09,3.891475300729244e-09
1868,0.00014426583324425986,9.098241398370582e-08,2.7812325141342497e-09,2.9255369872670046e-09
1869,0.00014740341950008378,8.661053791619061e-08,2.7621198661620383e-09,3.569082902237548e-09
1870,0.00014846204222911702,8.705152712959066e-08,2.7658463773251795e-09,3.949211053415931e-09
1871,0.0001522625971119851,8.344522939296439e-08,3.0723593827782938e-09,5.309239936579502e-09
1872,0.00015443262236658484,8.146194017756767e-08,3.0838375345406834e-09,6.020172011694009e-09
1873,0.00015734731070032076,8.438330618381379e-08,3.2422652499316686e-09,5.939316308608714e-09
1874,0.00016115453036036342,8.51077339396917e-08,3.2905010145205846e-09,6.269208802882937e-09
1875,0.00016442640376875976,8.857066546852366e-08,3.6988896707461957e-09,5.797608488527268e-09
1876,0.00016615110923469598,9.217905220079306e-08,3.60341715196658e-09,4.3254073338922745e-09
1877,0.00016794766997918487,9.92222522557183e-08,3.929607274498283e-09,5.063732702989146e-09
1878,0.0001680040919122153,1.0167550661727936e-07,3.380664970187297e-09,4.796120738654557e-09
1879,0.00017029992263165435,1.0432838187008591e-07,3.7741655673733425e-09,5.511980744848139e-09
1880,0.00017111916427633593,1.0508737753005854e-07,3.898020842615527e-09,5.929539811536497e-09
1881,0.00017255018922566836,1.0670362980493207e-07,3.839660129527951e-09,5.790562791168392e-09
1882,0.00017251156220611717,1.0673253569848384e-07,3.6037332959030064e-09,6.594684607920596e-09
1883,0.00017352083107523088,1.0701216979214223e-07,3.619379542106417e-09,7.071390520759938e-09
1884,0.00017604407496816878,1.0181201405755149e-07,3.4739831487686145e-09,6.105491540913428e-09
