ngram,patient,patint,patiant,patent
1825,4.88647300309302e-05,1.2855425454308796e-10,9.574848850287969e-10,2.174519093906773e-05
1826,4.9922326330228574e-05,1.2855425454308796e-10,1.3129796297814016e-09,2.28620210691588e-05
1827,5.222119112399274e-05,4.422660729705033e-10,1.3129796297814016e-09,2.509209142382523e-05
1828,5.298250575184024e-05,6.446997538997071e-10,2.618706386657367e-09,2.6466340516760412e-05
1829,5.231516063629117e-05,6.446997538997071e-10,2.7592549435771575e-09,3.742348521232738e-05
1830,5.256389288531084e-05,6.446997538997071e-10,2.0569411174342633e-09,3.698581739237332e-05
1831,5.274384862527118e-05,7.375944141177878e-10,2.242730437870425e-09,3.686697268027014e-05
1832,5.337979590487001e-05,7.375944141177878e-10,2.2864125513523602e-09,3.692523880870015e-05
1833,5.3170713986868835e-05,9.025509387480416e-10,2.0133960689148823e-09,3.67803168046521e-05
1834,5.194337115556534e-05,6.718993139642748e-10,2.096456262558531e-09,3.642461082823242e-05
1835,5.17877602500708e-05,3.4091137849198306e-10,6.621752511394772e-10,3.577496941683681e-05
1836,5.3632827205417145e-05,4.910337374803525e-10,5.966878737138716e-10,2.5444367046085453e-05
1837,5.216818785161844e-05,4.910337374803525e-10,5.966878737138716e-10,2.6262281088358058e-05
1838,5.1283288485137746e-05,5.507905718817239e-10,4.1089855327771016e-10,2.632306547768946e-05
1839,5.016761705129673e-05,7.781348739957902e-10,3.163810721343704e-10,2.632442738104146e-05
1840,5.001083939402763e-05,6.131783493655365e-10,2.339028098192435e-10,2.6704761954273897e-05
1841,5.112026545767938e-05,6.700733777366606e-10,1.508426161755949e-10,2.6353052037718173e-05
1842,5.247664999582672e-05,8.525196897630443e-10,2.72473496146627e-10,2.7188046390490073e-05
1843,5.2949287887063944e-05,7.02397330774675e-10,3.285613765185198e-10,2.8855920131068808e-05
1844,5.536453474113452e-05,8.359630448191118e-10,4.6212709056295663e-10,2.9702632673433982e-05
1845,5.792652622663549e-05,9.502666114309071e-10,5.956046211785804e-10,3.0827773246398594e-05
1846,5.915165145000044e-05,7.881428089527378e-10,5.198231844971701e-10,3.2432991377260934e-05
1847,6.033541493317378e-05,1.030564669316344e-09,6.410341146789733e-10,3.244263306052224e-05
1848,6.0501909631836626e-05,9.999847973483712e-10,6.957217897023732e-10,3.500039045840302e-05
1849,6.123333878349513e-05,1.2474547783636325e-09,7.35309519621958e-10,3.690757876029238e-05
1850,6.17632680846977e-05,1.2949246873196684e-09,6.991002776679522e-10,3.715326913931806e-05
1851,6.142699930933304e-05,1.3470733536572306e-09,7.976775351359322e-10,3.770519106183201e-05
1852,6.14992506078644e-05,1.2318030048355917e-09,8.158847169299171e-10,3.8149257826652115e-05
1853,6.123370154195332e-05,1.649175899017966e-09,8.641440578977771e-10,3.7317984866344235e-05
1854,6.23212316505877e-05,1.8107689236934732e-09,7.934349883458631e-10,3.683540463888286e-05
1855,6.344750051669377e-05,1.7538953226267244e-09,8.962525602626162e-10,3.41408285748912e-05
