ngram,decision,decison,decsion,deision
1778,1.4502752102479072e-05,2.6360818290121254e-09,0.0,0.0
1779,1.5157489282760902e-05,0.0,0.0,0.0
1780,1.577566048841358e-05,2.349140310846971e-09,0.0,0.0
1781,1.5910190346143543e-05,2.349140310846971e-09,0.0,0.0
1782,1.742291013735147e-05,2.349140310846971e-09,0.0,0.0
1783,1.8345990611123852e-05,6.698338391889333e-09,0.0,0.0
1784,1.9465183608450127e-05,6.698338391889333e-09,0.0,0.0
1785,2.023111509125946e-05,9.93458318784438e-09,0.0,1.6181223979775235e-09
1786,2.1787277936320087e-05,9.93458318784438e-09,0.0,1.6181223979775235e-09
1787,2.3358072732142838e-05,7.58544287699741e-09,2.5782832377022456e-09,1.6181223979775235e-09
1788,2.3864789389855495e-05,7.58544287699741e-09,2.5782832377022456e-09,2.924674470859502e-09
1789,2.4152459705614353e-05,7.58544287699741e-09,2.5782832377022456e-09,2.924674470859502e-09
1790,2.5052781763536457e-05,4.341093199197335e-09,2.5782832377022456e-09,2.924674470859502e-09
1791,2.497407357233377e-05,4.341093199197335e-09,2.5782832377022456e-09,2.924674470859502e-09
1792,2.575103254847428e-05,4.369634432066505e-09,2.5782832377022456e-09,1.3065520728819786e-09
1793,2.4308963994761662e-05,4.369634432066505e-09,2.5782832377022456e-09,1.3065520728819786e-09
1794,2.3470377917484647e-05,7.363591006789452e-09,0.0,1.3065520728819786e-09
1795,2.356547364407951e-05,7.363591006789452e-09,0.0,9.132721245919129e-10
1796,2.3951968094999237e-05,7.363591006789452e-09,0.0,9.132721245919129e-10
1797,2.4137302066914606e-05,6.2587426035471645e-09,0.0,9.132721245919129e-10
1798,2.4381180992349982e-05,8.57336931606564e-09,0.0,9.132721245919129e-10
1799,2.470472515726994e-05,6.510122472848577e-09,0.0,9.132721245919129e-10
1800,2.4748087785805444e-05,8.568441955958406e-09,4.116639093102289e-10,9.132721245919129e-10
1801,2.5701281369297897e-05,8.360528269690803e-09,1.8046853535379016e-09,2.7706340079345993e-09
1802,2.7191568473686596e-05,9.662908695418082e-09,1.8046853535379016e-09,1.8573618833426865e-09
1803,2.787696524007645e-05,1.4576908061566688e-08,3.2086851905635936e-09,2.5593618018555323e-09
1804,2.8216113735522542e-05,1.854291628181467e-08,4.428995392657953e-09,2.5593618018555323e-09
1805,2.8720821709222427e-05,2.012345211101417e-08,4.688672894381796e-09,2.5593618018555323e-09
1806,2.917474064036339e-05,1.9697563199575337e-08,4.688672894381796e-09,2.5593618018555323e-09
1807,2.984894646423137e-05,1.8894571114052335e-08,4.277008985071567e-09,2.5593618018555323e-09
1808,3.070652201131452e-05,2.199260773494416e-08,2.883987540843894e-09,7.019999185128459e-10
1809,3.256238025122522e-05,2.5575197451896007e-08,2.883987540843894e-09,1.7875488391082074e-09
1810,3.3184837385696096e-05,2.2622636970075812e-08,1.4799877038182023e-09,1.0855489205953616e-09
1811,3.4211409261583216e-05,2.0766084217273473e-08,2.5967750172384285e-10,1.3199328614226553e-09
1812,3.505176859367306e-05,1.7109629935063708e-08,0.0,1.3199328614226553e-09
1813,3.578572406175746e-05,1.6915917841079216e-08,0.0,1.3199328614226553e-09
1814,3.789790935115889e-05,1.7541213719647024e-08,0.0,1.3199328614226553e-09
1815,3.805614687735215e-05,1.2429697049398669e-08,0.0,1.513073571197359e-09
1816,3.689647201099433e-05,9.636626766404025e-09,0.0,4.275246506019974e-10
1817,3.7111500465211324e-05,1.0930791668631708e-08,0.0,4.275246506019974e-10
1818,3.758412380453332e-05,9.89554536724922e-09,1.790348662973023e-10,1.9314070977470366e-10
1819,3.713374098879285e-05,1.146040646509456e-08,1.790348662973023e-10,3.434381509340564e-10
1820,3.697085464539539e-05,1.205764377232299e-08,1.790348662973023e-10,4.908350868605891e-10
1821,3.624129229657618e-05,1.274810568219209e-08,1.790348662973023e-10,6.193893414036771e-10
1822,3.699601126884643e-05,1.4221383182189129e-08,3.03803767856944e-10,6.757864347482569e-10
1823,3.7903038901276886e-05,1.746706868033243e-08,3.03803767856944e-10,1.0971747558105198e-09
1824,3.890101704330716e-05,1.7832705344135646e-08,3.03803767856944e-10,1.3654147891704683e-09
1825,3.971756034713637e-05,1.89109818598305e-08,2.513857059024563e-10,2.251732411640006e-09
1826,4.146747336822695e-05,1.959587552542124e-08,2.513857059024563e-10,2.2199332134447455e-09
1827,4.293278314954867e-05,1.9985259161866712e-08,2.513857059024563e-10,2.4908187020881e-09
1828,4.442372664925642e-05,1.884845498726203e-08,5.82373641374748e-10,2.6932523830173037e-09
1829,6.482097939754437e-05,2.4262510984434423e-08,1.230621818734282e-09,4.2005715889763854e-09
1830,6.590718112420291e-05,2.0735711941150773e-08,1.5165354607025806e-09,4.35101055185072e-09
1831,6.718389860387626e-05,2.0923152607313763e-08,1.6094301209206613e-09,4.454349159363094e-09
1832,6.758730212043571e-05,2.1240001122992325e-08,1.5679627754902219e-09,3.908629372543057e-09
1833,6.904315419628151e-05,2.1638277328658465e-08,1.6504410378053486e-09,4.532435506275436e-09
1834,6.943360339002018e-05,2.139868130309911e-08,1.6504410378053486e-09,4.114153081705549e-09
1835,6.991102470367747e-05,2.4237353584461678e-08,1.4032365031851108e-09,3.866948547085311e-09
1836,5.090291961096227e-05,2.040557729137455e-08,7.803417832543045e-10,2.4103362559836837e-09
1837,5.100516656446936e-05,2.0453384763641225e-08,7.267523646373572e-10,1.99339179290143e-09
1838,5.059496522465322e-05,1.8781824603511917e-08,7.865091990387287e-10,1.9271161412680117e-09
1839,5.0049689889419824e-05,1.934374793677307e-08,1.2318297889660608e-09,1.813862607732578e-09
1840,4.9742323296543744e-05,1.8271071893544947e-08,1.149351526650934e-09,1.3739020952664914e-09
1841,4.9766424906140726e-05,2.0231056576035045e-08,1.2893067486657068e-09,1.5838349282886505e-09
1842,4.9693355062377774e-05,1.8512351651622794e-08,1.2055233478136529e-09,1.6216824074076287e-09
1843,5.0098807800428146e-05,1.6913765499282363e-08,1.2521245786243996e-09,1.583735809163045e-09
1844,5.015960726138603e-05,1.7392571827201664e-08,1.0865832122952668e-09,1.5624187023531378e-09
1845,5.048187865343477e-05,1.6256532374216348e-08,1.0006704829836265e-09,1.7910258355767284e-09
1846,5.222340145597367e-05,1.492100779440112e-08,4.702004341439192e-10,2.0854455305498375e-09
1847,5.304960619209201e-05,1.553116314921356e-08,4.702004341439192e-10,2.0255235266830596e-09
1848,5.433345618907229e-05,1.497659900857278e-08,3.3024521212914644e-10,2.362467459755229e-09
1849,5.6136791369811234e-05,1.494810878252143e-08,4.377242853895577e-10,2.2945761164144027e-09
1850,5.721811768515701e-05,1.542435969424462e-08,2.4100069559044156e-10,2.2696275335322623e-09
1851,5.826554999137963e-05,1.656910418392142e-08,1.7421783856822311e-10,2.4610619732610773e-09
1852,5.9377352694614925e-05,1.7438800752651266e-08,2.08602214866817e-10,2.382206003887737e-09
1853,5.9715097969664e-05,1.7962997438709342e-08,2.08602214866817e-10,2.053479370672002e-09
1854,5.973144080988797e-05,1.8518388600341495e-08,2.08602214866817e-10,2.2150723953475092e-09
1855,6.073063819452987e-05,1.877660465205671e-08,3.1360571282691904e-10,1.7731991272132826e-09
1856,5.964893768707823e-05,1.8437593800919265e-08,2.0612663956650782e-10,1.818857199774117e-09
1857,5.9333622630219907e-05,1.7609043873838866e-08,2.5426086632965704e-10,1.7740445699766992e-09
1858,5.857535870745778e-05,1.5451780045948127e-08,3.6946789278807e-10,1.5066479294326536e-09
1859,5.7122956994654874e-05,1.620096564839254e-08,3.2927413970032914e-10,1.6608876615301478e-09
1860,5.661930169610839e-05,1.709179160107916e-08,5.732549752351141e-10,1.4678502976587078e-09
1861,5.683513206479672e-05,1.642813580409503e-08,7.427150085424574e-10,1.2332954459269375e-09
1862,5.516593747805538e-05,1.5942858208209794e-08,6.934297818490214e-10,1.3511650330335e-09
1863,5.507845084399118e-05,1.4710868523337695e-08,7.889055440659019e-10,1.2995053049509003e-09
1864,5.478592824407055e-05,1.664833839041892e-08,8.820566816629999e-10,1.1540635193517191e-09
1865,5.580316220792676e-05,1.740210547091741e-08,9.879824180991648e-10,1.2291396591011606e-09
1866,5.643669698786523e-05,1.6109330441033924e-08,9.270530295804999e-10,6.640853938184271e-10
1867,5.730602632476283e-05,1.6801271167971825e-08,8.127095663112982e-10,8.369352235058716e-10
1868,5.7466794325072055e-05,1.6949960609683297e-08,7.328729290101421e-10,8.915336762489139e-10
1869,5.8686982291484515e-05,1.6857377652509546e-08,7.167405438998234e-10,7.478323634949443e-10
1870,5.9877618956046975e-05,1.814115245325963e-08,6.63501242043856e-10,9.112767921212342e-10
1871,6.077364066316347e-05,1.814059746862995e-08,5.627919400349615e-10,1.0670619863896646e-09
1872,6.07338583254854e-05,1.921523118397772e-08,6.283211411479378e-10,1.0162857539646503e-09
1873,6.177185631323872e-05,1.9838480191936014e-08,7.843561514572376e-10,1.518168646352791e-09
1874,6.320538315256792e-05,1.993037392265608e-08,7.34200208566246e-10,1.6235038155113353e-09
1875,6.382416332988734e-05,2.111619844060085e-08,7.248068732503197e-10,1.5197904204963412e-09
1876,6.429058859274457e-05,2.1883014130911046e-08,7.61884955917986e-10,1.4789506325956531e-09
1877,6.455683147318528e-05,2.2091098854965755e-08,7.546001680656746e-10,1.4774783499823689e-09
1878,6.450671259829375e-05,2.1179777804596663e-08,1.0405923384875543e-09,1.4197394728108849e-09
1879,6.53432310043302e-05,2.134330845393606e-08,9.284994479623926e-10,1.7568018032384662e-09
1880,6.562366096269605e-05,2.3273499445102582e-08,8.053511211089262e-10,1.276452657858077e-09
1881,6.549047351914592e-05,2.2440772034266436e-08,7.890008824856005e-10,1.12453004051462e-09
1882,6.555549667349883e-05,2.1642347089060162e-08,7.735899797729167e-10,1.1662328483882538e-09
1883,6.684068544668012e-05,2.221913979789341e-08,8.896617748055391e-10,1.352759265715875e-09
1884,6.804262167341741e-05,2.2335438895229994e-08,1.007264642725682e-09,1.3261146744206594e-09
1885,6.891979033493303e-05,2.3640985550140873e-08,7.387429656097971e-10,1.2680430713388598e-09
1886,6.889307197915124e-05,2.380033896948979e-08,7.021169776530048e-10,1.2077293173476784e-09
1887,6.960305992314326e-05,2.4202975623666134e-08,1.1390077492290374e-09,1.3630276986452218e-09
1888,6.916553060623951e-05,2.416543130680436e-08,1.1568850837624061e-09,1.5067937294713625e-09
1889,6.997160796475197e-05,2.4401554047212163e-08,1.092065925784829e-09,1.7111383659213735e-09
1890,6.924931429758934e-05,2.4437560039051017e-08,9.246258520738999e-10,1.7139411715280266e-09
1891,6.875188098222549e-05,2.5254510609735396e-08,8.744915188810662e-10,1.6845060505207447e-09
1892,6.94035760326577e-05,2.5383150565565822e-08,9.063312917627947e-10,1.7547372919781067e-09
1893,6.981825260611783e-05,2.5435420880626225e-08,1.068189976947766e-09,1.695887065698644e-09
1894,7.000899807150875e-05,2.442173802868248e-08,7.30963159048922e-10,1.5631824089114487e-09
1895,7.062442767034684e-05,2.4678956782915e-08,7.346394643408566e-10,1.4413524500917723e-09
1896,6.986189795757778e-05,2.4788561298854413e-08,8.121611676832024e-10,1.2881445909940226e-09
1897,6.958499475980975e-05,2.4189409586483634e-08,9.912097809205989e-10,1.264827687030845e-09
1898,7.040216691426135e-05,2.4092489273438592e-08,9.970185867379045e-10,1.201388211136134e-09
1899,6.982676651594894e-05,2.3106832764645853e-08,1.180340856800553e-09,1.2626540130915892e-09
1900,7.01002947088065e-05,2.3264800118129514e-08,9.708921127377884e-10,1.0351346605271976e-09
1901,7.02967933778252e-05,2.3799562194020448e-08,1.1296651392100898e-09,1.0667243754980404e-09
1902,7.066518446663395e-05,2.4202739368206494e-08,1.3549095337747223e-09,1.0390539539884003e-09
1903,7.252237888418936e-05,2.5770773705500816e-08,1.500535854300925e-09,9.215041428335877e-10
1904,7.365262613997661e-05,2.634876190248698e-08,1.6608275548486112e-09,8.915509759026869e-10
1905,7.36957964753466e-05,2.6267656494383118e-08,1.613585991013165e-09,1.0148162151882696e-09
1906,7.40432265696914e-05,2.5398695464267414e-08,1.5420722119875917e-09,1.0134591420042837e-09
1907,7.419227664026298e-05,2.4378623818068135e-08,1.7447226481020245e-09,1.2048798466882511e-09
1908,7.470486265706963e-05,2.3648557144286186e-08,1.6455413500070038e-09,1.2221675734938993e-09
1909,7.559169794798695e-05,2.369849637164277e-08,1.5974512942599058e-09,1.3910407429104259e-09
1910,7.537340154937868e-05,2.3147502200718658e-08,1.6084593934539981e-09,1.6259792242781908e-09
1911,7.658227072429977e-05,2.3385978613938667e-08,1.6212275609296866e-09,1.731146718039359e-09
1912,7.806189387338236e-05,2.4897550687796866e-08,1.762037626917845e-09,1.8348010095386208e-09
1913,7.973132181047861e-05,2.5003076180902488e-08,1.6890240793289634e-09,1.8463579078341142e-09
1914,8.118230990865933e-05,2.546467316376168e-08,1.6298844496276388e-09,1.8165186180648822e-09
1915,8.265260631950306e-05,2.56897109299611e-08,1.772455261926455e-09,2.0777421370711734e-09
1916,8.320249097388504e-05,2.4799859435883524e-08,1.721342164045276e-09,1.9990670071682157e-09
1917,8.418143469108535e-05,2.390889391230238e-08,1.5989119155663494e-09,1.919876876524792e-09
1918,8.526528316516695e-05,2.4340721184655323e-08,1.4372113261400849e-09,1.942303254739589e-09
1919,8.599144036582272e-05,2.3761180198026262e-08,1.5195287329992725e-09,2.0655710316777996e-09
1920,8.624089761204752e-05,2.444469033540437e-08,1.6924689824219082e-09,2.1848291430006027e-09
1921,8.675965883802357e-05,2.4156034125358668e-08,1.7959444487125609e-09,2.372639434129147e-09
1922,8.658357754549277e-05,2.3368453331126408e-08,1.6061390392277782e-09,2.263986918573023e-09
1923,8.710716792847961e-05,2.3887473332706577e-08,1.5672870858272704e-09,2.372455612916927e-09
1924,8.625136875447684e-05,2.3201153760104328e-08,1.6509334534374277e-09,2.658346051224011e-09
1925,8.42189765535295e-05,2.1932374139055355e-08,1.6882867960786386e-09,2.770454183525268e-09
1926,8.245560145171891e-05,1.954064719557534e-08,1.4500178002752051e-09,2.5363827070380906e-09
1927,8.175171595732016e-05,1.8838650512569595e-08,1.239349793426468e-09,2.7113405964840354e-09
1928,8.094553257771102e-05,1.8531231152759834e-08,1.1301053545346003e-09,2.9967605381336124e-09
1929,8.116876519384928e-05,1.8649219311685428e-08,1.1874839643345935e-09,3.212660946795763e-09
1930,8.067973664895232e-05,1.7790317536585983e-08,1.0972920231174958e-09,3.301877073345695e-09
1931,8.220782806997054e-05,1.748753015411759e-08,1.0855508436602435e-09,3.158098560440692e-09
1932,8.414350824231016e-05,1.6889929962563396e-08,1.2107858564964452e-09,3.240513587624402e-09
1933,8.679322594876535e-05,1.7371831972923246e-08,1.4197786835090653e-09,3.2658785041407766e-09
1934,8.821614444189305e-05,1.7476072398738196e-08,1.508568167210963e-09,3.259656909472751e-09
1935,8.985088477077494e-05,1.6833117629947277e-08,1.5026966417229305e-09,2.9525648434106498e-09
1936,9.066577851107078e-05,1.6946198222456132e-08,1.6354091810936007e-09,2.991222142994283e-09
1937,9.256575140170753e-05,1.695482877904299e-08,1.7332663399776444e-09,3.0092171770285906e-09
1938,9.403028525412083e-05,1.7534892522113362e-08,1.7671577851834692e-09,3.029014800886338e-09
1939,9.471302473684773e-05,1.7347605130169086e-08,1.612912073741971e-09,3.5033736388103064e-09
1940,9.533730917610228e-05,1.790923028924648e-08,1.4870396342863452e-09,3.735980762848661e-09
1941,9.707288596213662e-05,1.9565388928047663e-08,1.693396613409805e-09,3.9638410331832574e-09
1942,9.859081287036784e-05,2.0939444717831586e-08,2.0938744071941073e-09,3.9872758111109925e-09
1943,0.00010090312675207056,2.2337133032124257e-08,2.3595685722759593e-09,4.365395568837828e-09
1944,0.00010324704947249432,2.2688252039009578e-08,2.3507711333081716e-09,4.925498421824516e-09
1945,0.0001046667987663698,2.3114407403974317e-08,2.5461758733160066e-09,5.262982494258495e-09
1946,0.00010551303733206754,2.365359539981325e-08,2.7358322432898976e-09,4.871299110119156e-09
1947,0.00010530029041027384,2.3334912415050113e-08,2.8552205679131605e-09,4.986514566342391e-09
1948,0.00010517870396142825,2.204887650236742e-08,2.8453205823199467e-09,4.806193157743824e-09
1949,0.00010500500086761479,2.1762000709405323e-08,2.477711892799407e-09,5.437138422032766e-09
1950,0.00010435619749062295,2.087014421598659e-08,2.08005852225008e-09,5.157604502211857e-09
1951,0.0001031529827741906,2.1050508637797194e-08,2.0417094126479185e-09,4.915805159758488e-09
1952,0.00010316284169675782,2.095612902256302e-08,1.942461152244184e-09,4.839438120082409e-09
1953,0.00010444803982474176,2.127478663079988e-08,1.7013401560588598e-09,5.311433324907609e-09
1954,0.00010650618891564331,2.234969035238724e-08,2.01910777779852e-09,5.602896495966141e-09
1955,0.00010825291662643264,2.3045407613965707e-08,2.019758336770293e-09,5.676343585646139e-09
1956,0.00010996954785826216,2.3961582940046355e-08,2.262982111224586e-09,5.214553804628557e-09
1957,0.00011178350853567411,2.4472346688802256e-08,2.4167667153232995e-09,5.119574922726347e-09
1958,0.00011339689392895837,2.506926577439117e-08,2.617624561551679e-09,5.053268533775476e-09
1959,0.00011487943577646677,2.5967564099005358e-08,2.947700084021676e-09,5.214610203958208e-09
1960,0.00011574119395975555,2.6330352501499225e-08,3.145693610357674e-09,4.7245880223962496e-09
1961,0.00011674979759845883,2.744826512111688e-08,3.0860719376793864e-09,4.528964822217826e-09
1962,0.00011718978514961367,2.8024090730533706e-08,3.1989056800288805e-09,4.411507318177346e-09
1963,0.00011838187804512148,2.849943773039091e-08,3.0274167300043634e-09,4.28439629805512e-09
1964,0.00011942123923550494,2.9668372647506658e-08,3.0573047585643766e-09,4.374941139520924e-09
1965,0.00012065021499958155,3.1042200936732504e-08,3.1824383763177723e-09,4.049141371404679e-09
1966,0.0001221433891000093,3.2384201732936294e-08,3.1366127473120287e-09,3.697008826059849e-09
