ngram,growth,gowth,grwth,growh
1760,2.1999667816479424e-05,2.661366999794674e-09,0.0,9.99636310236188e-09
1761,2.335240112318258e-05,2.661366999794674e-09,0.0,9.99636310236188e-09
1762,2.450113866611251e-05,2.661366999794674e-09,0.0,6.1430553342591205e-09
1763,2.3827452293647055e-05,2.661366999794674e-09,0.0,3.1075847926688637e-09
1764,2.559942601822383e-05,2.661366999794674e-09,0.0,3.1075847926688637e-09
1765,2.6783394007777262e-05,2.661366999794674e-09,0.0,0.0
1766,2.8659528522569288e-05,2.661366999794674e-09,0.0,3.4010521383314493e-09
1767,2.8925959278629826e-05,0.0,0.0,3.4010521383314493e-09
1768,3.0236074443174793e-05,0.0,0.0,3.4010521383314493e-09
1769,2.8479074639368003e-05,0.0,0.0,3.4010521383314493e-09
1770,2.8130022266330862e-05,0.0,0.0,6.283973722328742e-09
1771,2.8127846495148594e-05,0.0,0.0,6.283973722328742e-09
1772,2.9316516832165818e-05,0.0,0.0,1.1556137380352993e-08
1773,2.9404427030905416e-05,0.0,0.0,8.155085242021544e-09
1774,3.159966321878268e-05,0.0,0.0,8.155085242021544e-09
1775,3.0496108333214318e-05,0.0,0.0,8.155085242021544e-09
1776,3.0083825030098004e-05,0.0,0.0,8.155085242021544e-09
1777,3.0411107737953508e-05,0.0,0.0,5.272163658024251e-09
1778,2.9111572855202083e-05,0.0,0.0,5.272163658024251e-09
1779,2.6838950101851617e-05,0.0,0.0,0.0
1780,2.578600521831374e-05,0.0,0.0,0.0
1781,2.452193465225199e-05,0.0,0.0,3.825033750055289e-09
1782,2.655462828572906e-05,0.0,0.0,3.825033750055289e-09
1783,2.7065615150994355e-05,0.0,2.174599040521181e-09,3.825033750055289e-09
1784,2.779175572088986e-05,0.0,2.174599040521181e-09,3.825033750055289e-09
1785,2.8717528039123863e-05,0.0,2.174599040521181e-09,3.825033750055289e-09
1786,3.125565464350595e-05,0.0,2.174599040521181e-09,3.825033750055289e-09
1787,3.260582785255143e-05,3.867424729670737e-09,2.174599040521181e-09,3.825033750055289e-09
1788,3.365591822200388e-05,3.867424729670737e-09,2.174599040521181e-09,0.0
1789,3.074956293858122e-05,3.867424729670737e-09,2.174599040521181e-09,0.0
1790,2.9798055818121482e-05,3.867424729670737e-09,0.0,0.0
1791,3.0359905005233096e-05,3.867424729670737e-09,0.0,0.0
1792,3.067085344810039e-05,3.867424729670737e-09,0.0,0.0
1793,2.9931548332180163e-05,3.867424729670737e-09,0.0,9.860221210950775e-10
1794,3.021231740214197e-05,0.0,0.0,9.860221210950775e-10
1795,2.9958575656304936e-05,9.132721245919129e-10,0.0,9.860221210950775e-10
1796,2.947813897792782e-05,9.132721245919129e-10,0.0,9.860221210950775e-10
1797,3.1333368886927406e-05,9.132721245919129e-10,0.0,1.5529457719765105e-09
1798,3.168528149087381e-05,9.132721245919129e-10,0.0,2.710259128235748e-09
1799,3.23790458683756e-05,4.517889681413376e-09,6.00769592803577e-10,3.311028721039325e-09
1800,3.2578822616155124e-05,4.517889681413376e-09,6.00769592803577e-10,2.7366705092544764e-09
1801,3.257202323376467e-05,4.517889681413376e-09,6.00769592803577e-10,3.201010980090148e-09
1802,3.313617967900687e-05,3.6046175568214623e-09,6.00769592803577e-10,4.503391405817427e-09
1803,3.396034870612701e-05,3.6046175568214623e-09,6.00769592803577e-10,6.2583912338201995e-09
1804,3.4100561086753646e-05,3.6046175568214623e-09,6.00769592803577e-10,6.301622683985946e-09
1805,3.3684323300674025e-05,3.6046175568214623e-09,6.00769592803577e-10,5.923341848758566e-09
