ngram,entertainment,entertinment,enterainment,enterntainment
1870,8.500409681541246e-06,0.0,6.210296285161629e-10,2.688701959487259e-10
1871,8.371605612670205e-06,0.0,6.145105694140998e-10,2.688701959487259e-10
1872,8.425951689007758e-06,0.0,6.964139899677337e-10,2.688701959487259e-10
1873,8.311023520946037e-06,0.0,7.354227425450586e-10,2.688701959487259e-10
1874,8.208523338128413e-06,0.0,6.023136275449101e-10,2.688701959487259e-10
1875,8.095897490940323e-06,0.0,6.778470205772078e-10,0.0
1876,8.123068515227974e-06,0.0,3.599060256170057e-10,0.0
1877,8.140526395956321e-06,0.0,4.2980937063420907e-10,0.0
1878,8.206111488107126e-06,0.0,4.6180402755803737e-10,0.0
1879,8.082395262525616e-06,0.0,3.7990060700440354e-10,0.0
1880,8.153402892016207e-06,0.0,5.053252736887868e-10,0.0
1881,8.212877868832688e-06,0.0,5.602813490934722e-10,0.0
1882,8.227657417592127e-06,0.0,4.399362580580808e-10,0.0
1883,8.171396724979526e-06,0.0,4.979721555743919e-10,0.0
1884,8.198986506613437e-06,0.0,4.280688105571885e-10,0.0
1885,8.150228235795762e-06,2.90232778286738e-11,3.8452136911068125e-10,0.0
1886,8.212281370236138e-06,2.90232778286738e-11,4.672872188400084e-10,0.0
1887,8.231114666809195e-06,1.1192518538966872e-10,3.304877681044514e-10,0.0
1888,8.254753343602975e-06,1.3892802781206067e-10,2.6279382043486217e-10,0.0
1889,8.371943295060191e-06,1.3892802781206067e-10,2.6279382043486217e-10,0.0
1890,8.487429373157543e-06,1.3892802781206067e-10,3.4349577349157556e-10,0.0
1891,8.492732766691396e-06,1.3892802781206067e-10,3.94705877109531e-10,0.0
1892,8.518935438977288e-06,1.0990474998338686e-10,4.5556892781993344e-10,0.0
1893,8.52217440946593e-06,1.0990474998338686e-10,6.495431692510323e-10,0.0
1894,8.496706998682515e-06,4.909461527789562e-11,6.440009735803847e-10,0.0
1895,8.53629015702089e-06,1.279478110762154e-10,6.593405464462774e-10,0.0
1896,8.643115247001073e-06,1.4732823691180182e-10,6.787209722818638e-10,0.0
1897,8.68316614547179e-06,1.6590499212527325e-10,5.202278925103038e-10,0.0
1898,8.77241408098988e-06,1.6590499212527325e-10,5.592086278165859e-10,0.0
