ngram,towel,towl,towl,towel
1791,3.7283813014710177e-07,8.76237685584361e-09,8.76237685584361e-09,3.7283813014710177e-07
1792,3.7058840973713814e-07,5.526132059888564e-09,5.526132059888564e-09,3.7058840973713814e-07
1793,4.0807954146008084e-07,6.512154180983641e-09,6.512154180983641e-09,4.0807954146008084e-07
1794,3.7892551014400464e-07,6.512154180983641e-09,6.512154180983641e-09,3.7892551014400464e-07
1795,3.9425870568265964e-07,6.512154180983641e-09,6.512154180983641e-09,3.9425870568265964e-07
1796,4.050434573140852e-07,5.3487693639299644e-09,5.3487693639299644e-09,4.050434573140852e-07
1797,4.4331443811123403e-07,5.944691913331976e-09,5.944691913331976e-09,4.4331443811123403e-07
1798,4.3912945914468894e-07,4.422763171569548e-09,4.422763171569548e-09,4.3912945914468894e-07
1799,4.258296257830807e-07,4.422763171569548e-09,4.422763171569548e-09,4.258296257830807e-07
1800,4.062940247097556e-07,3.8484049597847e-09,3.8484049597847e-09,4.062940247097556e-07
1801,4.332188357888559e-07,3.8484049597847e-09,3.8484049597847e-09,4.332188357888559e-07
1802,4.35547170647104e-07,3.8484049597847e-09,3.8484049597847e-09,4.35547170647104e-07
1803,4.4268079234046e-07,4.550404878297545e-09,4.550404878297545e-09,4.4268079234046e-07
1804,4.308127147721409e-07,3.764866577224016e-09,3.764866577224016e-09,4.308127147721409e-07
1805,4.626625005650047e-07,2.2885739811176873e-09,2.2885739811176873e-09,4.626625005650047e-07
1806,4.972080489551445e-07,3.064224255286011e-09,3.064224255286011e-09,4.972080489551445e-07
1807,4.995199154628998e-07,4.11710895534664e-09,4.11710895534664e-09,4.995199154628998e-07
1808,4.991230996763209e-07,4.823198491392995e-09,4.823198491392995e-09,4.991230996763209e-07
1809,4.853857993631599e-07,6.451521872286037e-09,6.451521872286037e-09,4.853857993631599e-07
1810,4.986652299976413e-07,5.9674596058252e-09,5.9674596058252e-09,4.986652299976413e-07
1811,4.893774782236246e-07,5.989762717563605e-09,5.989762717563605e-09,4.893774782236246e-07
1812,5.054896803358133e-07,5.730085215839762e-09,5.730085215839762e-09,5.054896803358133e-07
1813,5.151489363340391e-07,6.506270173416746e-09,6.506270173416746e-09,5.151489363340391e-07
1814,5.487235828890594e-07,5.668595989430766e-09,5.668595989430766e-09,5.487235828890594e-07
1815,5.649075538778041e-07,5.348787872933818e-09,5.348787872933818e-09,5.649075538778041e-07
1816,5.977396426715131e-07,4.481155367410037e-09,4.481155367410037e-09,5.977396426715131e-07
1817,6.085210446014701e-07,4.948607999568009e-09,4.948607999568009e-09,6.085210446014701e-07
1818,6.411085483445536e-07,4.369141968853439e-09,4.369141968853439e-09,6.411085483445536e-07
1819,6.608768217120087e-07,5.2709266475302135e-09,5.2709266475302135e-09,6.608768217120087e-07
1820,6.764003046555445e-07,4.3086791594910375e-09,4.3086791594910375e-09,6.764003046555445e-07
1821,6.745443832707159e-07,3.938913243192335e-09,3.938913243192335e-09,6.745443832707159e-07
1822,6.866137515057094e-07,4.051707429881495e-09,4.051707429881495e-09,6.866137515057094e-07
1823,7.050651496293929e-07,3.5719420913135227e-09,3.5719420913135227e-09,7.050651496293929e-07
1824,7.560821018159913e-07,5.703072157383003e-09,5.703072157383003e-09,7.560821018159913e-07
1825,7.423930372039779e-07,6.991020857454495e-09,6.991020857454495e-09,7.423930372039779e-07
1826,7.170803054837702e-07,6.5632291506340886e-09,6.5632291506340886e-09,7.170803054837702e-07
1827,7.116302396882799e-07,6.391923831497845e-09,6.391923831497845e-09,7.116302396882799e-07
1828,7.167220214146905e-07,6.686461860385049e-09,6.686461860385049e-09,7.167220214146905e-07
1829,6.91493783376375e-07,6.8198547444252105e-09,6.8198547444252105e-09,6.91493783376375e-07
1830,7.019123294022782e-07,7.0154519019435415e-09,7.0154519019435415e-09,7.019123294022782e-07
1831,6.707003551907422e-07,5.034983477766478e-09,5.034983477766478e-09,6.707003551907422e-07
1832,6.734472565637719e-07,4.1553101911720856e-09,4.1553101911720856e-09,6.734472565637719e-07
1833,6.617313163457896e-07,4.258665039661277e-09,4.258665039661277e-09,6.617313163457896e-07
1834,6.730145482184266e-07,3.923442808735038e-09,3.923442808735038e-09,6.730145482184266e-07
1835,6.909336889293627e-07,4.544763898550741e-09,4.544763898550741e-09,6.909336889293627e-07
1836,7.422294012420545e-07,4.512784844225491e-09,4.512784844225491e-09,7.422294012420545e-07
1837,7.295917043848021e-07,4.191144970760214e-09,4.191144970760214e-09,7.295917043848021e-07
