ngram,fat,ft,fat,faat
1805,2.3300685175594742e-05,1.0892152464033903e-05,2.3300685175594742e-05,5.731263336932508e-09
1806,2.295139841278017e-05,9.801486157812178e-06,2.295139841278017e-05,5.046824355251342e-09
1807,2.271746026443517e-05,9.043866092335001e-06,2.271746026443517e-05,4.439496262672751e-09
1808,2.1773802343107362e-05,8.446519197085373e-06,2.1773802343107362e-05,4.4458821703484224e-09
1809,2.0398292820443332e-05,7.697507369032661e-06,2.0398292820443332e-05,4.554529832643896e-09
1810,1.987082357248125e-05,7.0196775335976525e-06,1.987082357248125e-05,4.288405218235068e-09
1811,1.830373003031127e-05,6.189489535505085e-06,1.830373003031127e-05,3.6075565074915924e-09
1812,1.7712739593532335e-05,5.9046701608167496e-06,1.7712739593532335e-05,4.976898417195587e-09
1813,1.6387933490997447e-05,5.506970475315549e-06,1.6387933490997447e-05,5.429695264831074e-09
1814,1.5330571451548686e-05,5.33753999271929e-06,1.5330571451548686e-05,5.637864112070393e-09
1815,1.5136075230007659e-05,4.971493906071243e-06,1.5136075230007659e-05,6.1328413141532275e-09
1816,1.5559300663881004e-05,4.8912803062454e-06,1.5559300663881004e-05,6.540930432206795e-09
1817,1.4918773039036231e-05,4.666391662664994e-06,1.4918773039036231e-05,7.133140554417748e-09
1818,1.5175576273967245e-05,4.457349827394605e-06,1.5175576273967245e-05,7.614896078779663e-09
1819,1.533109311172406e-05,4.232423537229936e-06,1.533109311172406e-05,6.218008837980246e-09
1820,1.5782563683127853e-05,3.938878437890837e-06,1.5782563683127853e-05,7.016874954095848e-09
1821,1.646360046184522e-05,3.7721941420646284e-06,1.646360046184522e-05,6.952367951181973e-09
1822,1.6450241803665578e-05,3.7253853081762955e-06,1.6450241803665578e-05,1.0353575774502133e-08
1823,1.6309822318102567e-05,3.709497020411488e-06,1.6309822318102567e-05,1.1088265480399936e-08
1824,1.655612660605194e-05,3.713080007271076e-06,1.655612660605194e-05,1.207198030428458e-08
1825,1.6451794051265877e-05,3.6614069683439865e-06,1.6451794051265877e-05,1.173569124419365e-08
1826,1.6226518450171818e-05,3.5962775980026762e-06,1.6226518450171818e-05,1.133969879900982e-08
1827,1.573081447401949e-05,3.498566424501145e-06,1.573081447401949e-05,9.884647449760159e-09
1828,1.544495093444961e-05,3.4762298193007676e-06,1.544495093444961e-05,9.554639143364137e-09
1829,1.4914704739307386e-05,3.377970447867743e-06,1.4914704739307386e-05,5.7499219671289634e-09
1830,1.484559132742496e-05,3.239138420342767e-06,1.484559132742496e-05,4.445586851023872e-09
1831,1.4653233197999985e-05,3.0867195164319128e-06,1.4653233197999985e-05,3.0840492382111506e-09
1832,1.4579614149364975e-05,3.0427765328308202e-06,1.4579614149364975e-05,3.3002450296391673e-09
1833,1.4462074951942278e-05,3.001532442275285e-06,1.4462074951942278e-05,4.594315594630416e-09
1834,1.4687666017770035e-05,2.9815723792125937e-06,1.4687666017770035e-05,4.862025163429198e-09
1835,1.4864422415225168e-05,3.142619626877214e-06,1.4864422415225168e-05,5.2585419193665726e-09
1836,1.5335370335378684e-05,3.0974061766236057e-06,1.5335370335378684e-05,5.221775964007033e-09
1837,1.5250569049385376e-05,3.01252037258694e-06,1.5250569049385376e-05,5.7698546892684786e-09
1838,1.5313680965586434e-05,3.1141632592022816e-06,1.5313680965586434e-05,5.806523769738955e-09
1839,1.578625194399917e-05,3.1761256065822508e-06,1.578625194399917e-05,6.422980560115223e-09
1840,1.6454665326039374e-05,3.249838203243728e-06,1.6454665326039374e-05,5.680446843062523e-09
1841,1.6776788340523906e-05,3.445251845083216e-06,1.6776788340523906e-05,5.5188911218806425e-09
1842,1.7063521357028678e-05,3.381963486910016e-06,1.7063521357028678e-05,5.3500269611309446e-09
1843,1.7424958189492046e-05,3.4762735724923133e-06,1.7424958189492046e-05,5.414769458208671e-09
1844,1.792682061412571e-05,3.6474171533232687e-06,1.792682061412571e-05,6.155043966568233e-09
1845,1.82672416225874e-05,3.5752546604531484e-06,1.82672416225874e-05,6.469193752118534e-09
1846,1.8174457311813186e-05,3.452728833508445e-06,1.8174457311813186e-05,5.582793275290701e-09
1847,1.815652077701608e-05,3.610324191478347e-06,1.815652077701608e-05,6.130292908222503e-09
1848,1.8313702769644025e-05,3.8518827360738735e-06,1.8313702769644025e-05,6.585430042552584e-09
1849,1.8632841342228596e-05,4.036691604726782e-06,1.8632841342228596e-05,7.152469600717788e-09
1850,1.8938233032323687e-05,4.267656939711222e-06,1.8938233032323687e-05,7.843986349342913e-09
