ngram,drama,draam,draama
1890,1.0735152500274125e-05,2.9341052405167696e-10,0.0
1891,1.0754963633579401e-05,1.6155519184340202e-10,0.0
1892,1.0833064931960377e-05,1.4845180045559252e-10,0.0
1893,1.0916404270184493e-05,1.715134740581143e-10,0.0
1894,1.0768675565486774e-05,1.93605246913618e-10,0.0
1895,1.0896942122989068e-05,1.877736121353684e-10,0.0
1896,1.1135194784271465e-05,2.2653446380654126e-10,0.0
1897,1.1361037390348169e-05,2.012387736608342e-10,0.0
1898,1.1602949988238314e-05,1.5002867004287879e-10,0.0
1899,1.1798225516810947e-05,1.415133189202373e-10,7.285562629379326e-11
1900,1.214587246067822e-05,1.184516453177155e-10,7.285562629379326e-11
1901,1.2294624996554506e-05,9.635987246221184e-11,7.285562629379326e-11
1902,1.2053117773445723e-05,9.240695510369181e-11,7.285562629379326e-11
1903,1.1846958971416046e-05,6.958524827777829e-11,7.285562629379326e-11
1904,1.179747245519788e-05,8.543898822559776e-11,7.285562629379326e-11
1905,1.1878459190484136e-05,8.543898822559776e-11,7.285562629379326e-11
1906,1.1693259434001188e-05,9.555613344242836e-11,0.0
1907,1.1831344896303822e-05,9.555613344242836e-11,0.0
1908,1.1872399487141852e-05,1.3672949578102944e-10,0.0
1909,1.2022207426655638e-05,1.6085423370266431e-10,4.13430282072572e-11
1910,1.223730877037659e-05,1.7246286839110526e-10,4.13430282072572e-11
1911,1.2376763541916652e-05,1.5660912844328578e-10,4.13430282072572e-11
1912,1.2190592704947839e-05,1.710232362474505e-10,5.5757136011421895e-11
1913,1.222403911274991e-05,1.5307411588283415e-10,5.5757136011421895e-11
1914,1.1829420925226128e-05,1.676906054491413e-10,5.5757136011421895e-11
1915,1.1575637342632814e-05,1.2651724311054024e-10,5.5757136011421895e-11
1916,1.1341512488018321e-05,1.30329800523172e-10,1.4414107804164696e-11
1917,1.1092136836461058e-05,1.4467922494963504e-10,1.4414107804164696e-11
1918,1.0773488481520741e-05,1.4467922494963504e-10,2.879434686718442e-11
1919,1.0820646561374555e-05,1.444708638434885e-10,1.4380239063019725e-11
1920,1.1152678260779275e-05,1.1587502584437764e-10,1.4380239063019725e-11
1921,1.1492313205963e-05,2.418165776745569e-10,1.4380239063019725e-11
1922,1.2178057399328931e-05,2.6596787371697365e-10,3.853153510543653e-11
1923,1.2916395592453358e-05,2.6991917728702575e-10,3.853153510543653e-11
1924,1.3599054779790873e-05,2.5244350360109635e-10,3.853153510543653e-11
1925,1.4193170500220731e-05,3.214590270560004e-10,2.4151296042416804e-11
1926,1.4847065098625275e-05,3.0725328035798224e-10,2.4151296042416804e-11
1927,1.5007923658621231e-05,3.299916589982743e-10,2.4151296042416804e-11
1928,1.5303417317876926e-05,2.1224310404426612e-10,2.4151296042416804e-11
1929,1.518730914540356e-05,2.3866340253293165e-10,0.0
1930,1.5064347150785449e-05,2.7123869023831e-10,0.0
1931,1.4788889529881999e-05,2.7305016977611073e-10,0.0
1932,1.4869420348467039e-05,2.0403464632120664e-10,2.3643246091101642e-11
1933,1.476791814119289e-05,2.0403464632120664e-10,2.3643246091101642e-11
1934,1.4816660300961562e-05,2.0376414246379782e-10,2.3643246091101642e-11
1935,1.4540853174237003e-05,2.0317698912197812e-10,2.3643246091101642e-11
1936,1.4403132939021037e-05,1.7354282693433325e-10,2.3643246091101642e-11
1937,1.4497379847203515e-05,1.367454839838546e-10,2.3643246091101642e-11
1938,1.4357842311645591e-05,1.1051247417181997e-10,2.3643246091101642e-11
1939,1.3846297796200296e-05,2.100885755045618e-10,0.0
1940,1.328477290891377e-05,2.616751002390164e-10,0.0
1941,1.2663960270791514e-05,3.2194293263034165e-10,0.0
1942,1.2331119900669105e-05,2.997205995296832e-10,7.472413957440186e-11
1943,1.2395000989532231e-05,3.4314314485100235e-10,7.472413957440186e-11
1944,1.238984220565596e-05,3.1722963343496144e-10,7.472413957440186e-11
1945,1.2497684760351799e-05,3.359990539765688e-10,7.472413957440186e-11
1946,1.2779623570427897e-05,2.86067265114249e-10,7.472413957440186e-11
1947,1.330546521265725e-05,2.344807403797944e-10,9.128111560270063e-11
1948,1.3889224516918017e-05,1.5174503320558586e-10,9.128111560270063e-11
1949,1.4350490086404274e-05,1.687511955569424e-10,1.6556976028298768e-11
1950,1.4469235273801523e-05,1.5515114589906683e-10,1.6556976028298768e-11
1951,1.4567377937575137e-05,1.527289217714437e-10,1.6556976028298768e-11
1952,1.4718226339027751e-05,1.966952979461288e-10,3.2240925207371873e-11
1953,1.4859295073880016e-05,1.7842945870816251e-10,3.2240925207371873e-11
