ngram,shoulder,shouler,shouler,shouder
1656,6.154368130799932e-06,0.0,0.0,0.0
1657,4.419347988005029e-06,0.0,0.0,0.0
1658,4.341811875617298e-06,0.0,0.0,0.0
1659,4.726609209423519e-06,0.0,0.0,0.0
1660,4.595053724187892e-06,0.0,0.0,0.0
1661,4.593255588198579e-06,0.0,0.0,0.0
1662,5.496916790954336e-06,0.0,0.0,0.0
1663,5.843506837014242e-06,0.0,0.0,0.0
1664,5.89807609685522e-06,0.0,0.0,0.0
1665,5.339343260857277e-06,0.0,0.0,0.0
1666,4.94138651317501e-06,0.0,0.0,0.0
1667,5.237281324558093e-06,0.0,0.0,0.0
1668,5.881134874081388e-06,0.0,0.0,0.0
1669,6.764621535434604e-06,0.0,0.0,0.0
1670,6.459439418904367e-06,0.0,0.0,0.0
1671,6.457125989202593e-06,0.0,0.0,0.0
1672,6.596405065855444e-06,0.0,0.0,0.0
1673,6.170379184108502e-06,0.0,0.0,0.0
1674,6.139334621885999e-06,0.0,0.0,0.0
1675,5.713004822739874e-06,0.0,0.0,0.0
1676,3.759135081184338e-06,0.0,0.0,0.0
1677,3.350536920671792e-06,0.0,0.0,0.0
1678,3.2397488699384018e-06,0.0,0.0,0.0
1679,3.4860334738238763e-06,0.0,0.0,0.0
1680,3.711075805767905e-06,0.0,0.0,0.0
1681,3.5506674456493263e-06,0.0,0.0,0.0
1682,3.2392031568763613e-06,0.0,0.0,0.0
1683,3.0315982745118423e-06,0.0,0.0,0.0
1684,2.8623365194237394e-06,0.0,0.0,0.0
1685,2.786683873117519e-06,0.0,0.0,0.0
1686,2.573342174270822e-06,0.0,0.0,0.0
1687,2.298700012813372e-06,0.0,0.0,0.0
1688,2.1531083932911443e-06,0.0,0.0,0.0
1689,1.8674215068261089e-06,0.0,0.0,0.0
1690,1.706466223692717e-06,0.0,0.0,0.0
1691,1.6439559544778604e-06,0.0,0.0,0.0
1692,1.550418679536441e-06,0.0,0.0,0.0
1693,1.1822197377244135e-06,0.0,0.0,0.0
1694,1.229318326880145e-06,0.0,0.0,0.0
1695,1.2133845156573183e-06,0.0,0.0,0.0
1696,1.307463800718064e-06,0.0,0.0,0.0
1697,2.0705671853907655e-06,0.0,0.0,0.0
1698,2.0859876843003022e-06,0.0,0.0,0.0
1699,2.1449645990807246e-06,0.0,0.0,0.0
1700,2.326152785566852e-06,0.0,0.0,0.0
1701,2.348789117994394e-06,0.0,0.0,0.0
1702,2.420757937215967e-06,0.0,0.0,0.0
1703,2.224028853398912e-06,0.0,0.0,0.0
1704,1.4696769759276712e-06,0.0,0.0,0.0
1705,1.4936236141238624e-06,0.0,0.0,0.0
1706,1.909825296512021e-06,0.0,0.0,0.0
1707,1.7420154685104144e-06,0.0,0.0,0.0
1708,1.770535224717865e-06,0.0,0.0,0.0
1709,1.5672259264322617e-06,0.0,0.0,0.0
1710,1.821890309981557e-06,0.0,0.0,0.0
1711,1.9322109129201896e-06,0.0,0.0,0.0
1712,2.3299329297645144e-06,0.0,0.0,0.0
1713,1.8276802019759738e-06,0.0,0.0,0.0
