ngram,price,prce,prcie,priice
1795,9.099053360322224e-05,6.0870201577602396e-09,0.0,0.0
1796,9.097335402787264e-05,6.0870201577602396e-09,9.481616127158888e-10,0.0
1797,9.04567153026749e-05,6.653943808641673e-09,9.481616127158888e-10,0.0
1798,9.580910409567878e-05,9.039917766732027e-09,1.5268182908455076e-09,0.0
1799,9.666777623351663e-05,8.064932848534617e-09,1.5268182908455076e-09,0.0
1800,9.026876276558531e-05,1.1358244123016448e-08,1.5268182908455076e-09,0.0
1801,9.21670684225059e-05,1.6861025210955305e-08,1.5268182908455076e-09,0.0
1802,9.594338812998362e-05,1.6336861387498758e-08,1.9609450888477144e-09,0.0
1803,9.509433896580179e-05,2.4760860155887647e-08,1.0127834761318256e-09,0.0
1804,9.321552975701966e-05,2.571932432106548e-08,1.3178610266554154e-09,0.0
1805,8.628812793176621e-05,2.4584481751942022e-08,1.5182368695576542e-09,0.0
1806,8.396143779724039e-05,2.545134338203882e-08,1.5182368695576542e-09,0.0
1807,8.44230962684378e-05,2.466868690273064e-08,1.9366793248463766e-09,0.0
1808,8.628482360758685e-05,2.334591060153863e-08,1.9366793248463766e-09,0.0
1809,8.878924459817686e-05,2.4757402477299754e-08,1.5025525268441697e-09,0.0
1810,9.015549273629273e-05,1.807690492532694e-08,1.5025525268441697e-09,0.0
1811,9.505873042923798e-05,2.006727622167708e-08,1.19747497632058e-09,0.0
1812,0.0001017903965215997,1.940113644341831e-08,4.184424552887224e-10,0.0
1813,0.00010367017551158954,2.1018344398271438e-08,4.184424552887224e-10,0.0
1814,0.00010681890957390092,2.10151873046373e-08,2.0895813650818289e-10,0.0
1815,0.00010443460528871842,2.143827743899302e-08,2.0895813650818289e-10,0.0
1816,0.00010541847378980102,2.2147514044945638e-08,5.893035741928137e-10,0.0
1817,0.00010587928928933772,2.1946141031443337e-08,5.893035741928137e-10,1.7134757105249524e-10
1818,0.00010333514676728685,2.219011400025498e-08,5.893035741928137e-10,1.7134757105249524e-10
1819,9.826873740946342e-05,2.5328674269076146e-08,5.893035741928137e-10,1.7134757105249524e-10
1820,9.855066725452031e-05,2.606497341771176e-08,7.367005101193464e-10,1.7134757105249524e-10
