ngram,bird,bid,brd,bird
1620,1.3183651195244498e-05,3.771597662957252e-05,0.0,1.3183651195244498e-05
1621,1.0601225767459255e-05,3.9869158302151065e-05,0.0,1.0601225767459255e-05
1622,1.0601225767459255e-05,3.9230713290245535e-05,0.0,1.0601225767459255e-05
1623,1.0149790893722508e-05,4.030113658310646e-05,0.0,1.0149790893722508e-05
1624,9.04333186164357e-06,3.8036636786793156e-05,0.0,9.04333186164357e-06
1625,7.784543998111206e-06,3.940249916922767e-05,0.0,7.784543998111206e-06
1626,4.6472364374494646e-06,3.392928413502107e-05,0.0,4.6472364374494646e-06
1627,3.4730214143304953e-06,1.6119038134222918e-05,0.0,3.4730214143304953e-06
1628,4.266116840361585e-06,1.3820471914576566e-05,0.0,4.266116840361585e-06
1629,5.1739396310170245e-06,1.4369846212503035e-05,0.0,5.1739396310170245e-06
1630,6.457007430071826e-06,1.3034353807077942e-05,0.0,6.457007430071826e-06
1631,6.787266199483254e-06,1.4050215603284804e-05,0.0,6.787266199483254e-06
1632,7.4714563587414366e-06,1.5870714897963417e-05,0.0,7.4714563587414366e-06
1633,6.9196837070454165e-06,1.586051049733734e-05,0.0,6.9196837070454165e-06
1634,7.514779927727691e-06,1.5104729625038868e-05,0.0,7.514779927727691e-06
1635,8.230644766626938e-06,1.7470430066168774e-05,0.0,8.230644766626938e-06
1636,8.451799317299447e-06,1.8346961041970644e-05,0.0,8.451799317299447e-06
1637,9.38676168971142e-06,2.1424371750202097e-05,0.0,9.38676168971142e-06
1638,9.521872649591906e-06,2.1166568460882574e-05,0.0,9.521872649591906e-06
1639,9.201061321359053e-06,1.9787271542424734e-05,0.0,9.201061321359053e-06
1640,9.88643296295777e-06,1.9992656754246646e-05,0.0,9.88643296295777e-06
1641,9.30919434592527e-06,1.982552475965349e-05,0.0,9.30919434592527e-06
1642,1.0648906546910958e-05,1.8860285048763865e-05,0.0,1.0648906546910958e-05
1643,9.700574098912642e-06,1.8968104346380903e-05,0.0,9.700574098912642e-06
1644,8.129744417471687e-06,1.6834721074181808e-05,0.0,8.129744417471687e-06
1645,7.605349326565504e-06,1.6748444587782224e-05,0.0,7.605349326565504e-06
1646,6.826647043973415e-06,1.6862193401071375e-05,0.0,6.826647043973415e-06
1647,7.5648658984001874e-06,1.8866283945888946e-05,0.0,7.5648658984001874e-06
1648,7.595661453966126e-06,2.1541281447363353e-05,0.0,7.595661453966126e-06
1649,4.737366988852695e-06,2.173387006873132e-05,0.0,4.737366988852695e-06
1650,6.620968568833112e-06,2.3457648369783002e-05,4.392013660695479e-08,6.620968568833112e-06
1651,7.252356746383677e-06,2.3540148374325198e-05,4.392013660695479e-08,7.252356746383677e-06
1652,8.624562789399143e-06,2.4958321124099063e-05,4.392013660695479e-08,8.624562789399143e-06
1653,8.926065902414848e-06,2.749075013395798e-05,4.392013660695479e-08,8.926065902414848e-06
1654,8.31949588635845e-06,2.617018877312408e-05,4.392013660695479e-08,8.31949588635845e-06
1655,1.3790680343715525e-05,2.4795942278745186e-05,4.392013660695479e-08,1.3790680343715525e-05
1656,1.349439633356399e-05,2.3442297658350852e-05,4.392013660695479e-08,1.349439633356399e-05
1657,1.4210593138029384e-05,2.3228210661078004e-05,0.0,1.4210593138029384e-05
1658,1.3788518604737224e-05,2.4539840264229236e-05,0.0,1.3788518604737224e-05
1659,1.2629358122597165e-05,2.688448512344621e-05,3.2167185232927816e-08,1.2629358122597165e-05
1660,1.3530476995323884e-05,2.6545424978914006e-05,3.2167185232927816e-08,1.3530476995323884e-05
1661,1.472629680522784e-05,2.7496872332579058e-05,3.2167185232927816e-08,1.472629680522784e-05
1662,9.338771178590832e-06,3.166241185681429e-05,3.2167185232927816e-08,9.338771178590832e-06
1663,9.325175077330122e-06,3.169183764839545e-05,3.2167185232927816e-08,9.325175077330122e-06
1664,7.92033616952332e-06,3.217711413786414e-05,3.2167185232927816e-08,7.92033616952332e-06
1665,7.1912324009255305e-06,3.1512900022789836e-05,3.2167185232927816e-08,7.1912324009255305e-06
1666,6.72998359212735e-06,2.97985859236048e-05,0.0,6.72998359212735e-06
1667,8.448070015479711e-06,2.8407037461875007e-05,0.0,8.448070015479711e-06
1668,7.435720557883282e-06,3.0329461619008464e-05,0.0,7.435720557883282e-06
1669,6.844047756463364e-06,2.6754373071266207e-05,0.0,6.844047756463364e-06
1670,6.720422058086635e-06,2.706774986498723e-05,2.3189500097942073e-07,6.720422058086635e-06
1671,5.65769922949195e-06,2.634024635231721e-05,2.3189500097942073e-07,5.65769922949195e-06
1672,5.802087912343268e-06,2.577009867569099e-05,2.3189500097942073e-07,5.802087912343268e-06
1673,5.808027205083428e-06,2.569030039012432e-05,2.3189500097942073e-07,5.808027205083428e-06
1674,3.5053987273516085e-06,2.6803611555286417e-05,2.3189500097942073e-07,3.5053987273516085e-06
1675,3.534644049198375e-06,2.959837703591412e-05,2.3189500097942073e-07,3.534644049198375e-06
1676,3.6125985616308753e-06,3.0430261176661588e-05,2.3189500097942073e-07,3.6125985616308753e-06
1677,3.5771577781166082e-06,3.1716513798788325e-05,0.0,3.5771577781166082e-06
1678,3.4634619428938355e-06,3.330592777014577e-05,0.0,3.4634619428938355e-06
1679,3.060679318878101e-06,3.406535298771425e-05,0.0,3.060679318878101e-06
1680,2.8506327355769045e-06,3.3597166943114386e-05,3.620385768954293e-08,2.8506327355769045e-06
1681,3.0604591399553882e-06,3.4858369482598004e-05,3.620385768954293e-08,3.0604591399553882e-06
1682,2.1758846579749454e-06,3.0095183319645002e-05,3.620385768954293e-08,2.1758846579749454e-06
1683,2.094743422276224e-06,3.078059827592889e-05,8.033831428682398e-08,2.094743422276224e-06
1684,2.151855840436058e-06,2.9409418337828746e-05,8.033831428682398e-08,2.151855840436058e-06
1685,2.1547284469696545e-06,2.6702595537894274e-05,2.621908054477119e-07,2.1547284469696545e-06
1686,2.4859943518354806e-06,2.6699469214820836e-05,2.621908054477119e-07,2.4859943518354806e-06
1687,2.4978698028072747e-06,2.6958118334213005e-05,2.2598694775816902e-07,2.4978698028072747e-06
1688,2.694978158095702e-06,2.6131513940137146e-05,2.2598694775816902e-07,2.694978158095702e-06
1689,2.6337218709418915e-06,2.6321866503816898e-05,2.2598694775816902e-07,2.6337218709418915e-06
1690,2.664886957453356e-06,2.4008833341732888e-05,2.026227820449224e-07,2.664886957453356e-06
1691,2.6907298271388366e-06,2.9178806861247203e-05,2.026227820449224e-07,2.6907298271388366e-06
1692,2.654347830295072e-06,2.9471277749897646e-05,2.0770290884034433e-08,2.654347830295072e-06
1693,2.435460861046782e-06,3.330069427777614e-05,2.0770290884034433e-08,2.435460861046782e-06
1694,2.3101880840061184e-06,3.252819572350875e-05,2.0770290884034433e-08,2.3101880840061184e-06
1695,1.719363889865885e-06,3.0768952326200504e-05,2.0770290884034433e-08,1.719363889865885e-06
1696,1.7188089519290121e-06,3.006598308274988e-05,2.0770290884034433e-08,1.7188089519290121e-06
1697,2.2017311006753256e-06,3.0397088266909122e-05,0.0,2.2017311006753256e-06
1698,2.0392414756185772e-06,2.7235022571403533e-05,2.0742541145019848e-08,2.0392414756185772e-06
1699,1.938912861630472e-06,2.8135544718160027e-05,2.0742541145019848e-08,1.938912861630472e-06
1700,1.9220646509308736e-06,2.5461744111713154e-05,2.0742541145019848e-08,1.9220646509308736e-06
1701,1.9741385658887467e-06,2.7190678468157004e-05,2.0742541145019848e-08,1.9741385658887467e-06
1702,1.8515622295061412e-06,2.8135302272858098e-05,5.6698021515850476e-08,1.8515622295061412e-06
1703,1.8409019771427535e-06,2.823097799721706e-05,5.6698021515850476e-08,1.8409019771427535e-06
1704,1.3235122529360005e-06,3.020252006535884e-05,5.6698021515850476e-08,1.3235122529360005e-06
1705,2.065408080755203e-06,2.958319808905279e-05,5.427108971746618e-08,2.065408080755203e-06
1706,2.609206408773649e-06,3.7722752884811985e-05,5.427108971746618e-08,2.609206408773649e-06
1707,2.5453794023633236e-06,3.767054581008519e-05,6.642354272961321e-08,2.5453794023633236e-06
1708,2.573940946604125e-06,3.658030618680641e-05,6.642354272961321e-08,2.573940946604125e-06
1709,2.370551929483814e-06,3.750668240952239e-05,3.046806235878259e-08,2.370551929483814e-06
1710,2.6255745524395024e-06,3.877256780729762e-05,4.768308567041199e-08,2.6255745524395024e-06
1711,2.6461857974676865e-06,3.850934548868931e-05,4.768308567041199e-08,2.6461857974676865e-06
1712,2.1723942771651698e-06,3.7655441441789404e-05,2.936747632377644e-08,2.1723942771651698e-06
1713,1.7904265600269094e-06,2.9094239445320064e-05,4.0185491505846064e-08,1.7904265600269094e-06
1714,1.984013416793979e-06,2.8760630032463397e-05,5.6747869133947204e-08,1.984013416793979e-06
1715,2.1097984504844395e-06,2.9288261430338025e-05,5.6747869133947204e-08,2.1097984504844395e-06
1716,2.2052373489194518e-06,3.066732149038996e-05,5.6747869133947204e-08,2.2052373489194518e-06
1717,2.2829715362604475e-06,3.1629901578915974e-05,3.95328458223178e-08,2.2829715362604475e-06
1718,2.747174253922172e-06,3.2267456845147535e-05,4.7274602264581386e-08,2.747174253922172e-06
1719,2.5144621531580924e-06,3.254383825281236e-05,4.7274602264581386e-08,2.5144621531580924e-06
1720,3.1027853830372417e-06,3.475748027475285e-05,3.645658708251176e-08,3.1027853830372417e-06
1721,2.9405455279629678e-06,3.296324679727799e-05,7.741756442263587e-09,2.9405455279629678e-06
1722,3.5085973390128596e-06,3.199620810586826e-05,1.546934313978454e-08,3.5085973390128596e-06
1723,4.083005494846605e-06,3.0515222273866778e-05,1.546934313978454e-08,4.083005494846605e-06
1724,3.93381731100817e-06,2.8674909377254414e-05,1.546934313978454e-08,3.93381731100817e-06
1725,3.989004475053142e-06,2.6463580070412718e-05,7.727586697520955e-09,3.989004475053142e-06
1726,4.059930639804017e-06,2.6845014352667412e-05,7.727586697520955e-09,4.059930639804017e-06
1727,3.7028910518139516e-06,2.4782952355703207e-05,1.4570302551776746e-08,3.7028910518139516e-06
1728,4.006815402135544e-06,2.5775561360725468e-05,2.104986255143818e-08,4.006815402135544e-06
1729,3.607429513457256e-06,2.6418911147629842e-05,1.3322275853917226e-08,3.607429513457256e-06
1730,4.089575911945888e-06,2.8864323602257563e-05,1.3322275853917226e-08,4.089575911945888e-06
1731,3.905226484286166e-06,2.8330655758119455e-05,2.7255754986299507e-08,3.905226484286166e-06
1732,4.963152215558304e-06,2.8440966811363717e-05,2.7255754986299507e-08,4.963152215558304e-06
1733,5.305394958148619e-06,2.8424829776797977e-05,2.7255754986299507e-08,5.305394958148619e-06
1734,5.79669162042202e-06,2.8387019223633354e-05,2.0413039132043716e-08,5.79669162042202e-06
1735,5.705169201064564e-06,2.8670766239104394e-05,1.3933479132382282e-08,5.705169201064564e-06
1736,5.693239651398991e-06,2.907618961346868e-05,1.9445804204971344e-08,5.693239651398991e-06
1737,4.972908056645663e-06,2.5543472085181357e-05,3.328906065088891e-08,4.972908056645663e-06
1738,5.181283898179702e-06,2.616534428463118e-05,3.5831030333253825e-08,5.181283898179702e-06
1739,3.658902268658234e-06,2.6330172009433488e-05,5.844744523285174e-08,3.658902268658234e-06
1740,4.177863843324303e-06,2.682978213540212e-05,8.0909280545224e-08,4.177863843324303e-06
1741,4.03612890360299e-06,2.7830874907002518e-05,8.685063132166501e-08,4.03612890360299e-06
1742,4.623493087560096e-06,2.8731957302495304e-05,8.685063132166501e-08,4.623493087560096e-06
1743,5.005233902011241e-06,2.8367768079208743e-05,9.096969983651044e-08,5.005233902011241e-06
1744,5.733140028496564e-06,3.3021713794109277e-05,7.712644339059288e-08,5.733140028496564e-06
1745,6.003723797221028e-06,3.291110936385978e-05,7.327414662329699e-08,6.003723797221028e-06
1746,6.526529692304653e-06,3.346955885977617e-05,6.061368600691302e-08,6.526529692304653e-06
1747,7.316647757501674e-06,3.3759401568594125e-05,4.2311002447702e-08,7.316647757501674e-06
1748,7.105540069980114e-06,3.234085046902432e-05,4.7288847123841804e-08,7.105540069980114e-06
1749,7.744490436120291e-06,3.106249433975401e-05,6.215468825335588e-08,7.744490436120291e-06
1750,7.966246357682394e-06,3.120482194520134e-05,6.241948925987475e-08,7.966246357682394e-06
1751,7.844146693969378e-06,2.752022971565436e-05,6.241948925987475e-08,7.844146693969378e-06
1752,8.824781421675912e-06,2.7389234414191117e-05,5.759351751066788e-08,8.824781421675912e-06
1753,1.0009613041412585e-05,2.769406455627177e-05,4.763756322745394e-08,1.0009613041412585e-05
