ngram,wind,wnd,wind,wid
1819,6.36828741075338e-05,2.9453870961252245e-08,6.36828741075338e-05,3.67880622726651e-07
1820,6.595726673757392e-05,2.8382474275596385e-08,6.595726673757392e-05,3.727817110237603e-07
1821,6.704857410763257e-05,2.8027685569246127e-08,6.704857410763257e-05,3.3754937232645587e-07
1822,6.67865845441286e-05,2.6523505931257725e-08,6.67865845441286e-05,4.6059970161747644e-07
1823,6.695924925484828e-05,2.6495212119519758e-08,6.695924925484828e-05,5.791049367027361e-07
1824,6.767709835133116e-05,2.5847553430935477e-08,6.767709835133116e-05,6.94626558177853e-07
1825,6.62053654585699e-05,2.446290332207874e-08,6.62053654585699e-05,7.369433287099778e-07
1826,6.576374705348696e-05,2.5422296395000947e-08,6.576374705348696e-05,7.921789071068426e-07
1827,6.442241907019966e-05,2.475100251737266e-08,6.442241907019966e-05,8.489141042186279e-07
1828,6.369903296997239e-05,2.348760348119023e-08,6.369903296997239e-05,9.347085584262718e-07
1829,6.125118514838894e-05,2.3553658579089642e-08,6.125118514838894e-05,8.864835925643482e-07
1830,6.140482530879256e-05,2.102007507736354e-08,6.140482530879256e-05,9.803415780749804e-07
1831,6.080864477553405e-05,2.067048525995168e-08,6.080864477553405e-05,1.0634307240512238e-06
1832,6.181620171576339e-05,2.056823080108318e-08,6.181620171576339e-05,1.1204279043600503e-06
1833,6.128484684657971e-05,2.001381587441691e-08,6.128484684657971e-05,1.1680911760387452e-06
1834,6.23881803351521e-05,2.0368207438130933e-08,6.23881803351521e-05,1.2258221074392038e-06
1835,6.235537927880484e-05,2.040551854471622e-08,6.235537927880484e-05,1.2768934506571635e-06
1836,6.562045122596569e-05,2.029674993155238e-08,6.562045122596569e-05,1.336814615829748e-06
1837,6.556873060097652e-05,2.046970288509848e-08,6.556873060097652e-05,1.227966013824958e-06
1838,6.64069812046364e-05,2.153228833330039e-08,6.64069812046364e-05,1.1825805066629464e-06
1839,6.704558264963063e-05,2.2284083657707143e-08,6.704558264963063e-05,1.1740598893084098e-06
1840,6.749084111236568e-05,2.1898344471082964e-08,6.749084111236568e-05,1.1729169792878175e-06
1841,6.697163501355265e-05,2.2044087444328397e-08,6.697163501355265e-05,1.1335631760240567e-06
1842,6.731588967211013e-05,2.3467412394292556e-08,6.731588967211013e-05,1.1500244292100042e-06
1843,6.62981578248686e-05,2.384721296623736e-08,6.62981578248686e-05,1.1285153667423792e-06
1844,6.638371165276371e-05,2.483113803464221e-08,6.638371165276371e-05,1.1408624881629033e-06
1845,6.559184631831678e-05,2.4237485161750427e-08,6.559184631831678e-05,1.0460719051609755e-06
1846,6.433114841846483e-05,2.53716336828802e-08,6.433114841846483e-05,1.0121258599480955e-06
1847,6.450023335803832e-05,2.6227628323129337e-08,6.450023335803832e-05,9.693450319251236e-07
1848,6.464394079687606e-05,2.650866929140453e-08,6.464394079687606e-05,1.0008416617373378e-06
1849,6.46249609417282e-05,2.7228137458986827e-08,6.46249609417282e-05,1.0318566653820329e-06
1850,6.462839415429958e-05,2.8133606936161674e-08,6.462839415429958e-05,1.0234741044509325e-06
1851,6.439510096762595e-05,2.7936974384650578e-08,6.439510096762595e-05,1.0018435107537828e-06
1852,6.478313402372546e-05,2.982202497646215e-08,6.478313402372546e-05,1.0702369032904763e-06
1853,6.535542239102401e-05,2.9759046021078054e-08,6.535542239102401e-05,1.1513229846319258e-06
1854,6.546045187860727e-05,3.1182975439898135e-08,6.546045187860727e-05,1.2890361875049296e-06
1855,6.528271686485303e-05,3.2250616145899717e-08,6.528271686485303e-05,1.2497107166252266e-06
1856,6.466658877408398e-05,3.201180222488022e-08,6.466658877408398e-05,1.1513277026356912e-06
1857,6.496877384571624e-05,3.442618177830679e-08,6.496877384571624e-05,1.3087546660374625e-06
1858,6.413111727202445e-05,3.5115568865405426e-08,6.413111727202445e-05,1.4046216116574733e-06
1859,6.325489500470991e-05,3.3938157173452055e-08,6.325489500470991e-05,1.5329737266256416e-06
1860,6.179309691235955e-05,3.442885798676798e-08,6.179309691235955e-05,1.4891099177865336e-06
1861,6.0964927667685386e-05,3.4189385798656854e-08,6.0964927667685386e-05,1.4796550869635081e-06
1862,6.0546957164271067e-05,3.4580659859427346e-08,6.0546957164271067e-05,1.6484197301126966e-06
1863,5.9899425520727944e-05,3.438652841834612e-08,5.9899425520727944e-05,1.717464345217325e-06
1864,5.929858213806126e-05,3.316513996765025e-08,5.929858213806126e-05,1.5781302116530632e-06
1865,5.895039326527954e-05,3.34670960151178e-08,5.895039326527954e-05,1.514454116399325e-06
1866,5.867750795524833e-05,3.380375852251356e-08,5.867750795524833e-05,1.346285931244243e-06
1867,5.891186810913496e-05,3.4254567944052335e-08,5.891186810913496e-05,1.4964554598658912e-06
1868,5.889882751424531e-05,3.67303805148822e-08,5.889882751424531e-05,1.4024410737485077e-06
1869,5.82825684562392e-05,3.671969039942269e-08,5.82825684562392e-05,1.2675995516734214e-06
1870,5.914357773560498e-05,3.925831139538007e-08,5.914357773560498e-05,1.2460062797409982e-06
1871,5.944210715824738e-05,3.983964853253903e-08,5.944210715824738e-05,1.3239054104425513e-06
1872,6.472186682263523e-05,4.29586575835726e-08,6.472186682263523e-05,1.5861129765783386e-06
1873,6.981382934359967e-05,4.563189597612498e-08,6.981382934359967e-05,1.782439962231105e-06
1874,7.216329894228173e-05,4.5263522200197515e-08,7.216329894228173e-05,1.6561249042622097e-06
1875,7.309482836197796e-05,4.183412828849344e-08,7.309482836197796e-05,1.6825962835095458e-06
1876,7.42400245923948e-05,4.263569002611283e-08,7.42400245923948e-05,1.7487511740910122e-06
1877,7.419163219830287e-05,4.089338290214073e-08,7.419163219830287e-05,1.9188336994245347e-06
1878,7.343779621546023e-05,4.235236872318637e-08,7.343779621546023e-05,2.1448007113836605e-06
1879,6.851485055189446e-05,4.0310798762480515e-08,6.851485055189446e-05,2.0509518695429766e-06
1880,6.418627942496511e-05,3.878514525419112e-08,6.418627942496511e-05,2.096158401140461e-06
1881,6.18721782562456e-05,3.834551673013006e-08,6.18721782562456e-05,2.1033805199164945e-06
1882,6.0319032594894194e-05,3.840538553845363e-08,6.0319032594894194e-05,2.1317744247945873e-06
1883,5.919590486363242e-05,3.7666717998620566e-08,5.919590486363242e-05,2.1067214999805273e-06
1884,5.8292707503174567e-05,3.7087121183633694e-08,5.8292707503174567e-05,1.943773343425294e-06
1885,5.7778300418119344e-05,3.596122307872715e-08,5.7778300418119344e-05,1.9355895152070194e-06
1886,5.722550590040295e-05,3.532241267732518e-08,5.722550590040295e-05,1.8278977254989774e-06
1887,5.618354147632739e-05,3.4592514249912453e-08,5.618354147632739e-05,1.6886074750540762e-06
1888,5.520692970354243e-05,3.557771474252799e-08,5.520692970354243e-05,1.673208625366637e-06
