ngram,angle,angl,anglee,anggle
1866,3.5462465997885116e-05,1.7580860069342308e-08,4.3446417098889714e-10,0.0
1867,3.454546718525567e-05,1.5288832929830472e-08,5.641015432544805e-10,0.0
1868,3.456829030515759e-05,1.7142255234351263e-08,8.329717392032063e-10,0.0
1869,3.4314406158435827e-05,1.6498320297232893e-08,7.215351966698741e-10,0.0
1870,3.49538355034643e-05,1.7378186255103045e-08,7.050309304622106e-10,0.0
1871,3.52422175637912e-05,1.7774621647553042e-08,7.390879337115003e-10,0.0
1872,3.5088721363406095e-05,1.890658131640878e-08,7.800396439883173e-10,0.0
1873,3.525022683399064e-05,2.010405454809318e-08,7.25338289431221e-10,0.0
1874,3.586176483492766e-05,1.9771504560545898e-08,6.751823465402294e-10,0.0
1875,3.660654432938567e-05,1.8275091915955144e-08,4.865422112817644e-10,0.0
1876,3.662641808789756e-05,1.979600813431911e-08,5.632061801057781e-10,0.0
1877,3.654268117056095e-05,2.427400934225586e-08,4.714484715316405e-10,0.0
1878,3.637422819987738e-05,2.4733692935033754e-08,4.6286706610411596e-10,0.0
1879,3.6830222857783414e-05,2.4746806001222207e-08,4.91742983634223e-10,0.0
1880,3.7136144653361824e-05,2.4561418803565564e-08,5.452722123029069e-10,3.2886683455833425e-11
1881,3.742262716904017e-05,2.4785109583750194e-08,6.551843631122775e-10,3.2886683455833425e-11
1882,3.70215748262126e-05,2.535218359054982e-08,9.638692344271504e-10,3.2886683455833425e-11
1883,3.6615853397441765e-05,2.3718970153043173e-08,1.0156957774842823e-09,3.2886683455833425e-11
1884,3.595554517232813e-05,2.1959323248665896e-08,1.1943204520597256e-09,3.2886683455833425e-11
1885,3.556990434714992e-05,2.3453508595545306e-08,1.23784284409924e-09,6.190996128450723e-11
1886,3.492209465808368e-05,2.46995675975573e-08,1.305958301817916e-09,6.190996128450723e-11
1887,3.470758435599107e-05,2.6941575573654778e-08,1.5336531568520074e-09,2.90232778286738e-11
1888,3.437739776148062e-05,2.7077042068819017e-08,1.4522709463576128e-09,2.90232778286738e-11
1889,3.4338534273306974e-05,2.707260422190367e-08,1.1680395936178707e-09,2.90232778286738e-11
1890,3.494752464965651e-05,3.216537614036952e-08,1.3178016773045848e-09,2.90232778286738e-11
1891,3.5627665576092636e-05,2.870387204114065e-08,1.3090657446923615e-09,2.90232778286738e-11
1892,3.6125045880908147e-05,2.61893148437561e-08,1.5300463673817433e-09,0.0
1893,3.677344076485107e-05,2.355498513700078e-08,1.4843499762662304e-09,0.0
1894,3.66765057801136e-05,1.9944787282050972e-08,1.1913837059753162e-09,0.0
1895,3.710446305506464e-05,2.0869724615124596e-08,1.125714751574033e-09,0.0
1896,3.678385889673207e-05,2.067023339792838e-08,1.0404115981442276e-09,0.0
1897,3.6319741671572304e-05,1.79691914681257e-08,9.850800651380253e-10,0.0
1898,3.576502941931332e-05,2.2059038659197735e-08,8.523923233916264e-10,0.0
1899,3.555065736041537e-05,2.5477113371355894e-08,5.881742156813427e-10,0.0
1900,3.532695076760969e-05,2.989837812249009e-08,5.682099394174348e-10,0.0
