ngram,technology,technolgy,technlogy,technolgy
1706,4.0471267733924576e-08,0.0,0.0,0.0
1707,5.177832105930845e-08,0.0,0.0,0.0
1708,5.177832105930845e-08,0.0,0.0,0.0
1709,5.177832105930845e-08,0.0,0.0,0.0
1710,1.2063841430582605e-07,0.0,0.0,0.0
1711,1.2063841430582605e-07,0.0,0.0,0.0
1712,9.316499927081168e-08,0.0,0.0,0.0
1713,9.316499927081168e-08,0.0,0.0,0.0
1714,2.1171846924517013e-06,0.0,0.0,0.0
1715,2.1171846924517013e-06,0.0,0.0,0.0
1716,2.1171846924517013e-06,0.0,0.0,0.0
1717,2.0483245992051835e-06,0.0,0.0,0.0
1718,2.0483245992051835e-06,0.0,0.0,0.0
1719,2.0746640834496636e-06,0.0,0.0,0.0
1720,2.0746640834496636e-06,0.0,0.0,0.0
1721,3.241814588201513e-07,0.0,0.0,0.0
1722,3.319090455176722e-07,0.0,0.0,0.0
1723,3.319090455176722e-07,0.0,0.0,0.0
1724,3.319090455176722e-07,0.0,0.0,0.0
1725,3.319090455176722e-07,0.0,0.0,0.0
1726,3.9499453155908017e-07,0.0,0.0,0.0
1727,3.9499453155908017e-07,0.0,0.0,0.0
1728,9.715255698340894e-08,0.0,0.0,0.0
1729,8.9424970285888e-08,0.0,0.0,0.0
1730,8.9424970285888e-08,0.0,0.0,0.0
1731,1.730258450801817e-07,0.0,0.0,0.0
1732,1.730258450801817e-07,0.0,0.0,0.0
1733,8.36008747942937e-08,0.0,0.0,0.0
1734,8.876260640785663e-08,0.0,0.0,0.0
1735,1.0169645849243483e-07,0.0,0.0,0.0
1736,1.0169645849243483e-07,0.0,0.0,0.0
1737,1.0169645849243483e-07,0.0,0.0,0.0
1738,1.8095583698141127e-08,0.0,0.0,0.0
1739,2.132650018487376e-08,0.0,0.0,0.0
1740,2.132650018487376e-08,0.0,0.0,0.0
1741,5.181287221489583e-08,0.0,0.0,0.0
1742,3.887902013031765e-08,0.0,0.0,0.0
1743,3.887902013031765e-08,0.0,0.0,0.0
