ngram,duty,dut,dutty,dut
1682,0.00011655477802768084,7.220162915798158e-07,0.0,7.220162915798158e-07
1683,9.832673666616236e-05,6.373112171331741e-07,0.0,6.373112171331741e-07
1684,0.00010249216315319895,7.498329231176675e-07,0.0,7.498329231176675e-07
1685,8.894829235422159e-05,7.30776134462628e-07,0.0,7.30776134462628e-07
1686,9.417621341916467e-05,6.060178309650967e-07,0.0,6.060178309650967e-07
1687,9.033320644188539e-05,5.205044228010333e-07,0.0,5.205044228010333e-07
1688,7.800298252342535e-05,5.223443062212547e-07,0.0,5.223443062212547e-07
1689,7.412903037870169e-05,5.16252656877571e-07,0.0,5.16252656877571e-07
1690,7.870668092177116e-05,5.551993638164276e-07,0.0,5.551993638164276e-07
1691,7.020252295270828e-05,4.58023565995193e-07,0.0,4.58023565995193e-07
1692,7.14796270975577e-05,5.157462875818705e-07,0.0,5.157462875818705e-07
1693,6.25968906596037e-05,5.896146433315153e-07,0.0,5.896146433315153e-07
1694,5.879038300398471e-05,5.728001042371034e-07,0.0,5.728001042371034e-07
1695,5.9029880503658205e-05,5.882357397370339e-07,0.0,5.882357397370339e-07
1696,6.335911322301919e-05,5.722519550285401e-07,0.0,5.722519550285401e-07
1697,5.992637202975207e-05,5.332532404216701e-07,0.0,5.332532404216701e-07
1698,6.955600214756228e-05,5.569200303463211e-07,0.0,5.569200303463211e-07
1699,6.713025660636569e-05,5.039275135589248e-07,0.0,5.039275135589248e-07
1700,6.41117094346555e-05,4.511543595851565e-07,0.0,4.511543595851565e-07
1701,6.0956582923868806e-05,4.4610232764950653e-07,0.0,4.4610232764950653e-07
1702,7.054036047650567e-05,3.960602735933857e-07,0.0,3.960602735933857e-07
1703,7.67281809593052e-05,3.835778079925538e-07,0.0,3.835778079925538e-07
1704,7.499663193552156e-05,3.7414242573926716e-07,0.0,3.7414242573926716e-07
1705,5.92256793814678e-05,3.381747483948467e-07,0.0,3.381747483948467e-07
1706,6.01325500610983e-05,3.1712857812798187e-07,1.1075382896511395e-08,3.1712857812798187e-07
1707,5.8253882993345284e-05,2.496031155731414e-07,1.1075382896511395e-08,2.496031155731414e-07
1708,5.414049623401037e-05,3.0743653565780603e-07,1.1075382896511395e-08,3.0743653565780603e-07
1709,4.499277357743787e-05,4.277265556343731e-07,1.1075382896511395e-08,4.277265556343731e-07
1710,3.288977677584626e-05,4.303393877437754e-07,1.1075382896511395e-08,4.303393877437754e-07
1711,2.902439103179079e-05,4.441539666848777e-07,1.1075382896511395e-08,4.441539666848777e-07
1712,2.6515810532146133e-05,4.292495877474981e-07,1.1075382896511395e-08,4.292495877474981e-07
1713,3.188550986773667e-05,4.7149217761800954e-07,0.0,4.7149217761800954e-07
1714,3.621493228170688e-05,4.924644798620648e-07,0.0,4.924644798620648e-07
1715,3.68663807291471e-05,4.719093068063428e-07,0.0,4.719093068063428e-07
1716,3.3803017036656714e-05,4.636035413341233e-07,0.0,4.636035413341233e-07
1717,3.582731525446954e-05,4.329504759782919e-07,0.0,4.329504759782919e-07
1718,3.8377676121724236e-05,4.23197611049935e-07,0.0,4.23197611049935e-07
1719,3.808635769278875e-05,4.673194829203047e-07,0.0,4.673194829203047e-07
1720,3.2483761710214564e-05,4.2608100362226e-07,0.0,4.2608100362226e-07
1721,3.1879679486987046e-05,3.8617145849327373e-07,0.0,3.8617145849327373e-07
1722,3.161015073211664e-05,3.9910797308298894e-07,0.0,3.9910797308298894e-07
1723,3.5813818612950854e-05,3.3689032160769526e-07,0.0,3.3689032160769526e-07
1724,3.2044975211777326e-05,3.3977973349205317e-07,0.0,3.3977973349205317e-07
1725,3.044387241451269e-05,3.6724752914908875e-07,0.0,3.6724752914908875e-07
1726,3.198984190281148e-05,3.2694880961311614e-07,0.0,3.2694880961311614e-07
1727,3.2773724472333144e-05,3.2269946359519963e-07,0.0,3.2269946359519963e-07
1728,3.2976086523766366e-05,3.5701582744098103e-07,0.0,3.5701582744098103e-07
1729,3.786181098673426e-05,3.575592911277324e-07,0.0,3.575592911277324e-07
1730,3.63739540521887e-05,3.449069570901234e-07,0.0,3.449069570901234e-07
1731,3.747050972638785e-05,3.6651117138067744e-07,0.0,3.6651117138067744e-07
1732,3.9467709419633525e-05,3.253686904664781e-07,0.0,3.253686904664781e-07
1733,4.2953093985228664e-05,3.700663963205183e-07,0.0,3.700663963205183e-07
1734,4.3020310321091006e-05,3.651422214748631e-07,0.0,3.651422214748631e-07
1735,4.348089870680789e-05,3.456403711814866e-07,0.0,3.456403711814866e-07
1736,4.3361934720970953e-05,3.361842045381179e-07,0.0,3.361842045381179e-07
1737,4.445641492826066e-05,3.147712886532515e-07,0.0,3.147712886532515e-07
1738,6.033618878323718e-05,3.0149698204695596e-07,0.0,3.0149698204695596e-07
1739,6.345105326285452e-05,3.3138846536725654e-07,3.2309164867326346e-09,3.3138846536725654e-07
1740,6.240133318767351e-05,2.910898818494648e-07,3.2309164867326346e-09,2.910898818494648e-07
