ngram,lan,loon
1833,1.9115142322334577e-06,2.648323130318074e-07
1834,1.910675434503771e-06,2.529517400619495e-07
1835,1.8947938705033657e-06,2.3521506469543446e-07
1836,1.8711843787449261e-06,2.310766628202795e-07
1837,1.8458306547992315e-06,2.2566454812736732e-07
1838,1.7841198801501638e-06,2.1889845567914434e-07
1839,1.758537856793347e-06,2.2552828227162536e-07
1840,1.7299203136644792e-06,2.3249415497567888e-07
1841,1.7188598511503578e-06,2.3158481659330781e-07
1842,1.6959239701463957e-06,2.337552424640827e-07
1843,1.6810504510950913e-06,2.3483207201024925e-07
1844,1.6718146136034712e-06,2.3232282282086609e-07
1845,1.661362148297485e-06,2.2815211561269928e-07
1846,1.6437414030536144e-06,2.1672479379373855e-07
1847,1.6481062630191445e-06,2.0934829032220087e-07
1848,1.640701546940753e-06,2.1238279503320102e-07
1849,1.6370999479217322e-06,2.1545156414504163e-07
1850,1.6496147574278958e-06,2.1858378066294142e-07
1851,1.6645345795041067e-06,2.264256226323726e-07
1852,1.6623674972444341e-06,2.3842195925486263e-07
1853,1.6977976591598626e-06,2.535433968172843e-07
1854,1.707562043001027e-06,2.550768515772818e-07
1855,1.7204406179059463e-06,2.559200140694884e-07
1856,1.7250808111514613e-06,2.5083202055092055e-07
1857,1.7202717604699761e-06,2.608395764777275e-07
1858,1.6780267385131862e-06,2.58479900594466e-07
1859,1.6653670594938115e-06,2.4969830089308485e-07
1860,1.6431471457118668e-06,2.4270513319736763e-07
1861,1.6065988087835388e-06,2.485326189928726e-07
1862,1.5796018552854157e-06,2.551911149696805e-07
1863,1.5772742959338108e-06,2.741103141293674e-07
1864,1.5587716331668031e-06,2.668477472005699e-07
1865,1.5703750477769063e-06,2.6911023910867827e-07
1866,1.5741836218044876e-06,2.8198551506518144e-07
1867,1.5977460147301566e-06,2.8294960990089227e-07
1868,1.5868042412746166e-06,2.86448082777367e-07
1869,1.5717577070972766e-06,2.792884775512253e-07
1870,1.5397387674706157e-06,2.6720810199419377e-07
1871,1.5087535497774037e-06,2.7087462837828623e-07
1872,1.4817107967246557e-06,2.784975480705855e-07
1873,1.4721808026609194e-06,2.711488552417255e-07
1874,1.4087064853031604e-06,2.759465006972407e-07
1875,1.4142740058429939e-06,2.710232312860431e-07
1876,1.4252936547823732e-06,2.8013599262521893e-07
1877,1.41913668422993e-06,2.861111413819474e-07
1878,1.4425643095299684e-06,2.8614697709729497e-07
1879,1.4507157207585157e-06,2.872181060605986e-07
1880,1.4400766466288978e-06,2.998529851083731e-07
1881,1.4408219450550469e-06,2.9595193495879357e-07
1882,1.4237115887486392e-06,2.980711185175876e-07
1883,1.426548919880588e-06,2.9831997494511597e-07
1884,1.4535276672436988e-06,2.885305637586758e-07
1885,1.4474539479384215e-06,2.859332417821341e-07
1886,1.4373164114139009e-06,2.8292415419985316e-07
1887,1.4346385666742987e-06,2.7061497170117424e-07
1888,1.454262928746175e-06,2.6785430813041397e-07
1889,1.4460896084399013e-06,2.7528709673723437e-07
1890,1.4152206274177712e-06,2.851594181103272e-07
1891,1.351982194007308e-06,2.9508542809253413e-07
1892,1.33467460727843e-06,3.087242837247166e-07
1893,1.3003551008036344e-06,3.153678948462714e-07
1894,1.2631513430148646e-06,3.147113614789175e-07
1895,1.2195048384455731e-06,3.246503662727004e-07
1896,1.1945897995246924e-06,3.2455130037435863e-07
1897,1.183225094791851e-06,3.221824158572417e-07
1898,1.1941751024226375e-06,3.3105791073597045e-07
1899,1.16428165191402e-06,3.226343738203598e-07
1900,1.1779614754102243e-06,3.1242919362739485e-07
1901,1.1700667853022293e-06,3.1803203017131766e-07
1902,1.1783675810355426e-06,3.1606650655443704e-07
1903,1.1833128123076416e-06,3.1088352362270856e-07
1904,1.1820663010959315e-06,2.9680800902756997e-07
1905,1.1634502925517154e-06,2.7638501722192033e-07
1906,1.1624778153418447e-06,2.6893625561440005e-07
1907,1.1412993054753834e-06,2.7356163708905766e-07
1908,1.159944872597407e-06,2.6127480014435734e-07
1909,1.1398941036791906e-06,2.5269069681144174e-07
1910,1.1318539593828194e-06,2.402503095514216e-07
1911,1.1061377205935839e-06,2.3368507738398746e-07
1912,1.0845904106255538e-06,2.244277063872297e-07
1913,1.0611340631580139e-06,2.1826722575367186e-07
1914,1.0421232364673675e-06,2.0233005061852184e-07
1915,9.969257348529936e-07,2.0084370484190523e-07
1916,1.0009392375260567e-06,2.2694038039259924e-07
1917,9.834631506626984e-07,2.203834473643188e-07
1918,9.733846663298858e-07,2.195071837312363e-07
1919,9.669481398434852e-07,2.2243224252958627e-07
1920,9.58798239025782e-07,2.2841447438232925e-07
1921,9.397014082423993e-07,2.3419456088699269e-07
1922,9.234727177239879e-07,2.418478106034984e-07
1923,9.025301648892179e-07,2.1894700604921775e-07
1924,8.746210937715659e-07,2.2884319962811007e-07
1925,8.63916389854629e-07,2.3218954530485852e-07
1926,8.47975221469304e-07,2.4091745030675936e-07
1927,8.341907329980001e-07,2.3440988984800371e-07
1928,8.398189298272232e-07,2.3671093580495445e-07
1929,8.373131095140707e-07,2.319215265548077e-07
1930,8.183033222459406e-07,2.2241770685533474e-07
