ngram,sense,senese,snse,senes
1849,0.00015026729670353234,1.3356571404443685e-10,7.762458136590616e-10,4.506616616392226e-08
1850,0.00014988954353611916,1.3356571404443685e-10,8.711856315711332e-10,4.431329233714873e-08
1851,0.000151349077766229,0.0,9.436885638004965e-10,4.399572439695021e-08
1852,0.00015082750178407878,0.0,8.607726039880756e-10,4.70174269042088e-08
1853,0.0001506685241890539,0.0,8.268502866520017e-10,4.602036745333342e-08
1854,0.0001488383485203875,0.0,9.581486556545622e-10,4.567658606902114e-08
1855,0.00014760866179130971,0.0,1.0587803015279666e-09,4.609242562228896e-08
1856,0.0001477963856554457,9.939760919103996e-11,1.0923161740196618e-09,4.780640746763051e-08
1857,0.000147039261979184,1.4753183595418917e-10,1.1417790363970376e-09,4.592790148194581e-08
1858,0.00014439544715319892,2.6273886241260213e-10,1.3481143344508594e-09,4.5442742394438285e-08
1859,0.00014338523656728545,9.93891524636581e-10,1.541270317722316e-09,4.611124536170662e-08
1860,0.00014284088891664787,1.1158819424039734e-09,1.688732471321381e-09,4.6338546460284695e-08
1861,0.00014251608808990568,1.2853419757113166e-09,1.6621698937870276e-09,4.5817379604581477e-08
1862,0.00014204218002435352,1.2853419757113166e-09,1.7307542700604829e-09,4.357713326693816e-08
1863,0.00014156171943925853,1.1859443665202767e-09,1.8641632999154875e-09,4.1304171511618345e-08
1864,0.00014081459916529378,1.1378101397571276e-09,1.7668557410794555e-09,4.2281370785498696e-08
1865,0.00014060156328404055,1.3321889623187288e-09,1.7308205027940664e-09,4.184567816066322e-08
1866,0.00013978405955380628,6.010363000947499e-10,1.708301056169148e-09,4.0412191180751374e-08
1867,0.00013963393160208528,4.790458823273574e-10,1.5939575928999465e-09,3.9322826645664984e-08
1868,0.0001413859156725396,3.543975470231077e-10,1.5024459692242991e-09,3.973163639362351e-08
1869,0.0001425360470810639,3.543975470231077e-10,1.421784031777459e-09,4.038658525067669e-08
1870,0.00014295042534026185,3.543975470231077e-10,1.1243539036317633e-09,4.340098667756008e-08
1871,0.0001439063739131338,3.9497360937446047e-10,1.3612912305330634e-09,4.153112672814327e-08
1872,0.0001447072344100369,1.2633947063126324e-10,1.215512222620317e-09,4.350352027821762e-08
1873,0.00014488500476415669,1.2633947063126324e-10,1.189357874092118e-09,4.415219758056667e-08
1874,0.0001438036623377619,1.2633947063126324e-10,1.2186833605757182e-09,4.328802535472473e-08
1875,0.00014184958750515113,8.152777262816966e-11,1.2045933536367466e-09,4.265182010751037e-08
1876,0.00014008369388258352,1.1985975704017652e-10,1.198323844915044e-09,4.454745474090162e-08
1877,0.0001391136652923056,7.48989838404514e-10,1.183754269210421e-09,4.2130760340748045e-08
1878,0.0001389882402561073,7.446991356907517e-10,1.0085779037335589e-09,4.330253641374579e-08
1879,0.00013891271581607207,1.157626994263694e-09,8.796848765297532e-10,4.1965280774190564e-08
1880,0.0001392365208760436,1.4536071552789004e-09,7.504144845198774e-10,4.0747851569124446e-08
1881,0.00013983504530707641,1.5167383460301664e-09,7.808452059546564e-10,4.1221124291723754e-08
1882,0.00013901072088629007,1.7436053949866042e-09,7.577288479205485e-10,4.1043711413684443e-08
1883,0.0001384412607876584,1.7052734105745974e-09,6.945594337765775e-10,3.811068387855292e-08
1884,0.00013684711302630603,1.1066542365029924e-09,8.687433471012338e-10,3.8252743195243966e-08
1885,0.0001351075791587521,1.3606016670473865e-09,9.050036593143724e-10,3.79398475810636e-08
1886,0.0001331707462668419,1.2377854971149356e-09,9.528556951402374e-10,3.68583832661378e-08
1887,0.0001328866887238941,9.418053360997293e-10,1.0528861433505605e-09,3.777738807489836e-08
1888,0.00013127805141266435,9.056769877708553e-10,1.1065181469506668e-09,3.819971792852682e-08
1889,0.00013179033703636378,7.049808336307655e-10,1.0616312035820791e-09,3.821336440929761e-08
1890,0.00013124612451065332,7.049808336307655e-10,9.837320719923476e-10,3.951573646077122e-08
1891,0.0001312497105183346,1.0841507552816765e-09,8.420650208863987e-10,3.8142829846979764e-08
1892,0.00012991235416848212,1.8950254877208347e-09,8.767212828735588e-10,3.818819546300542e-08
