ngram,daughter,daughtr,daughtr,daugter
1745,4.3571189962676726e-05,0.0,0.0,1.2862310074167129e-08
1746,4.7766770876478404e-05,0.0,0.0,9.631393587434495e-09
1747,4.7573187787617955e-05,0.0,0.0,9.631393587434495e-09
1748,4.854573074096281e-05,0.0,0.0,9.631393587434495e-09
1749,4.860388954901802e-05,0.0,0.0,9.631393587434495e-09
1750,5.0548034258619214e-05,0.0,0.0,0.0
1751,4.6505259628507444e-05,0.0,0.0,0.0
1752,4.846108952603702e-05,0.0,0.0,0.0
1753,6.197842698644049e-05,0.0,0.0,0.0
1754,6.569675887086695e-05,0.0,0.0,0.0
1755,7.283587651077792e-05,0.0,0.0,0.0
1756,8.047159021121583e-05,0.0,0.0,0.0
1757,8.980321477533184e-05,0.0,0.0,0.0
1758,9.59167061539899e-05,0.0,0.0,0.0
1759,0.00010271601266660062,0.0,0.0,0.0
1760,9.099850493449984e-05,0.0,0.0,0.0
1761,9.393724238699568e-05,0.0,0.0,0.0
1762,9.592352060800684e-05,0.0,0.0,0.0
1763,9.486612127927531e-05,0.0,0.0,0.0
1764,9.051653822617871e-05,0.0,0.0,0.0
1765,8.94878726934881e-05,0.0,0.0,0.0
1766,8.837839206015425e-05,0.0,0.0,0.0
1767,9.314161122477214e-05,0.0,0.0,0.0
1768,0.00011108075497239562,0.0,0.0,2.682212547305036e-09
