ngram,television,televsion,telvision,televison
1911,1.3935616825579344e-07,2.7547779533700277e-11,1.372445411286703e-11,6.886944982552125e-11
1912,1.4087190436384844e-07,2.7547779533700277e-11,1.372445411286703e-11,6.886944982552125e-11
1913,1.5656394986811912e-07,2.7547779533700277e-11,1.372445411286703e-11,6.886944982552125e-11
1914,1.533882953351297e-07,2.7547779533700277e-11,1.372445411286703e-11,8.348593939182841e-11
1915,1.568546988802869e-07,2.7547779533700277e-11,0.0,8.348593939182841e-11
1916,1.5930699350162415e-07,2.7547779533700277e-11,0.0,8.348593939182841e-11
1917,5.393213241079918e-08,0.0,0.0,1.461648956630717e-11
1918,5.744021791542764e-08,0.0,0.0,1.461648956630717e-11
1919,5.8765288762125626e-08,0.0,0.0,1.461648956630717e-11
1920,5.4743891959268305e-08,0.0,0.0,3.7818144449364155e-11
1921,7.104464166169627e-08,0.0,0.0,2.3201654883056986e-11
1922,1.913568051950928e-07,0.0,0.0,9.565553904522517e-11
1923,2.621782866997689e-07,2.4553444594970538e-11,0.0,1.2020898364019572e-10
1924,4.5050311671600086e-07,9.781803740021339e-11,0.0,3.400027541257598e-10
1925,7.166951684821145e-07,9.781803740021339e-11,4.6010350291630124e-11,3.630079292715749e-10
1926,9.921998247770197e-07,9.781803740021339e-11,4.6010350291630124e-11,7.526983044784227e-10
1927,1.2869881333342294e-06,1.4329479468079753e-10,4.6010350291630124e-11,7.749734068759498e-10
1928,1.6692970835460334e-06,1.8891376756575388e-10,1.144388116016058e-10,9.574492984157752e-10
1929,1.8782824408195405e-06,1.8891376756575388e-10,1.144388116016058e-10,1.011424400581313e-09
1930,2.052414921698593e-06,1.6436032297078336e-10,1.144388116016058e-10,1.09578052782349e-09
1931,2.193331543561986e-06,9.10957301655405e-11,1.4067182141364043e-10,1.0596178200745448e-09
1932,2.3944241840061816e-06,9.10957301655405e-11,1.1830471721311194e-10,1.083899137110933e-09
1933,2.7894341688547035e-06,1.3743004750083847e-10,1.6463903454840993e-10,9.25880348580575e-10
1934,3.1177590926745324e-06,9.195329022025435e-11,1.8710690933129318e-10,1.3971647013936002e-09
1935,3.308462851236982e-06,4.633431733529798e-11,1.4090078112197598e-10,1.5702461394643104e-09
1936,3.978807707686169e-06,8.820918202217293e-11,1.8277564580885094e-10,1.8206909234232326e-09
1937,4.596420142531445e-06,8.820918202217293e-11,1.8277564580885094e-10,2.0484175942771442e-09
1938,4.856967409848169e-06,1.0996143281641731e-10,1.5654263599681632e-10,2.212822544248435e-09
1939,5.0548434436288e-06,1.8464351079851482e-10,1.5779341523890012e-10,2.414476301433004e-09
1940,4.9835755037617806e-06,2.41482242932126e-10,1.1145909790360215e-10,2.724463242311158e-09
1941,6.0900829989155425e-06,4.0695365728054307e-10,3.371983605036734e-10,2.9799020869906e-09
1942,7.25993985335143e-06,6.311260680735842e-10,4.3951625474024173e-10,3.3466780616616833e-09
1943,8.104300572345632e-06,8.252377828707072e-10,6.121746383623363e-10,4.042470564640561e-09
1944,9.144289638892847e-06,1.052893645286141e-09,8.967444663816287e-10,4.407773273357967e-09
1945,1.1105635556824772e-05,1.2000661734187394e-09,9.905915710722064e-10,5.092055364665425e-09
1946,1.314445970430305e-05,1.3074132490916872e-09,1.1973710039343238e-09,5.951838133455567e-09
1947,1.5986475253677262e-05,1.6843924984958188e-09,1.4126116863545845e-09,7.165219021284688e-09
1948,1.8322387014839997e-05,1.9293210838457396e-09,1.3354045567761018e-09,8.068819009768698e-09
1949,2.0882336165024234e-05,2.147308886257804e-09,1.4319444360414276e-09,9.778366941556475e-09
1950,2.4451206627418287e-05,2.3512416775466657e-09,1.7757703878779856e-09,1.1057577329966404e-08
1951,2.7738877698928782e-05,2.884844363393313e-09,1.623593347068107e-09,1.247392297390856e-08
1952,2.9977130127787988e-05,3.0923343568340603e-09,1.9218449768107095e-09,1.3621673820653411e-08
1953,3.3335665648337454e-05,3.4280500025931003e-09,1.8784423619752235e-09,1.5431148803202177e-08
1954,3.552180351107381e-05,3.470472131894553e-09,1.9825527013723435e-09,1.6347045368141673e-08
1955,3.7170790164964274e-05,3.697819193705852e-09,2.086943483105484e-09,1.7207739614174703e-08
1956,3.862288057072354e-05,3.942527257042425e-09,2.229499513577744e-09,1.7698415558494877e-08
1957,3.873750756611116e-05,3.98686946948398e-09,1.9260148317482415e-09,1.7704128068325124e-08
1958,3.92588772228919e-05,3.582665148676207e-09,2.007854581011413e-09,1.8085223223757955e-08
1959,4.040856323886796e-05,3.7144776461011428e-09,1.898104308649197e-09,1.901098757782295e-08
1960,3.9173270904159707e-05,3.4296657894624818e-09,2.0698207433714597e-09,1.9004451345949747e-08
1961,3.853818738467193e-05,3.3910808129787385e-09,2.0431145188380485e-09,1.9203685498934775e-08
1962,3.8003985017504806e-05,3.426649630711154e-09,2.0125658758577256e-09,1.9033998758085805e-08
1963,3.794156145886518e-05,3.442955190787903e-09,1.866814575939608e-09,1.8696348088756816e-08
1964,3.836390793107317e-05,3.759098175594642e-09,2.142545363348347e-09,1.971125028278818e-08
1965,3.786307466465847e-05,3.922133760627032e-09,2.139874785303927e-09,2.0685012559949556e-08
