x_sums,y_sums,x_ture,y_ture
323,1.7548666113904284e-07,323,3.434238819214183e-05
324,1.7459527030488129e-07,324,3.4002866024301124e-05
325,1.7279842065168595e-07,325,3.397637400277225e-05
326,1.7485010518823533e-07,326,3.3206743475083e-05
327,1.7430473014152478e-07,327,3.328024519890148e-05
328,1.7865206634683416e-07,328,3.342052046459035e-05
329,1.829861326590228e-07,329,3.3748181262386166e-05
330,1.7351649780498036e-07,330,3.516616145913888e-05
331,1.6545649663056242e-07,331,3.5430129043691393e-05
332,1.7073011880443444e-07,332,3.5042879712169194e-05
333,1.6132680150501448e-07,333,3.5117522202199325e-05
334,1.5746755163295998e-07,334,3.534212217865778e-05
335,1.592674170325381e-07,335,3.628347985795699e-05
336,1.661774050428936e-07,336,3.623842842768811e-05
337,1.6426073475215939e-07,337,3.609577678227132e-05
338,1.630760214802304e-07,338,3.563974106717589e-05
339,1.7373188740399392e-07,339,3.5984538823998135e-05
340,1.743266528274136e-07,340,3.597228974935466e-05
341,1.763145563358849e-07,341,3.566990043119793e-05
342,1.7791534436182947e-07,342,3.58474041734423e-05
343,1.7779121000823957e-07,343,3.571331555057051e-05
344,1.7611947908787888e-07,344,3.522138078031796e-05
345,1.783271573265109e-07,345,3.5327995387238585e-05
346,1.7323687661369954e-07,346,3.5354842111701146e-05
347,1.716696769579354e-07,347,3.5497883280705924e-05
348,1.739389486411978e-07,348,3.548654214163045e-05
349,1.8121528170108757e-07,349,3.5510288788438107e-05
350,1.8585428763841426e-07,350,3.586992222283568e-05
351,1.8549807697427442e-07,351,3.58286384393328e-05
352,1.8423390863680264e-07,352,3.5828667023452e-05
353,1.863503670104397e-07,353,3.595050875446759e-05
354,1.863610379666219e-07,354,3.626453586288595e-05
355,2.0092180135132335e-07,355,3.6978160746262544e-05
356,1.944822555697913e-07,356,3.7250609498836896e-05
357,1.9838371751695105e-07,357,3.6879459782669854e-05
358,1.979786406560079e-07,358,3.722487911415685e-05
359,2.0617622333217257e-07,359,3.7701792669914926e-05
360,2.103358297058021e-07,360,3.840337376459502e-05
361,2.0321456460438627e-07,361,3.841440255720434e-05
362,2.0418280139671602e-07,362,3.8708990489664886e-05
363,2.0455323454119221e-07,363,3.908499223013807e-05
364,2.1061210807106689e-07,364,4.02361604626224e-05
365,2.042091779484525e-07,365,3.9887996535981074e-05
366,2.0817752396532336e-07,366,3.989620693443742e-05
367,2.1268134370906155e-07,367,4.0187485865317285e-05
368,2.0905468080256734e-07,368,4.044416086149535e-05
369,2.130046031619973e-07,369,4.144286400073075e-05
370,2.169381015144317e-07,370,4.1570264459421325e-05
371,2.1187638413585779e-07,371,4.195888790751009e-05
372,2.2039468612820665e-07,372,4.418830888295945e-05
373,2.1828815157427205e-07,373,4.397402153699659e-05
374,2.204436351119618e-07,374,4.3625152881889206e-05
375,2.143896990293635e-07,375,4.353910065089751e-05
376,2.349237986365438e-07,376,4.36607317949113e-05
377,2.175603617260436e-07,377,4.408656241139397e-05
378,2.2580115802932938e-07,378,4.464969398603509e-05
379,2.258127941142821e-07,379,4.470686170472098e-05
380,2.1708855602042834e-07,380,4.386293689354456e-05
381,2.22352651271399e-07,381,4.470774313501481e-05
382,2.2386108287721287e-07,382,4.456500287882851e-05
383,2.2548513799180994e-07,383,4.399854463242393e-05
384,2.3380481487375205e-07,384,4.547037990830306e-05
385,2.347998689129177e-07,385,4.652173135712344e-05
386,2.3806837869320775e-07,386,4.563909117548194e-05
387,2.3776437044606018e-07,387,4.518737478065305e-05
388,2.475112014669165e-07,388,4.587263694182704e-05
389,2.450052598837063e-07,389,4.712066843889521e-05
390,2.396717456859544e-07,390,4.789260024803558e-05
391,2.557983434990442e-07,391,4.371974864625372e-05
392,2.512188062972091e-07,392,4.394982014283804e-05
393,2.500147827358016e-07,393,4.7724196649921525e-05
394,2.527907727312152e-07,394,4.813954261148216e-05
395,2.348002367218755e-07,395,4.5977648239516255e-05
396,2.383566451713559e-07,396,4.675404073038537e-05
397,2.270521290802836e-07,397,4.745932944518115e-05
398,2.501604417900643e-07,398,4.7744920136340496e-05
399,2.739298258383879e-07,399,4.7522323127070975e-05
