ngram,Platform,Platorm
1761,2.8388489502008595e-07,0.0
1762,2.671536031125957e-07,0.0
1763,2.176020965955721e-07,0.0
1764,2.368079672671846e-07,0.0
1765,2.395951992996613e-07,0.0
1766,1.8331253873579305e-07,0.0
1767,1.7663096839117186e-07,0.0
1768,1.7282849691062957e-07,0.0
1769,1.6159765436896123e-07,0.0
1770,1.675847321231621e-07,0.0
1771,1.4492125873947055e-07,0.0
1772,1.495707692303735e-07,0.0
1773,2.5731227459857564e-07,0.0
1774,2.454863342446093e-07,0.0
1775,2.506462671699897e-07,0.0
1776,2.4593055541239597e-07,0.0
1777,2.4617645598214365e-07,0.0
1778,2.7691753753547997e-07,0.0
1779,2.7918163831535434e-07,0.0
1780,1.559774176485007e-07,0.0
1781,1.4570549313118265e-07,0.0
1782,1.434132254222017e-07,0.0
1783,1.3637517578704968e-07,0.0
1784,1.276001293198143e-07,0.0
1785,1.265888524163269e-07,0.0
1786,1.3120170194724778e-07,1.3400983180287896e-09
1787,1.3621484080366437e-07,1.3400983180287896e-09
1788,1.2623553605603126e-07,1.3400983180287896e-09
1789,9.735368828549846e-08,1.3400983180287896e-09
1790,1.4938685463253672e-07,1.3400983180287896e-09
1791,1.4533731323191595e-07,1.3400983180287896e-09
1792,1.3474010631041112e-07,1.3400983180287896e-09
1793,1.4788551437407348e-07,0.0
1794,1.4709444278488653e-07,0.0
1795,1.534742040121273e-07,0.0
1796,1.5662118104030144e-07,0.0
1797,1.201742405904887e-07,0.0
1798,1.305108346473714e-07,0.0
1799,1.2676868012460674e-07,0.0
1800,1.279001158950775e-07,0.0
1801,1.3886409482617118e-07,0.0
1802,1.845503493517039e-07,0.0
1803,2.0248321521064228e-07,0.0
1804,2.008133869984314e-07,0.0
1805,2.207879451329323e-07,2.5967750172384285e-10
1806,2.44391423669705e-07,2.5967750172384285e-10
1807,2.260834607779673e-07,2.5967750172384285e-10
1808,2.233941214870226e-07,2.5967750172384285e-10
1809,1.7719900061560372e-07,2.5967750172384285e-10
1810,2.0210084983318666e-07,2.5967750172384285e-10
1811,1.9173916448218214e-07,2.5967750172384285e-10
1812,2.037162758483646e-07,0.0
1813,2.1330027116001865e-07,0.0
1814,2.291642512578359e-07,0.0
1815,2.6267091511402084e-07,0.0
1816,2.7522920070006354e-07,0.0
1817,2.504314053908274e-07,0.0
1818,2.926310774650379e-07,1.790348662973023e-10
1819,3.024091362086827e-07,1.790348662973023e-10
1820,2.849524735535981e-07,1.790348662973023e-10
1821,2.7922376334897437e-07,3.0758912084039025e-10
1822,2.3781941698481595e-07,3.0758912084039025e-10
1823,2.43393586174534e-07,3.0758912084039025e-10
1824,2.576143397651062e-07,3.0758912084039025e-10
1825,2.6598560915707434e-07,1.2855425454308796e-10
1826,2.896217889006688e-07,1.2855425454308796e-10
1827,3.1264972782147585e-07,2.3312486068555975e-10
1828,3.2332638357144917e-07,1.0457060614247179e-10
1829,3.596873666213339e-07,1.0457060614247179e-10
1830,3.5570134165092373e-07,1.0457060614247179e-10
1831,3.4198098879707164e-07,1.0457060614247179e-10
1832,3.234805185619345e-07,1.0457060614247179e-10
1833,2.724252539110239e-07,1.0457060614247179e-10
1834,2.504456375618247e-07,0.0
1835,2.464893620006998e-07,0.0
1836,2.4820300836836395e-07,7.506117949418467e-11
1837,2.751073984492385e-07,7.506117949418467e-11
1838,2.941255538806737e-07,7.506117949418467e-11
