ngram,Quality Control,Qualty Control,Quality Contol
1857,1.5215793188908373e-09,0.0,0.0
1858,8.567453532329747e-10,0.0,0.0
1859,8.567453532329747e-10,0.0,0.0
1860,9.149420863798139e-10,0.0,0.0
1861,9.149420863798139e-10,0.0,0.0
1862,1.8776007217256664e-09,0.0,0.0
1863,1.3490068070546153e-09,0.0,0.0
1864,1.3480256752121785e-09,0.0,0.0
1865,2.0225733944810388e-09,0.0,0.0
1866,4.720903588685741e-09,0.0,0.0
1867,4.745082763221323e-09,0.0,0.0
1868,4.8731989792700455e-09,0.0,0.0
1869,3.81036661746746e-09,0.0,0.0
1870,3.6685051583797345e-09,0.0,0.0
1871,3.662256771651075e-09,0.0,0.0
1872,2.9877090523822147e-09,0.0,0.0
1873,2.8937885817751207e-10,0.0,0.0
1874,8.883098978618165e-10,0.0,0.0
1875,8.365772796725679e-10,0.0,0.0
1876,1.3475427718123711e-09,0.0,0.0
1877,1.3405653888552494e-09,0.0,0.0
1878,2.856202722746813e-09,0.0,0.0
1879,2.889422108322469e-09,0.0,0.0
1880,3.3901210509469847e-09,0.0,0.0
1881,2.8289470072051515e-09,0.0,0.0
1882,2.875936443356787e-09,0.0,0.0
1883,2.4872140398844523e-09,0.0,0.0
1884,2.5410084968686367e-09,0.0,0.0
1885,1.1247407905828106e-09,0.0,0.0
1886,1.1177538081616083e-09,0.0,0.0
1887,1.2218890799957955e-09,0.0,0.0
1888,1.563886256605862e-09,0.0,0.0
1889,1.71425954978829e-09,0.0,0.0
1890,1.664194668975811e-09,0.0,0.0
1891,1.9423434586908682e-09,0.0,0.0
1892,1.9752075986716785e-09,0.0,0.0
1893,2.1024198017448116e-09,0.0,0.0
1894,1.518576726668362e-09,0.0,0.0
1895,1.6399624852558858e-09,0.0,0.0
1896,2.729759975601225e-09,0.0,0.0
1897,7.2636141486480204e-09,0.0,0.0
1898,6.915537210343865e-09,0.0,0.0
1899,6.9867911020197025e-09,0.0,0.0
1900,6.970651869212371e-09,0.0,0.0
1901,6.9659386185892485e-09,0.0,0.0
1902,6.398773257286296e-09,0.0,0.0
1903,5.247034663900609e-09,0.0,0.0
1904,6.861592405371653e-10,0.0,0.0
1905,8.137437291460309e-10,0.0,0.0
1906,1.1019737562932365e-09,0.0,0.0
1907,1.9941948152326005e-09,0.0,0.0
1908,2.238555802034993e-09,0.0,0.0
1909,2.235286751330255e-09,0.0,0.0
1910,2.5334995549876537e-09,0.0,0.0
1911,2.6210280077273598e-09,0.0,0.0
1912,2.722704008679371e-09,0.0,0.0
1913,2.3009525415959178e-09,0.0,0.0
1914,1.3269736876780109e-09,0.0,0.0
1915,3.1866058819440823e-09,0.0,0.0
1916,4.003207253784018e-09,0.0,0.0
1917,5.630006171581619e-09,0.0,0.0
1918,6.112066983484812e-09,0.0,0.0
1919,7.93093118559415e-09,0.0,0.0
1920,1.0399183431042403e-08,0.0,0.0
1921,1.191795202209229e-08,0.0,0.0
1922,1.5253811230004592e-08,0.0,0.0
1923,1.6873028181001766e-08,0.0,0.0
1924,2.0719660653867322e-08,0.0,0.0
1925,3.0371317016886223e-08,0.0,0.0
1926,3.28759745776048e-08,0.0,0.0
1927,3.645234577679243e-08,0.0,0.0
1928,4.2951754153364163e-08,0.0,0.0
1929,4.1073771431651296e-08,0.0,0.0
1930,4.656428131966095e-08,0.0,0.0
1931,5.062418192583859e-08,0.0,0.0
1932,4.772634807993979e-08,0.0,0.0
1933,5.26637481560296e-08,0.0,0.0
1934,5.436392364848481e-08,0.0,0.0
1935,6.1935994872491e-08,0.0,0.0
1936,6.933931371934574e-08,0.0,0.0
1937,9.695279905892156e-08,0.0,0.0
1938,1.1112550270451851e-07,0.0,0.0
1939,1.3581801486647498e-07,0.0,0.0
1940,1.671363725514701e-07,0.0,0.0
1941,4.802739153676936e-07,1.5733563658264822e-10,0.0
1942,5.719070880364338e-07,1.5733563658264822e-10,0.0
1943,6.53694803937859e-07,1.5733563658264822e-10,0.0
1944,7.820983053566774e-07,1.5733563658264822e-10,0.0
