ngram,Replication,Replicaton
1803,5.652786708562221e-07,0.0
1804,5.69690735220872e-07,0.0
1805,5.658667079038488e-07,0.0
1806,5.306249372592577e-07,0.0
1807,5.118334896232162e-07,0.0
1808,6.034919469552083e-07,0.0
1809,3.6024473867460725e-07,0.0
1810,3.7770001881654025e-07,0.0
1811,3.5693163827740395e-07,0.0
1812,3.4744109760660127e-07,0.0
1813,4.390162148735856e-07,0.0
1814,4.7447990222540935e-07,0.0
1815,4.623053168221044e-07,0.0
1816,4.962888705709442e-07,0.0
1817,4.916422783805631e-07,0.0
1818,5.049867500669539e-07,0.0
1819,5.263112257125613e-07,0.0
1820,4.729817289574255e-07,0.0
1821,5.105129373207871e-07,0.0
1822,5.025783350122635e-07,0.0
1823,5.000059429351365e-07,0.0
1824,5.310085059915894e-07,0.0
1825,5.668951124399817e-07,0.0
1826,6.666680576472572e-07,0.0
1827,6.661409323831842e-07,0.0
1828,6.394098599165383e-07,0.0
1829,7.014716183156062e-07,0.0
1830,6.875350290361634e-07,0.0
1831,6.804025198497194e-07,0.0
1832,6.75754092428958e-07,0.0
1833,5.985458285197507e-07,0.0
1834,6.476817182894073e-07,0.0
1835,6.864695397520595e-07,0.0
1836,6.56669734715771e-07,0.0
1837,6.989813568582446e-07,2.3232422335135132e-10
1838,7.392303018605162e-07,2.3232422335135132e-10
1839,7.761230774251869e-07,2.3232422335135132e-10
1840,8.408805212768909e-07,2.3232422335135132e-10
1841,8.068376392397372e-07,2.3232422335135132e-10
1842,7.90868706904543e-07,2.3232422335135132e-10
