ngram,AES,AES,AE,A
1678,4.920120285792759e-08,4.920120285792759e-08,3.8180148668029036e-07,0.0006876053438255829
1679,0.0,0.0,3.802726545083195e-07,0.0006833581303778503
1680,0.0,0.0,3.802726545083195e-07,0.0006891334030245032
1681,0.0,0.0,2.826810795600717e-07,0.0007212355267256498
1682,0.0,0.0,7.322273713076097e-07,0.0007338611508852669
1683,0.0,0.0,7.811136210226063e-07,0.0007049523327233535
1684,0.0,0.0,9.813000596230786e-07,0.0007322480752398926
1685,0.0,0.0,1.021998985249541e-06,0.0007382500002027623
1686,0.0,0.0,1.026556422597683e-06,0.0007342427935717362
1687,0.0,0.0,1.314957062602064e-06,0.0007457404281012714
1688,0.0,0.0,1.3615486409435107e-06,0.0007226231890464467
1689,0.0,0.0,9.72397361108181e-07,0.0007499776464620871
1690,0.0,0.0,8.140359406232684e-07,0.0007996153685131244
1691,0.0,0.0,6.047293571295345e-07,0.0007741433634821858
1692,0.0,0.0,5.677799046160154e-07,0.0007375192445968943
1693,0.0,0.0,1.2925793677303382e-06,0.0007640243774013859
1694,0.0,0.0,1.1017209301046802e-06,0.0007801730950762119
1695,0.0,0.0,1.1481701725252996e-06,0.00078469275363854
1696,0.0,0.0,1.116440444093314e-06,0.0007531170517073146
1697,0.0,0.0,1.8770019210023747e-06,0.0007218303175510041
1698,0.0,0.0,2.018476197106013e-06,0.000744184321125171
1699,0.0,0.0,2.295407585149535e-06,0.0007490190660714038
1700,0.0,0.0,1.6079681789246284e-06,0.0007311229793620962
1701,0.0,0.0,1.5877600511820283e-06,0.0007147353691315013
1702,0.0,0.0,1.7464075808350441e-06,0.0007198506001649159
1703,0.0,0.0,1.7827946854660176e-06,0.000715161075017282
1704,0.0,0.0,9.859076369269002e-07,0.0007000260104957436
1705,0.0,0.0,1.1038592577148978e-06,0.0006886234124457198
1706,0.0,0.0,1.080144410739844e-06,0.0007204500476031431
1707,0.0,0.0,1.039460053269587e-06,0.0007236256580134588
1708,0.0,0.0,1.0296470520643197e-06,0.0007247022336481937
1709,0.0,0.0,8.741588309086572e-07,0.0007057079845773322
1710,0.0,0.0,9.297231591582593e-07,0.0007284473893897874
1711,0.0,0.0,1.0685074422716362e-06,0.0007434928057981389
1712,1.086341987794575e-08,1.086341987794575e-08,1.1648351768859096e-06,0.0007485624685484384
1713,1.086341987794575e-08,1.086341987794575e-08,1.006948756249975e-06,0.0007256397012887257
1714,4.914986208502471e-08,4.914986208502471e-08,1.1932192884549814e-06,0.0007515719293483666
1715,4.914986208502471e-08,4.914986208502471e-08,1.1936323370978893e-06,0.0007882452503378902
1716,4.914986208502471e-08,4.914986208502471e-08,1.2302565843518615e-06,0.0008510028211666005
1717,4.914986208502471e-08,4.914986208502471e-08,1.1823010481748497e-06,0.0008447963045910001
1718,4.914986208502471e-08,4.914986208502471e-08,1.2188171305232182e-06,0.0008659709960089198
1719,3.828644220707897e-08,3.828644220707897e-08,8.781066713124477e-07,0.0008630327813859497
1720,5.640869866445948e-08,5.640869866445948e-08,2.353867058348312e-06,0.0008948526977162276
1721,7.068260491191073e-08,7.068260491191073e-08,2.292212607406847e-06,0.0008725169214553066
1722,7.068260491191073e-08,7.068260491191073e-08,2.633840580301694e-06,0.0008724598862629916
1723,8.303295727176061e-08,8.303295727176061e-08,3.82867902918146e-06,0.0008582958585715719
1724,8.303295727176061e-08,8.303295727176061e-08,3.7862794662097647e-06,0.0008467953302897513
1725,9.038591031185206e-08,9.038591031185206e-08,4.739407371191971e-06,0.0008743868425621518
1726,9.038591031185206e-08,9.038591031185206e-08,5.2747729861429046e-06,0.0008730896598925548
1727,8.594908556298314e-08,8.594908556298314e-08,5.294895426491816e-06,0.0008408476382360927
1728,3.3388737108452915e-08,3.3388737108452915e-08,5.282045200211931e-06,0.0008407847074392651
1729,3.3388737108452915e-08,3.3388737108452915e-08,4.885227058691401e-06,0.0008293149460639272
1730,2.9221622708876438e-08,2.9221622708876438e-08,3.5902971851393365e-06,0.00081202679679596
1731,2.9221622708876438e-08,2.9221622708876438e-08,4.361725832576927e-06,0.0008241168273213718
1732,2.1868669668784994e-08,2.1868669668784994e-08,3.645408942328946e-06,0.0007913152471051685
1733,2.1868669668784994e-08,2.1868669668784994e-08,3.590367037580628e-06,0.0007874058626059975
1734,8.18323796027341e-09,8.18323796027341e-09,1.9961329716774604e-06,0.0007842749723100237
1735,8.18323796027341e-09,8.18323796027341e-09,2.21574314350294e-06,0.0007965799720425691
1736,1.9207888105451535e-08,1.9207888105451535e-08,2.9085767993462597e-06,0.0007901506781178926
1737,1.1024650145178124e-08,1.1024650145178124e-08,3.0142764119643417e-06,0.0007645662990398705
1738,1.1024650145178124e-08,1.1024650145178124e-08,2.244169443039417e-06,0.0007377919142267533
1739,1.425556663191076e-08,1.425556663191076e-08,3.3472199813136934e-06,0.0007237120714437749
1740,1.425556663191076e-08,1.425556663191076e-08,3.022056282426482e-06,0.0007406900071405939
1741,1.425556663191076e-08,1.425556663191076e-08,3.2628287962260013e-06,0.0007935728312336973
1742,2.0632938912967802e-08,2.0632938912967802e-08,4.6673025743919946e-06,0.0008284524332598916
1743,9.608288767789678e-09,9.608288767789678e-09,4.49145161139443e-06,0.0008206857019104064
1744,9.608288767789678e-09,9.608288767789678e-09,4.661039209200421e-06,0.0008683255291543901
1745,9.608288767789678e-09,9.608288767789678e-09,5.636547436032353e-06,0.000888712945327695
1746,6.377372281057043e-09,6.377372281057043e-09,4.214871669968748e-06,0.0008994669104660195
1747,6.377372281057043e-09,6.377372281057043e-09,4.124181227130716e-06,0.0009133071622012981
1748,6.377372281057043e-09,6.377372281057043e-09,4.681701414353613e-06,0.0008556757654462542
1749,4.955280376504691e-09,4.955280376504691e-09,2.961188946366227e-06,0.0008006803857694779
1750,4.955280376504691e-09,4.955280376504691e-09,2.543619172813903e-06,0.0007981170451135508
1751,4.955280376504691e-09,4.955280376504691e-09,2.3141200569755582e-06,0.0007606533805041441
1752,4.955280376504691e-09,4.955280376504691e-09,1.4403494138345456e-06,0.0007541038295520204
1753,4.955280376504691e-09,4.955280376504691e-09,1.8187838577432558e-06,0.0007544469387669649
1754,4.955280376504691e-09,4.955280376504691e-09,1.7859342327548283e-06,0.0007307296785126839
1755,4.955280376504691e-09,4.955280376504691e-09,1.2521393841780082e-06,0.0007386875139283282
1756,0.0,0.0,1.394625371631264e-06,0.0007523726671934128
1757,0.0,0.0,1.5138978710638185e-06,0.0007500424066425434
1758,3.1075847926688637e-09,3.1075847926688637e-09,2.274424730330793e-06,0.0007549804036638566
1759,3.1075847926688637e-09,3.1075847926688637e-09,2.1694036596337744e-06,0.0007675925236461418
1760,3.1075847926688637e-09,3.1075847926688637e-09,2.0254595897638083e-06,0.000758473711487438
1761,3.1075847926688637e-09,3.1075847926688637e-09,2.1125377713815396e-06,0.0007558429746755532
1762,3.1075847926688637e-09,3.1075847926688637e-09,1.8971401272795317e-06,0.0007544673696559455
1763,3.1075847926688637e-09,3.1075847926688637e-09,1.7405599684090184e-06,0.000753522792365402
1764,3.1075847926688637e-09,3.1075847926688637e-09,1.6328005025505782e-06,0.0007649693538301758
1765,2.9474084125727782e-09,2.9474084125727782e-09,8.792274448816377e-07,0.000766086982496615
1766,2.9474084125727782e-09,2.9474084125727782e-09,1.296157498537858e-06,0.000765550889939602
1767,5.891910705356298e-09,5.891910705356298e-09,1.0158082334653175e-06,0.0007773767990459289
1768,5.891910705356298e-09,5.891910705356298e-09,1.5496116897598507e-06,0.000776208596237536
1769,5.891910705356298e-09,5.891910705356298e-09,1.8119068434836144e-06,0.0007875435569855784
1770,1.4540675457348179e-08,1.4540675457348179e-08,2.279338356662005e-06,0.0008035809816127377
1771,1.4540675457348179e-08,1.4540675457348179e-08,2.7875029949037914e-06,0.0008114708304804351
1772,1.15932670447754e-08,1.15932670447754e-08,3.144889896183096e-06,0.0008298467894616936
1773,1.9378839612370158e-08,1.9378839612370158e-08,3.153237400965736e-06,0.0008292083013137537
1774,1.643433731958664e-08,1.643433731958664e-08,3.1116943992921212e-06,0.0008323204404275332
1775,2.7989093963144895e-08,2.7989093963144895e-08,7.229350911432318e-06,0.000842152620732252
1776,2.7989093963144895e-08,2.7989093963144895e-08,7.041064200003737e-06,0.0008708944161688643
1777,1.9340329211153014e-08,1.9340329211153014e-08,6.6181178185940685e-06,0.0008962121542676219
1778,2.2121472907445294e-08,2.2121472907445294e-08,8.311319427483405e-06,0.0008858139044605196
1779,2.2121472907445294e-08,2.2121472907445294e-08,8.065707476134776e-06,0.0008791590724805636
1780,1.4335900339850533e-08,1.4335900339850533e-08,7.650634955780333e-06,0.0008761495118960738
1781,1.8160934089905822e-08,1.8160934089905822e-08,7.987681158283522e-06,0.0008642028385241117
1782,6.606177446347569e-09,6.606177446347569e-09,3.3333994500545875e-06,0.0008599621609651617
1783,6.606177446347569e-09,6.606177446347569e-09,3.257056444486547e-06,0.0008325758057513408
1784,6.606177446347569e-09,6.606177446347569e-09,3.2253060981344916e-06,0.0007950498922062772
1785,5.443156148032813e-09,5.443156148032813e-09,9.82794188887835e-07,0.0008006371374774192
1786,1.0803549420147971e-08,1.0803549420147971e-08,8.418285192744536e-07,0.0009318524722142943
1787,1.4670974149818709e-08,1.4670974149818709e-08,8.463536695606828e-07,0.0009349724028392562
1788,1.0845940399763419e-08,1.0845940399763419e-08,5.216606788443252e-07,0.0009316587488033942
1789,1.0845940399763419e-08,1.0845940399763419e-08,4.360781531431712e-07,0.0009256170929542609
1790,1.0845940399763419e-08,1.0845940399763419e-08,7.045395063544544e-07,0.000925887783523649
1791,1.0845940399763419e-08,1.0845940399763419e-08,8.552147789941955e-07,0.0009273288222695035
1792,9.227818001785896e-09,9.227818001785896e-09,1.0567269319900724e-06,0.0009228666229838771
1793,3.867424729670737e-09,3.867424729670737e-09,1.1759547362544254e-06,0.0008054318937606045
1794,0.0,0.0,1.200400768246774e-06,0.0008138460107147694
1795,9.132721245919129e-10,9.132721245919129e-10,1.4208269151692678e-06,0.0008224781818820962
1796,2.8095953500236905e-09,2.8095953500236905e-09,1.4704921958192635e-06,0.0008234893653674849
1797,3.943442651786557e-09,3.943442651786557e-09,1.1811060086789179e-06,0.0008171513660012611
1798,3.943442651786557e-09,3.943442651786557e-09,1.4371348575943038e-06,0.0008136163399155651
1799,6.3465210230008646e-09,6.3465210230008646e-09,1.2287954283302888e-06,0.0008160059307036656
1800,7.169848841621323e-09,7.169848841621323e-09,1.3809679728638002e-06,0.0008077266226921763
1801,7.634189312456994e-09,7.634189312456994e-09,1.5322389970151562e-06,0.0007999865837129099
1802,7.1550439858672885e-09,7.1550439858672885e-09,1.354649567377107e-06,0.0007989568569298301
1803,5.960720678948357e-09,5.960720678948357e-09,1.5479221612427603e-06,0.0008062735765374132
1804,6.6573386803270296e-09,6.6573386803270296e-09,1.6536681154580686e-06,0.0008096934013467814
1805,6.9170161820508724e-09,6.9170161820508724e-09,1.2538650204468077e-06,0.0008166477200575173
1806,9.94348973001483e-09,9.94348973001483e-09,1.6246840865668283e-06,0.0008092323717262064
1807,1.2049259130136086e-08,1.2049259130136086e-08,1.5344657039609696e-06,0.000799024327924209
1808,1.4409276803485836e-08,1.4409276803485836e-08,1.7088196874023457e-06,0.0007931087581839945
1809,1.5603473386376672e-08,1.5603473386376672e-08,1.6989960239957976e-06,0.0007767577605721142
1810,1.6644974684279897e-08,1.6644974684279897e-08,1.589155017102582e-06,0.0007770025321016354
1811,1.622081302610212e-08,1.622081302610212e-08,1.8419367912818935e-06,0.0007642088873711016
1812,1.787080160044395e-08,1.787080160044395e-08,1.917539285451702e-06,0.0007544539403170347
1813,1.3993084913010989e-08,1.3993084913010989e-08,1.6469625653111767e-06,0.0007455690231706415
1814,1.1272945830777457e-08,1.1272945830777457e-08,1.5971408840544297e-06,0.0007341645874216088
1815,9.607431881798943e-09,9.607431881798943e-09,1.2981599216540677e-06,0.0007420181978626975
1816,1.0451353893436988e-08,1.0451353893436988e-08,1.64709134813685e-06,0.0007688695664650627
1817,8.707852677020916e-09,8.707852677020916e-09,1.5855531338664669e-06,0.0007590016965488238
1818,9.27093254546715e-09,9.27093254546715e-09,1.4881195836226522e-06,0.0007678609108552337
1819,7.96245623403889e-09,7.96245623403889e-09,1.7079072043608384e-06,0.0007767013739794493
1820,9.653353560956646e-09,9.653353560956646e-09,1.7545372575763655e-06,0.0007946989831647702
1821,9.572949678991551e-09,9.572949678991551e-09,1.6922332406466012e-06,0.0008032968533890587
1822,9.53702565333257e-09,9.53702565333257e-09,1.8603703324515664e-06,0.0007950393649350319
1823,1.0014498444796009e-08,1.0014498444796009e-08,1.595394800395817e-06,0.0007832137801285301
1824,1.0550978511515905e-08,1.0550978511515905e-08,1.8154864928224664e-06,0.0007893316048596587
1825,9.088062215477168e-09,9.088062215477168e-09,1.6324955091866805e-06,0.0007846438425726124
1826,1.0856837246680279e-08,1.0856837246680279e-08,1.4290239716631601e-06,0.0007797151837231857
1827,8.764381387305065e-09,8.764381387305065e-09,1.4054524675494967e-06,0.0007686245621048979
1828,8.746156441942686e-09,8.746156441942686e-09,1.386579851571566e-06,0.0007676079819378044
1829,7.834059107774444e-09,7.834059107774444e-09,1.2554298385631618e-06,0.0007679529704286584
1830,5.742081786243501e-09,5.742081786243501e-09,1.2558652266696818e-06,0.0007665618322789669
1831,7.527968272556608e-09,7.527968272556608e-09,1.1285992270261756e-06,0.0007667844765819609
1832,8.639340758660147e-09,8.639340758660147e-09,1.1777983429185821e-06,0.000770177218198244
